Group_name,Kingdom,Phylum,Class,Order,Family,Genus,Species,SpeciesID,Comment
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octodrilus,Octodrilus exacystis,Octo_exac,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octodrilus,Octodrilus lissaensis,Octo_liss,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octodrilus,Octodrilus mimu,Octo_mimu,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octodrilus,Octodrilus transpadanus,Octo_trans,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,Octolasion cyaneum,Octo_cyan,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,Octolasion Örley,Octo_orle,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,Octolasion tyrtaeum,Octo_tyrt,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Proctodrilus,Proctodrilus antipae,Proc_anti,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Proctodrilus,Proctodrilus Zics,Proc_orle,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Satchellius,Satchellius madeirensis,Satc_made,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Satchellius,Satchellius mammalis,Satc_mamm,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Scherotheca,Scherotheca hexatheca,Sche_hexa,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,Amynthas agrestis,Amyn_agre,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,Amynthas corticis,Amyn_cort,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Octochaetidae,Agastrodrilus,Agastrodrilus multivesiculatus,Agas_mult,
Earthworms,Animalia,Annelida,Clitellata,Lumbriculida,Lumbriculidae,,,,
