Group_name,Kingdom,Phylum,Class,Order,Family,Genus,Species,SpeciesID,Fct_group,Comment
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eisenia,Eisenia andrei,Eise_andr,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eisenia,Eisenia fetida,Eise_feti,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eisenia,Eisenia lucens,Eise_luce,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eisenia,Eisenia nordenskioldi,Eise_nord,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eisenia,Eisenia spelea,Eise_spel,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eiseniella,Eiseniella tetraedra,Eise_tetr,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,Enterion cyaneum,Octo_cyan,,Synonym Octolasion cyaneum
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Enterion festivum,Lumb_fest,,Synonym Lumbricus festivus
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Enterion polyphemus,Lumb_poly,,Synonym Lumbricus polyphemus
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrobaena,Enterion pygmaeum,Dend_pygm,,Synonym Dendrobaena pygmaea
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,Enterion tyrtaeum,Octo_tyrt,,Synonym Octolasion tyrtaeum
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eophila,Eophila icterica,Eoph_icte,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eophila,Eophila tellinii,Eoph_tell,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Fitzingeria,Fitzingeria platyura,Fitz_plat,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Helodrilus,Helodrilus oculatus,Helo_ocul,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus badensis,Lumb_bade,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus baicalensis,Lumb_baic,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus castaneus,Lumb_cast,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus centralis,Lumb_cent,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus festivus,Lumb_fest,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus friendi,Lumb_frie,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus herculeus,Lumb_herc,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus klarae,Lumb_klar,,
