Family,Genus,Subgenus_Bouche,Species,Subspecies_Bouche,Variety_Bouche,Ecogroup_Bouche,Percent_Epigeic,Percent_Anecic,Percent_Endogeic,Ecogroup_Bottinelli
Lumbricidae,Allolobophora,NA,chlorotica,postepheba,inter,Intermediate,31,31,38,Intermediate
Lumbricidae,Allolobophora,NA,chlorotica,burgondiae,NA,Unassigned,0,0,100,Endogeic
Lumbricidae,Scherotheca,Corsicadrilus,corsicana,corsicana,NA,Endo-anecic,16,70,14,Epi-anecic
Lumbricidae,Scherotheca,Corsicadrilus,corsicana,albomaculata,NA,Unassigned,0,73,27,Anecic
Lumbricidae,Scherotheca,Scherotheca,coineaui,NA,NA,Unassigned,0,74,26,Anecic
Lumbricidae,Scherotheca,Opothedrilus,savignyi,nivicola,NA,Unassigned,0,88,12,Anecic
Lumbricidae,Nicodrilus,Nicodrilus,gognus,NA,NA,Unassigned,0,100,0,Anecic
Lumbricidae,Nicodrilus,Rhodonicus,rubicundus,rubicundus,NA,Unassigned,89,11,0,Epigeic
Lumbricidae,Nicodrilus,Rhodonicus,rubicundus,acidicola,NA,Unassigned,73,24,3,Epi-anecic
Lumbricidae,Lumbricus ,NA,rubellus,friendoides,NA,Unassigned,76,24,0,Epigeic
Lumbricidae,Lumbricus ,NA,improvisus,NA,NA,Unassigned,84,16,0,Epigeic
Lumbricidae,Dendrobaena,Dendrobaena,pygmea,cognetti,NA,Unassigned,87,0,13,Epigeic
Lumbricidae,Dendrobaena,Dendrobaena,lacustris,NA,NA,Unassigned,82,4,13,Epigeic
Lumbricidae,Dendrobaena,Dendrobaena,platyura,depressa,NA,Unassigned,56,44,0,Epi-anecic
Lumbricidae,Allolobophora,NA,zicsii,NA,NA,Unassigned,0,0,100,Endogeic
Lumbricidae,Allolobophora,NA,satchatelli,NA,NA,Unassigned,19,0,81,Endogeic
Lumbricidae,Allolobophora,NA,micella,NA,NA,Unassigned,2,0,98,Endogeic
Lumbricidae,Allolobophora,NA,putricola,putricola,NA,Unassigned,11,1,88,Endogeic
Lumbricidae,Allolobophora,NA,putricola,tebra,NA,Unassigned,16,0,84,Endogeic
Lumbricidae,Allolobophora,NA,antipai,tuberculata,NA,Unassigned,25,0,75,Epi-endogeic
Lumbricidae,Allolobophora,NA,antipai,vogesiana,NA,Unassigned,26,0,74,Epi-endogeic
Lumbricidae,Allolobophora,NA,bartoli,meougensis,NA,Unassigned,0,49,51,Endo-anecic
Lumbricidae,Allolobophora,NA,segalensis,NA,NA,Unassigned,4,41,55,Endo-anecic
Lumbricidae,Allolobophora,NA,tiginosa,NA,NA,Unassigned,13,0,87,Endogeic
Lumbricidae,Allolobophora,NA,sardonica,catalaunensis,NA,Unassigned,0,9,91,Endogeic
Lumbricidae,Allolobophora,NA,pereli,NA,NA,Unassigned,30,2,68,Epi-endogeic
