taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
10056589	BOLD:ACQ4675	10056589	BOLD:ACQ4675	1	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Stylodrilus	2308011	Stylodrilus heringianus	2308015	
2308007	Eclipidrilus frigidus Eisen, 1881	2308007	Eclipidrilus frigidus Eisen, 1881	27	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Eclipidrilus	2308000	Eclipidrilus frigidus	2308007	
9372195	Lumbriculus illex Timm & Rodriguez, 1994	9372195	Lumbriculus illex Timm & Rodriguez, 1994	2	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Lumbriculus	2308018	Lumbriculus illex	9372195	
2307967	Styloscolex Michaelsen, 1901	2307967	Styloscolex Michaelsen, 1901	7	GENUS	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Styloscolex	2307967			
10627791	BOLD:ACQ4674	10627791	BOLD:ACQ4674	53	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Stylodrilus	2308011	Stylodrilus heringianus	2308015	
9256173	Altmanella freidris (Cook, 1966)	9256173	Altmanella freidris (Cook, 1966)	17	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Altmanella	4812146	Altmanella freidris	9256173	
9397243	Teleuscolex grubei Michaelsen, 1901	9397243	Teleuscolex grubei Michaelsen, 1901	13	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Teleuscolex	4812150	Teleuscolex grubei	9397243	
9928089	BOLD:ACQ5037	9928089	BOLD:ACQ5037	1	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Rhynchelmis	2307973	Rhynchelmis elrodi	2307978	
9043909	Lamprodrilus melanotus Izosimov, 1962	9043909	Lamprodrilus melanotus Izosimov, 1962	10	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Lamprodrilus	5194009	Lamprodrilus melanotus	9043909	
9181666	Lamprortus orientalis Rodriguez, 1994	9181666	Lamprortus orientalis Rodriguez, 1994	8	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Lamprortus	4812142	Lamprortus orientalis	9181666	
2307983	Kincaidiana hexatheca Altman, 1936	2307983	Kincaidiana hexatheca Altman, 1936	64	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Kincaidiana	2307982	Kincaidiana hexatheca	2307983	
9147887	Lamprodrilus pygmaeus ochridana Hrabě, 1931	9147887	Lamprodrilus pygmaeus ochridana Hrabě, 1931	1	SUBSPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Lamprodrilus	5194009	Lamprodrilus pygmaeus	8903571	
10173634	BOLD:AAJ4539	10173634	BOLD:AAJ4539	1	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Styloscolex	2307967	Styloscolex asymmetricus	2307968	
8718768	Phagodrilus phoebe McKey-Fender, 2001	8718768	Phagodrilus phoebe McKey-Fender, 2001	3	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Phagodrilus	4812143	Phagodrilus phoebe	8718768	
4410981	Trichodrilus tacensis Hrabĕ, 1963	4410981	Trichodrilus tacensis Hrabĕ, 1963	1	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Trichodrilus	2307987	Trichodrilus tacensis	4410981	
