ID,MTB,SMTB,TKBUNDESLA,X,Y
416,1625,Flemhunde,Schleswig-Holstein,9.91543777,54.34835863
417,1626,Kiel,Schleswig-Holstein,10.08207751,54.34835947
418,1627,Heikendorf,Schleswig-Holstein,10.24871725,54.34836033
419,1628,Schönberg (Holstein),Schleswig-Holstein,10.41535699,54.34836124
420,1629,Giekau,Schleswig-Holstein,10.58199674,54.34836218
421,1630,Hohwacht,Schleswig-Holstein,10.7486365,54.34836316
422,1631,Heiligenhafen,Schleswig-Holstein,10.91527626,54.34836418
423,1632,Großenbrode,Schleswig-Holstein,11.08191603,54.34836523
431,1640,Wustrow,Mecklenburg-Vorpommern,12.41503444,54.34837508
432,1641,Born (Darß),Mecklenburg-Vorpommern,12.58167428,54.3483765
433,1642,Barth,Mecklenburg-Vorpommern,12.74831413,54.34837796
434,1643,Niepars,Mecklenburg-Vorpommern,12.91495399,54.34837947
435,1644,Stralsund,Mecklenburg-Vorpommern,13.08159386,54.34838103
436,1645,Samtens,Mecklenburg-Vorpommern,13.24823375,54.34838263
437,1646,Putbus,Mecklenburg-Vorpommern,13.41487365,54.34838429
438,1647,Zirkow,Mecklenburg-Vorpommern,13.58151357,54.34838601
439,1648,Sellin,Mecklenburg-Vorpommern,13.7481535,54.34838778
464,1717,Böhl,Schleswig-Holstein,8.582320936,54.2483648
465,1718,Vollerwiek,Schleswig-Holstein,8.748960706,54.24836533
466,1719,Wesselburen,Schleswig-Holstein,8.915600479,54.2483659
467,1720,Weddingstedt,Schleswig-Holstein,9.082240255,54.24836651
468,1721,Tellingstedt,Schleswig-Holstein,9.248880035,54.24836715
469,1722,Dellstedt,Schleswig-Holstein,9.415519819,54.24836783
470,1723,Hamdorf,Schleswig-Holstein,9.582159606,54.24836855
471,1724,Bokelholm,Schleswig-Holstein,9.748799398,54.2483693
472,1725,Westensee,Schleswig-Holstein,9.915439193,54.2483701
473,1726,Flintbek,Schleswig-Holstein,10.08207899,54.24837093
474,1727,Preetz,Schleswig-Holstein,10.2487188,54.24837179
475,1728,Selent,Schleswig-Holstein,10.41535861,54.2483727
476,1729,Lütjenburg,Schleswig-Holstein,10.58199843,54.24837364
477,1730,Hansühn,Schleswig-Holstein,10.74863825,54.24837462
478,1731,Oldenburg (in Holstein),Schleswig-Holstein,10.91527807,54.24837564
479,1732,Grube,Schleswig-Holstein,11.08191791,54.24837669
486,1739,Graal Müritz,Mecklenburg-Vorpommern,12.24839694,54.24838516
487,1740,Ribnitz-Damgarten,Mecklenburg-Vorpommern,12.41503684,54.24838653
488,1741,Trinwillershagen,Mecklenburg-Vorpommern,12.58167674,54.24838795
489,1742,Velgast,Mecklenburg-Vorpommern,12.74831666,54.24838941
490,1743,Richtenberg,Mecklenburg-Vorpommern,12.91495658,54.24839091
491,1744,Stralsund-Andershof,Mecklenburg-Vorpommern,13.08159652,54.24839247
492,1745,Brandshagen,Mecklenburg-Vorpommern,13.24823647,54.24839407
493,1746,Zudar,Mecklenburg-Vorpommern,13.41487644,54.24839573
494,1747,Zickersches Höft,Mecklenburg-Vorpommern,13.58151642,54.24839744
495,1748,Thiessow,Mecklenburg-Vorpommern,13.74815642,54.24839921
516,1813,Helgoland,Schleswig-Holstein,7.915762519,54.14837451
521,1818,Blauort,Schleswig-Holstein,8.748961667,54.1483768
522,1819,Büsum,Schleswig-Holstein,8.915601505,54.14837737
523,1820,Heide,Schleswig-Holstein,9.082241346,54.14837797
524,1821,Nordhastedt,Schleswig-Holstein,9.248881191,54.14837862
525,1822,Hanerau-Hademarschen,Schleswig-Holstein,9.415521039,54.1483793
526,1823,Todenbüttel,Schleswig-Holstein,9.582160892,54.14838001
527,1824,Bargstedt,Schleswig-Holstein,9.748800748,54.14838077
528,1825,Nortorf,Schleswig-Holstein,9.915440609,54.14838156
529,1826,Bordesholm,Schleswig-Holstein,10.08208047,54.14838239
530,1827,Stolpe,Schleswig-Holstein,10.24872034,54.14838326
531,1828,Plön,Schleswig-Holstein,10.41536022,54.14838416
532,1829,Eutin,Schleswig-Holstein,10.5820001,54.1483851
533,1830,Neustadt (in Holstein),Schleswig-Holstein,10.74863999,54.14838608
534,1831,Grömitz,Schleswig-Holstein,10.91527988,54.14838709
535,1832,Kellenhusen,Schleswig-Holstein,11.08191978,54.14838815
538,1835,Rerik,Mecklenburg-Vorpommern,11.58183951,54.14839154
539,1836,Kühlungsborn,Mecklenburg-Vorpommern,11.74847944,54.14839274
540,1837,Bad Doberan,Mecklenburg-Vorpommern,11.91511937,54.14839399
541,1838,Rostock-Warnemünde,Mecklenburg-Vorpommern,12.08175931,54.14839528
542,1839,Bentwisch,Mecklenburg-Vorpommern,12.24839926,54.1483966
543,1840,Gresenhorst,Mecklenburg-Vorpommern,12.41503922,54.14839798
544,1841,Marlow,Mecklenburg-Vorpommern,12.58167919,54.14839939
545,1842,Drechow,Mecklenburg-Vorpommern,12.74831917,54.14840085
546,1843,Franzenburg,Mecklenburg-Vorpommern,12.91495916,54.14840235
547,1844,Grimmen,Mecklenburg-Vorpommern,13.08159917,54.14840391
548,1845,Horst,Mecklenburg-Vorpommern,13.24823918,54.14840551
549,1846,Greifswald Nord,Mecklenburg-Vorpommern,13.41487921,54.14840716
550,1847,Lubmin,Mecklenburg-Vorpommern,13.58151926,54.14840887
551,1848,Kröslin,Mecklenburg-Vorpommern,13.74815932,54.14841064
552,1849,Karlshagen,Mecklenburg-Vorpommern,13.91479941,54.14841247
577,1918,Trischen,Schleswig-Holstein,8.748962623,54.04838826
578,1919,Dieksand,Schleswig-Holstein,8.915602526,54.04838883
579,1920,Meldorf,Schleswig-Holstein,9.082242431,54.04838944
580,1921,Süderhastedt,Schleswig-Holstein,9.24888234,54.04839008
581,1922,Schenefeld,Schleswig-Holstein,9.415522253,54.04839076
582,1923,Hohenwestedt,Schleswig-Holstein,9.58216217,54.04839148
583,1924,Hennstedt,Schleswig-Holstein,9.74880209,54.04839223
584,1925,Neumünster,Schleswig-Holstein,9.915442016,54.04839302
585,1926,Groß Kummerfeld,Schleswig-Holstein,10.08208195,54.04839385
586,1927,Bomhöved,Schleswig-Holstein,10.24872188,54.04839472
587,1928,Schlamersdorf,Schleswig-Holstein,10.41536182,54.04839562
588,1929,Ahrensbök,Schleswig-Holstein,10.58200176,54.04839656
589,1930,Süsel,Schleswig-Holstein,10.74864172,54.04839754
590,1931,Pelzerhaken,Schleswig-Holstein,10.91528167,54.04839855
591,1932,Warnkenhagen,Mecklenburg-Vorpommern,11.08192163,54.0483996
592,1933,Gr. Klütz-Höved,Mecklenburg-Vorpommern,11.2485616,54.04840069
593,1934,Kaltenhof,Mecklenburg-Vorpommern,11.41520158,54.04840182
594,1935,Boiensdorf,Mecklenburg-Vorpommern,11.58184156,54.04840299
595,1936,Kröpelin,Mecklenburg-Vorpommern,11.74848155,54.04840419
596,1937,Hanstorf,Mecklenburg-Vorpommern,11.91512155,54.04840544
597,1938,Rostock,Mecklenburg-Vorpommern,12.08176155,54.04840673
598,1939,Dummersdorf,Mecklenburg-Vorpommern,12.24840157,54.04840805
599,1940,Tessin,Mecklenburg-Vorpommern,12.41504159,54.04840942
600,1941,Thelkow,Mecklenburg-Vorpommern,12.58168163,54.04841083
601,1942,Triebses,Mecklenburg-Vorpommern,12.74832167,54.04841229
602,1943,Glewitz,Mecklenburg-Vorpommern,12.91496173,54.04841379
603,1944,Rakow,Mecklenburg-Vorpommern,13.08160179,54.04841535
604,1945,Griebenow,Mecklenburg-Vorpommern,13.24824187,54.04841695
605,1946,Greifswald,Mecklenburg-Vorpommern,13.41488197,54.0484186
606,1947,Kemnitz,Mecklenburg-Vorpommern,13.58152208,54.04842031
607,1948,Wolgast,Mecklenburg-Vorpommern,13.74816221,54.04842208
608,1949,Zinnowitz,Mecklenburg-Vorpommern,13.91480235,54.0484239
609,1950,Koserow,Mecklenburg-Vorpommern,14.08144252,54.04842579
631,2016,Neuwerk West,Hamburg,8.41568365,53.94839871
632,2017,Neuwerk Ost,Hamburg,8.58232361,53.9483992
634,2019,Kaiser-Wilhelm-Koog,Schleswig-Holstein,8.91560354,53.9484003
635,2020,Mame,Schleswig-Holstein,9.08224351,53.94840091
636,2021,Burg (Dithm),Schleswig-Holstein,9.248883483,53.94840155
637,2022,Wilster,Schleswig-Holstein,9.41552346,53.94840223
638,2023,Itzehoe,Schleswig-Holstein,9.58216344,53.94840294
639,2024,Kellinghusen,Schleswig-Holstein,9.748803425,53.9484037
640,2025,Bad Bramstedt,Schleswig-Holstein,9.915443414,53.94840449
641,2026,Heidmühlen,Schleswig-Holstein,10.08208341,53.94840531
642,2027,Bad Segeberg,Schleswig-Holstein,10.24872341,53.94840618
643,2028,Pronstorf,Schleswig-Holstein,10.41536341,53.94840708
644,2029,Curau,Schleswig-Holstein,10.58200342,53.94840802
645,2030,Bad Schwartau,Schleswig-Holstein,10.74864343,53.94840899
646,2031,Travemünde,Schleswig-Holstein,10.91528345,53.94841001
647,2032,Klütz,Mecklenburg-Vorpommern,11.08192348,53.94841106
648,2033,Boltenhagen,Mecklenburg-Vorpommern,11.24856351,53.94841215
649,2034,Insel Poel,Mecklenburg-Vorpommern,11.41520355,53.94841328
650,2035,Neuburg-Steinhausen,Mecklenburg-Vorpommern,11.5818436,53.94841444
651,2036,Kirch-Muslow,Mecklenburg-Vorpommern,11.74848365,53.94841565
652,2037,Satow,Mecklenburg-Vorpommern,11.91512371,53.94841689
653,2038,Schwaan,Mecklenburg-Vorpommern,12.08176378,53.94841817
654,2039,Laage-Kronskamp,Mecklenburg-Vorpommern,12.24840386,53.9484195
655,2040,Laage,Mecklenburg-Vorpommern,12.41504395,53.94842087
656,2041,Walkendorf,Mecklenburg-Vorpommern,12.58168405,53.94842228
657,2042,Gnoien,Mecklenburg-Vorpommern,12.74832416,53.94842373
658,2043,Dargun Nord,Mecklenburg-Vorpommern,12.91496427,53.94842524
659,2044,Demmin,Mecklenburg-Vorpommern,13.08160441,53.94842679
660,2045,Bentzin,Mecklenburg-Vorpommern,13.24824455,53.94842839
661,2046,Jarmen,Mecklenburg-Vorpommern,13.41488471,53.94843004
662,2047,Züssow,Mecklenburg-Vorpommern,13.58152488,53.94843174
663,2048,Rubkow,Mecklenburg-Vorpommern,13.74816507,53.94843351
664,2049,Lassan,Mecklenburg-Vorpommern,13.91480528,53.94843533
665,2050,Bansin,Mecklenburg-Vorpommern,14.08144551,53.94843722
666,2051,Ahlbeck,Mecklenburg-Vorpommern,14.24808577,53.94843918
688,2117,Cuxhaven West,Niedersachsen,8.582324492,53.84841067
689,2118,Cuxhaven,Niedersachsen,8.748964519,53.8484112
690,2119,Otterndorf,Niedersachsen,8.915604549,53.84841177
691,2120,Brunsbüttel,Niedersachsen,9.082244582,53.84841237
692,2121,Freiburg (Elbe),Niedersachsen,9.248884619,53.84841301
693,2122,Krempe,Niedersachsen,9.41552466,53.84841369
694,2123,Lägerdorf,Schleswig-Holstein,9.582164704,53.84841441
695,2124,Brande-Hörnerkirchen,Schleswig-Holstein,9.748804752,53.84841516
696,2125,Kaltenkirchen,Schleswig-Holstein,9.915444805,53.84841595
697,2126,Stuvenbom,Schleswig-Holstein,10.08208486,53.84841678
698,2127,Leezen,Schleswig-Holstein,10.24872492,53.84841764
699,2128,Bad Oldesloe,Schleswig-Holstein,10.41536499,53.84841854
700,2129,Hamberge,Schleswig-Holstein,10.58200506,53.84841948
701,2130,Lübeck,Schleswig-Holstein,10.74864514,53.84842045
702,2131,Schönberg,Mecklenburg-Vorpommern,10.91528523,53.84842147
703,2132,Mallentin,Mecklenburg-Vorpommern,11.08192532,53.84842252
704,2133,Grevensmühlen,Mecklenburg-Vorpommern,11.24856541,53.8484236
705,2134,Wismar,Mecklenburg-Vorpommern,11.41520552,53.84842473
706,2135,Zurow,Mecklenburg-Vorpommern,11.58184563,53.84842589
707,2136,Neukloster,Mecklenburg-Vorpommern,11.74848574,53.8484271
708,2137,Bützow,Mecklenburg-Vorpommern,11.91512587,53.84842834
709,2138,Lüssow,Mecklenburg-Vorpommern,12.081766,53.84842962
710,2139,Güstrow,Mecklenburg-Vorpommern,12.24840614,53.84843095
711,2140,Diekhof,Mecklenburg-Vorpommern,12.41504629,53.84843231
712,2141,Jördenstorf,Mecklenburg-Vorpommern,12.58168645,53.84843372
713,2142,Neukalen,Mecklenburg-Vorpommern,12.74832663,53.84843518
714,2143,Dargun Süd,Mecklenburg-Vorpommern,12.91496681,53.84843668
715,2144,Beggerow,Mecklenburg-Vorpommern,13.081607,53.84843823
716,2145,Daberkow,Mecklenburg-Vorpommern,13.24824721,53.84843982
717,2146,Kriem,Mecklenburg-Vorpommern,13.41488743,53.84844147
718,2147,Medow,Mecklenburg-Vorpommern,13.58152767,53.84844318
719,2148,Anklam,Mecklenburg-Vorpommern,13.74816792,53.84844494
720,2149,Usedom,Mecklenburg-Vorpommern,13.9148082,53.84844676
721,2150,Zirchow,Mecklenburg-Vorpommern,14.08144849,53.84844865
722,2151,Kammike,Mecklenburg-Vorpommern,14.2480888,53.84845061
736,2209,Norderney,Niedersachsen,7.249204725,53.74841923
737,2210,Langeoog West,Niedersachsen,7.415844799,53.74841946
738,2211,Langeoog Ost,Niedersachsen,7.582484875,53.74841973
739,2212,Spiekeroog,Niedersachsen,7.749124953,53.74842004
740,2213,Wangerooge,Niedersachsen,7.915765032,53.74842039
741,2214,Alte Mellum,Niedersachsen,8.082405112,53.74842077
744,2217,Nordholz,Niedersachsen,8.582325368,53.74842214
745,2218,Wanna,Niedersachsen,8.748965459,53.74842267
746,2219,Ihlienworth,Niedersachsen,8.915605552,53.74842323
747,2220,Cadenberge,Niedersachsen,9.082245649,53.74842384
748,2221,Wischhafen,Niedersachsen,9.248885749,53.74842448
749,2222,Glückstadt,Niedersachsen,9.415525852,53.74842516
750,2223,Elmshorn,Schleswig-Holstein,9.58216596,53.74842587
751,2224,Barmstedt,Schleswig-Holstein,9.748806072,53.74842662
752,2225,Qickborn,Schleswig-Holstein,9.915446188,53.74842741
753,2226,Wakendorf,Hamburg,10.08208631,53.74842824
754,2227,Bargteheide,Hamburg,10.24872643,53.7484291
755,2228,Eichede,Schleswig-Holstein,10.41536656,53.74843
756,2229,Krummesse,Schleswig-Holstein,10.5820067,53.74843094
757,2230,Ratzeburg,Schleswig-Holstein,10.74864684,53.74843191
758,2231,Carlow,Schleswig-Holstein,10.91528699,53.74843292
759,2232,Gadebusch,Mecklenburg-Vorpommern,11.08192714,53.74843397
760,2233,Mühlen Eichsen,Mecklenburg-Vorpommern,11.2485673,53.74843506
761,2234,Bad Kleinen,Mecklenburg-Vorpommern,11.41520747,53.74843618
762,2235,Ventschow,Mecklenburg-Vorpommern,11.58184764,53.74843735
763,2236,Sternberg,Mecklenburg-Vorpommern,11.74848782,53.74843855
764,2237,Warriow,Mecklenburg-Vorpommern,11.91512801,53.74843979
765,2238,Prüzen,Mecklenburg-Vorpommern,12.0817682,53.74844107
766,2239,Güstrow,Mecklenburg-Vorpommern,12.24840841,53.74844239
767,2240,Lalendorf,Mecklenburg-Vorpommern,12.41504862,53.74844376
768,2241,Teterow,Mecklenburg-Vorpommern,12.58168885,53.74844517
769,2242,Malchin,Mecklenburg-Vorpommern,12.74832908,53.74844662
770,2243,Ivenack,Mecklenburg-Vorpommern,12.91496933,53.74844812
771,2244,Sarow,Mecklenburg-Vorpommern,13.08160958,53.74844967
772,2245,Gültz,Mecklenburg-Vorpommern,13.24824985,53.74845126
773,2246,Siedenbollentin,Mecklenburg-Vorpommern,13.41489014,53.74845291
774,2247,Spantekow,Mecklenburg-Vorpommern,13.58153044,53.74845461
775,2248,Ducherow,Mecklenburg-Vorpommern,13.74817076,53.74845637
776,2249,Leopoldshagen,Mecklenburg-Vorpommern,13.91481109,53.7484582
777,2250,Ueckermünde,Mecklenburg-Vorpommern,14.08145145,53.74846008
778,2251,Altwarp,Mecklenburg-Vorpommern,14.24809183,53.74846203
789,2306,Insel Borkum (Nord),Niedersachsen,6.749284683,53.64843022
790,2307,Juist West,Niedersachsen,6.915924819,53.64843034
791,2308,Juist Ost,Niedersachsen,7.082564955,53.6484305
792,2309,Hage,Niedersachsen,7.249205092,53.6484307
793,2310,Dornum,Niedersachsen,7.41584523,53.64843093
794,2311,Esens,Niedersachsen,7.582485369,53.6484312
795,2312,Carolinensiel,Niedersachsen,7.749125509,53.64843151
796,2313,Wangerland,Niedersachsen,7.915765651,53.64843186
797,2314,Hooksiel,Niedersachsen,8.082405795,53.64843224
798,2315,Langwarden,Niedersachsen,8.249045941,53.64843266
799,2316,Schmargen,Niedersachsen,8.415686089,53.64843311
800,2317,Langen,Bremen,8.58232624,53.6484336
801,2318,Drangenstedt,Niedersachsen,8.748966393,53.64843413
802,2319,Bad Bederkesa,Niedersachsen,8.915606549,53.6484347
803,2320,Lamstedt,Niedersachsen,9.082246709,53.6484353
804,2321,Himmelepforten,Niedersachsen,9.248886872,53.64843594
805,2322,Stade Nord,Niedersachsen,9.415527038,53.64843662
806,2323,Uetersen,Niedersachsen,9.582167209,53.64843734
807,2324,Pinneberg,Hamburg,9.748807384,53.64843809
808,2325,Niendorf,Hamburg,9.915447562,53.64843888
809,2326,Fuhlsbüttel,Hamburg,10.08208775,53.6484397
810,2327,Ahrensburg,Hamburg,10.24872793,53.64844056
811,2328,Trittau,Schleswig-Holstein,10.41536813,53.64844146
812,2329,Nusse,Schleswig-Holstein,10.58200833,53.6484424
813,2330,Mölln,Schleswig-Holstein,10.74864853,53.64844337
814,2331,Seedorf,Schleswig-Holstein,10.91528874,53.64844438
815,2332,Roggendorf,Mecklenburg-Vorpommern,11.08192896,53.64844543
