Group_name,Species,SpeciesID,Fct_group,Comment,Ecogroup_Phillips,Acc_name,Species_Briones,Ecogroup_Briones,Species_final,Genus,Percent_Epigeic,Percent_Anecic,Percent_Endogeic,Ecogroup_Bottinelli,Ecogroup
Earthworms,Diplotrema papillata,Diplo_papi,NA,NA,Endogeic,Diplotrema papillata,NA,NA,Diplotrema papillata,Diplotrema,NA,NA,NA,NA,Endogeic
Earthworms,Diporodrilus pilosus,Dipor_pilo,NA,NA,NA,Diporodrilus pilosus,NA,NA,Diporodrilus pilosus,Diporodrilus,0,8,92,Endogeic,Endogeic
Earthworms,Dorgiodrilus robustus,Dorgi_robu,NA,NA,Endogeic,Dorgiodrilus robustus,NA,NA,Dorgiodrilus robustus,Dorgiodrilus,NA,NA,NA,NA,Endogeic
Earthworms,Drawida barwelli,Drawi_barw,NA,NA,Endogeic,Drawida barwelli,NA,NA,Drawida barwelli,Drawida,NA,NA,NA,NA,Endogeic
Earthworms,Drawida gisti,Drawi_gist,NA,NA,Endogeic,Drawida gisti,NA,NA,Drawida gisti,Drawida,NA,NA,NA,NA,Endogeic
Earthworms,Drawida japonica,Drawi_japo,NA,NA,Endogeic,Drawida japonica,NA,NA,Drawida japonica,Drawida,NA,NA,NA,NA,Endogeic
Earthworms,Drawida nepalensis,Drawi_nepa,NA,NA,Anecic,Drawida nepalensis,NA,NA,Drawida nepalensis,Drawida,NA,NA,NA,NA,Anecic
Earthworms,Eisenia andrei,Eisen_andr,NA,NA,Epigeic,Eisenia andrei,Eisenia andrei,Epigeic,Eisenia andrei,Eisenia,94,3,3,Epigeic,Epigeic
Earthworms,Eisenia atlavinyteae,Eisen_atla,NA,NA,Epi-Endogeic,Eisenia atlavinyteae,NA,NA,Eisenia atlavinyteae,Eisenia,NA,NA,NA,NA,Epi-Endogeic
Earthworms,Eisenia austriaca,Eisen_aust,NA,NA,NA,Eisenia austriaca,NA,NA,Eisenia austriaca,Eisenia,NA,NA,NA,NA,NA
Earthworms,Eisenia balatonica,Eisen_bala,NA,NA,NA,Eisenia balatonica,Eisenia balatonica,Epigeic,Eisenia balatonica,Eisenia,NA,NA,NA,NA,Epigeic
Earthworms,Eisenia fetida,Eisen_feti,NA,NA,Epigeic,Eisenia fetida,Eisenia fetida,Epigeic,Eisenia fetida,Eisenia,93,4,3,Epigeic,Epigeic
Earthworms,Eisenia japonica,Eisen_japo,NA,NA,Endogeic,Eisenia japonica,NA,NA,Eisenia japonica,Eisenia,NA,NA,NA,NA,Endogeic
Earthworms,Eisenia lucens,Eisen_luce,NA,NA,Epigeic,Eisenia lucens,Eisenia lucens,Epigeic,Eisenia lucens,Eisenia,NA,NA,NA,NA,Epigeic
Earthworms,Eisenia nordenskioldi,Eisen_nord,NA,NA,NA,Eisenia nordenskioldi,Eisenia nordenskioldi,Epi-Endogeic,Eisenia nordenskioldi,Eisenia,NA,NA,NA,NA,Epi-Endogeic
Earthworms,Eisenia nordenskioldi nordenskioldi,Eisen_nord,NA,NA,Epi-Endogeic,Eisenia nordenskioldi nordenskioldi,Eisenia nordenskioldi,Epi-Endogeic,Eisenia nordenskioldi,Eisenia,NA,NA,NA,NA,Epi-Endogeic
Earthworms,Eisenia rhodopensis,Eisen_rhod,NA,NA,NA,Eisenia rhodopensis,NA,NA,Eisenia rhodopensis,Eisenia,NA,NA,NA,NA,NA
Earthworms,Eisenia spelaea,Eisen_spel,NA,NA,NA,Eisenia spelaea,Eisenia spelaea,Epigeic,Eisenia spelaea,Eisenia,NA,NA,NA,NA,Epigeic
Earthworms,Eisenia spelea,Eisen_spel,NA,NA,NA,Eisenia spelea,NA,NA,Eisenia spelea,Eisenia,NA,NA,NA,NA,NA
Earthworms,Eisenia submontana,Eisen_subm,NA,NA,NA,Eisenia submontana,NA,NA,Eisenia submontana,Eisenia,NA,NA,NA,NA,NA
Earthworms,Eiseniella balatonica,Eisen_bala,NA,NA,NA,Eiseniella balatonica,Eisenia balatonica,NA,Eisenia balatonica,Eisenia,NA,NA,NA,NA,NA
Earthworms,Eiseniella balcanica,Eisen_balc,NA,NA,NA,Eiseniella balcanica,NA,NA,Eiseniella balcanica,Eiseniella,NA,NA,NA,NA,NA
Earthworms,Eiseniella neapolitana,Eisen_neap,NA,NA,NA,Eiseniella neapolitana,NA,NA,Eiseniella neapolitana,Eiseniella,NA,NA,NA,NA,NA
Earthworms,Eiseniella ochridana,Eisen_ochr,NA,NA,NA,Eiseniella ochridana,NA,NA,Eiseniella ochridana,Eiseniella,NA,NA,NA,NA,NA
Earthworms,Eiseniella oltenica,Eisen_olte,NA,NA,NA,Eiseniella oltenica,NA,NA,Eiseniella oltenica,Eiseniella,NA,NA,NA,NA,NA
Earthworms,Eiseniella tetraedra,Eisen_tetr,NA,NA,Epigeic,Eiseniella tetraedra,Eiseniella tetraedra,Epigeic,Eiseniella tetraedra,Eiseniella,78,22,0,Epigeic,Epigeic
Earthworms,Eiseniona albolineata,Eisen_albo,NA,NA,NA,Eiseniona albolineata,NA,NA,Eiseniona albolineata,Eiseniona,NA,NA,NA,NA,NA
Earthworms,Eiseniona hardlirschi,Aporr_hand,NA,NA,Endogeic,Eiseniona handlirschi,Aporrectodea handlirschi,Endogeic,Aporrectodea handlirschi,Aporrectodea,NA,NA,NA,NA,Endogeic
Earthworms,Eiseniona oliveirai,Eisen_oliv,NA,NA,NA,Eiseniona oliveirai,NA,NA,Eiseniona oliveirai,Eiseniona,NA,NA,NA,NA,NA
Earthworms,Eminoscolex lamani,Emino_lama,NA,NA,Epigeic,Eminoscolex lamani,NA,NA,Eminoscolex lamani,Eminoscolex,NA,NA,NA,NA,Epigeic
Earthworms,Eminoscolex violaceus,Emino_viol,NA,NA,Epigeic,Eminoscolex violaceus,NA,NA,Eminoscolex violaceus,Eminoscolex,NA,NA,NA,NA,Epigeic
Earthworms,Enterion cyaneum,Octol_cyan,NA,NA,NA,Enterion cyaneum,Octolasion cyaneum,NA,Octolasion cyaneum,Octolasion,21,24,55,Intermediate,Intermediate
Earthworms,Enterion festivum,Lumbr_fest,NA,NA,NA,Enterion festivum,Lumbricus festivus,NA,Lumbricus festivus,Lumbricus,66,34,0,Epi-anecic,Epi-anecic
Earthworms,Enterion polyphemus,Lumbr_poly,NA,NA,NA,Enterion polyphemus,Lumbricus polyphemus,NA,Lumbricus polyphemus,Lumbricus,NA,NA,NA,NA,NA
Earthworms,Enterion pygmaeum,Dendr_pygm,NA,NA,NA,Enterion pygmaeum,Dendrobaena pygmaea,NA,Dendrobaena pygmaea,Dendrobaena,NA,NA,NA,NA,NA
Earthworms,Enterion tyrtaeum,Octol_tyrt,NA,NA,NA,Enterion tyrtaeum,Octolasion tyrtaeum,NA,Octolasion tyrtaeum,Octolasion,NA,NA,NA,NA,NA
Earthworms,Eophila crodabepis,Eophi_crod,NA,NA,NA,Eophila crodabepis,NA,NA,Eophila crodabepis,Eophila,NA,NA,NA,NA,NA
Earthworms,Eophila cyanea,Eophi_cyan,NA,NA,NA,Eophila cyanea,NA,NA,Eophila cyanea,Eophila,NA,NA,NA,NA,NA
Earthworms,Eophila icterica,Aporr_icte,NA,NA,NA,Eophila icterica,Aporrectodea icterica,NA,Aporrectodea icterica,Aporrectodea,NA,NA,NA,NA,NA
Earthworms,Eophila pyrenaica,Eophi_pyre,NA,NA,NA,Eophila pyrenaica,NA,NA,Eophila pyrenaica,Eophila,NA,NA,NA,NA,NA
Earthworms,Eophila tellinii,Eophi_tell,NA,NA,NA,Eophila tellinii,Eophila tellinii,Anecic,Eophila tellinii,Eophila,NA,NA,NA,NA,Anecic
Earthworms,Ephyriodrilus afroccidentalis,Ephyr_afro,NA,NA,Epigeic,Ephyriodrilus afroccidentalis,NA,NA,Ephyriodrilus afroccidentalis,Ephyriodrilus,NA,NA,NA,NA,Epigeic
Earthworms,Ethnodrilus aveli,Ethno_avel,NA,NA,NA,Ethnodrilus aveli,NA,NA,Ethnodrilus aveli,Ethnodrilus,16,0,84,Endogeic,Endogeic
Earthworms,Eudrilus eugeniae,Eudri_euge,NA,NA,Epi-Endogeic,Eudrilus eugeniae,NA,NA,Eudrilus eugeniae,Eudrilus,NA,NA,NA,NA,Epi-Endogeic
Earthworms,Eudrilus pallidus,Eudri_pall,NA,NA,Epigeic,Eudrilus pallidus,NA,NA,Eudrilus pallidus,Eudrilus,NA,NA,NA,NA,Epigeic
Earthworms,Eukerria saltensis,Euker_salt,NA,NA,Endogeic,Eukerria saltensis,Eukerria saltensis,Endogeic,Eukerria saltensis,Eukerria,NA,NA,NA,NA,Endogeic
Earthworms,Eutyphoeus incommodus,Eutyp_inco,NA,NA,Epi-Endogeic,Eutyphoeus incommodus,NA,NA,Eutyphoeus incommodus,Eutyphoeus,NA,NA,NA,NA,Epi-Endogeic
Earthworms,Eutyphoeus mizoramensis,Eutyp_mizo,NA,NA,Anecic,Eutyphoeus mizoramensis,NA,NA,Eutyphoeus mizoramensis,Eutyphoeus,NA,NA,NA,NA,Anecic
Earthworms,Eutyphoeus waltoni,Eutyp_walt,NA,NA,Anecic,Eutyphoeus waltoni,NA,NA,Eutyphoeus waltoni,Eutyphoeus,NA,NA,NA,NA,Anecic
Earthworms,Fimoscolex bartzi,Fimos_bart,NA,NA,Endogeic,Fimoscolex bartzi,NA,NA,Fimoscolex bartzi,Fimoscolex,NA,NA,NA,NA,Endogeic
Earthworms,Firzingeria platyura,Dendr_plat,NA,NA,Anecic,Fitzingeria platyura,Dendrobaena platyura,Anecic,Dendrobaena platyura,Dendrobaena,NA,NA,NA,NA,Anecic
Earthworms,Fitzingeria platyura,Fitzi_plat,NA,NA,NA,Fitzingeria platyura,NA,NA,Fitzingeria platyura,Fitzingeria,NA,NA,NA,NA,NA
Earthworms,Gatesona chaetophora,Gates_chae,NA,NA,NA,Gatesona chaetophora,NA,NA,Gatesona chaetophora,Gatesona,NA,NA,NA,NA,NA
Earthworms,Gemascolex lateralis,Gemas_late,NA,NA,Epi-Endogeic,Gemascolex lateralis,NA,NA,Gemascolex lateralis,Gemascolex,NA,NA,NA,NA,Epi-Endogeic
Earthworms,Gemascolex octothecatus,Gemas_octo,NA,NA,Endogeic,Gemascolex octothecatus,NA,NA,Gemascolex octothecatus,Gemascolex,NA,NA,NA,NA,Endogeic
Earthworms,Gemascolex walkeri,Gemas_walk,NA,NA,Endogeic,Gemascolex walkeri,NA,NA,Gemascolex walkeri,Gemascolex,NA,NA,NA,NA,Endogeic
Earthworms,Glossodrilus parecis,Gloss_pare,NA,NA,Endogeic,Glossodrilus parecis,NA,NA,Glossodrilus parecis,Glossodrilus,NA,NA,NA,NA,Endogeic
Earthworms,Glossoscolex giocondoi,Gloss_gioc,NA,NA,Endogeic,Glossoscolex giocondoi,NA,NA,Glossoscolex giocondoi,Glossoscolex,NA,NA,NA,NA,Endogeic
Earthworms,Gordiodrilus marcusi,Gordi_marc,NA,NA,Endogeic,Gordiodrilus marcusi,NA,NA,Gordiodrilus marcusi,Gordiodrilus,NA,NA,NA,NA,Endogeic
Earthworms,Gordiodrilus wemanus,Gordi_wema,NA,NA,Endogeic,Gordiodrilus wemanus,NA,NA,Gordiodrilus wemanus,Gordiodrilus,NA,NA,NA,NA,Endogeic
Earthworms,Healyella boluana,Healy_bolu,NA,NA,NA,Healyella boluana,NA,NA,Healyella boluana,Healyella,NA,NA,NA,NA,NA
Earthworms,Healyella zicsii,Healy_zics,NA,NA,NA,Healyella zicsii,NA,NA,Healyella zicsii,Healyella,NA,NA,NA,NA,NA
Earthworms,Helodrilus putris,Helod_NA,NA,NA,NA,Helodrilus,NA,NA,Helodrilus,Helodrilus,NA,NA,NA,NA,NA
Earthworms,Helodrilus cortezi,Helod_cort,NA,NA,NA,Helodrilus cortezi,NA,NA,Helodrilus cortezi,Helodrilus,NA,NA,NA,NA,NA
Earthworms,Helodrilus moebii,Helod_moeb,NA,NA,NA,Helodrilus moebii,NA,NA,Helodrilus moebii,Helodrilus,NA,NA,NA,NA,NA
Earthworms,Helodrilus norvegicus,Helod_norv,NA,NA,NA,Helodrilus norvegicus,NA,NA,Helodrilus norvegicus,Helodrilus,NA,NA,NA,NA,NA
Earthworms,Helodrilus oculatus,Helod_ocul,NA,NA,Epi-Endogeic,Helodrilus oculatus,Helodrilus oculatus,Epi-Endogeic,Helodrilus oculatus,Helodrilus,NA,NA,NA,NA,Epi-Endogeic
Earthworms,Helodrilus patriarchalis,Helod_patr,NA,NA,NA,Helodrilus patriarchalis,NA,NA,Helodrilus patriarchalis,Helodrilus,NA,NA,NA,NA,NA
Earthworms,Hemigastrodrilus monicae,Hemig_moni,NA,NA,NA,Hemigastrodrilus monicae,Hemigastrodrilus monicae,Endogeic,Hemigastrodrilus monicae,Hemigastrodrilus,0,0,100,Endogeic,Endogeic
Earthworms,Heteroporodrilus shephardi,Heter_shep,NA,NA,Endogeic,Heteroporodrilus shephardi,NA,NA,Heteroporodrilus shephardi,Heteroporodrilus,NA,NA,NA,NA,Endogeic
Earthworms,Hormogaster castillana,Hormo_cast,NA,NA,NA,Hormogaster castillana,NA,NA,Hormogaster castillana,Hormogaster,NA,NA,NA,NA,NA
Earthworms,Hormogaster elisae,Hormo_elis,NA,NA,Endogeic,Hormogaster elisae,Hormogaster elisae,Endogeic,Hormogaster elisae,Hormogaster,NA,NA,NA,NA,Endogeic
Earthworms,Hormogaster najaformis,Hormo_naja,NA,NA,NA,Hormogaster najaformis,Hormogaster najaformis,Endogeic,Hormogaster najaformis,Hormogaster,NA,NA,NA,NA,Endogeic
Earthworms,Hormogaster pretiosa,Hormo_pret,NA,NA,NA,Hormogaster pretiosa,NA,NA,Hormogaster pretiosa,Hormogaster,NA,NA,NA,NA,NA
Earthworms,Hormogaster redii,Hormo_redi,NA,NA,NA,Hormogaster redii,NA,NA,Hormogaster redii,Hormogaster,NA,NA,NA,NA,NA
Earthworms,Hormogaster riojana,Hormo_rioj,NA,NA,NA,Hormogaster riojana,Hormogaster riojana,Endogeic,Hormogaster riojana,Hormogaster,NA,NA,NA,NA,Endogeic
Earthworms,Hormogaster samnitica,Hormo_samn,NA,NA,NA,Hormogaster samnitica,Hormogaster samnitica,Endogeic,Hormogaster samnitica,Hormogaster,NA,NA,NA,NA,Endogeic
Earthworms,Hyperiodrilus africanus,Hyper_afri,NA,NA,Epi-Endogeic,Hyperiodrilus africanus,NA,NA,Hyperiodrilus africanus,Hyperiodrilus,NA,NA,NA,NA,Epi-Endogeic
Earthworms,Kenleenus armadas,Kenle_arma,NA,NA,NA,Kenleenus armadas,NA,NA,Kenleenus armadas,Kenleenus,NA,NA,NA,NA,NA
Earthworms,Kritodrilus micrurus,Krito_micr,NA,NA,NA,Kritodrilus micrurus,NA,NA,Kritodrilus micrurus,Kritodrilus,NA,NA,NA,NA,NA
Earthworms,Kritodrilus tetryae,Krito_tetr,NA,NA,NA,Kritodrilus tetryae,NA,NA,Kritodrilus tetryae,Kritodrilus,NA,NA,NA,NA,NA
Earthworms,Lampito mauritti,Lampi_maur,NA,NA,Anecic,Lampito mauritti,NA,NA,Lampito mauritti,Lampito,NA,NA,NA,NA,Anecic
Earthworms,Larsonidrilus orbiculatus,Larso_orbi,NA,NA,Endogeic,Larsonidrilus orbiculatus,NA,NA,Larsonidrilus orbiculatus,Larsonidrilus,NA,NA,NA,NA,Endogeic
Earthworms,Lavellodrilus bonampakensis,Lavel_bona,NA,NA,Endogeic,Lavellodrilus bonampakensis,NA,NA,Lavellodrilus bonampakensis,Lavellodrilus,NA,NA,NA,NA,Endogeic
Earthworms,Lennogaster pusilla,Lenno_pusi,NA,NA,Epigeic,Leptogaster pusilla,NA,NA,Leptogaster pusilla,Leptogaster,NA,NA,NA,NA,Epigeic
Earthworms,Lumbricus badensis,Lumbr_bade,NA,NA,NA,Lumbricus badensis,Lumbricus badensis,Anecic,Lumbricus badensis,Lumbricus,NA,NA,NA,NA,Anecic
Earthworms,Lumbricus baicalensis,Lumbr_baic,NA,NA,NA,Lumbricus baicalensis,Lumbricus baicalensis,Epigeic,Lumbricus baicalensis,Lumbricus,NA,NA,NA,NA,Epigeic
Earthworms,Lumbricus castaneus,Lumbr_cast,NA,NA,Epigeic,Lumbricus castaneus,Lumbricus castaneus,Epigeic,Lumbricus castaneus,Lumbricus,90,10,0,Epigeic,Epigeic
Earthworms,Lumbricus centralis,Lumbr_cent,NA,NA,NA,Lumbricus centralis,Lumbricus centralis,Epi-anecic,Lumbricus centralis,Lumbricus,34,66,0,Epi-anecic,Epi-anecic
Earthworms,Lumbricus festivus,Lumbr_fest,NA,NA,Anecic,Lumbricus festivus,Lumbricus festivus,Epi-anecic,Lumbricus festivus,Lumbricus,66,34,0,Epi-anecic,Epi-anecic
Earthworms,Lumbricus friendi,Lumbr_frie,NA,NA,Anecic,Lumbricus friendi,Lumbricus friendi,Anecic,Lumbricus friendi,Lumbricus,34,66,0,Epi-anecic,Anecic
Earthworms,Lumbricus gigas,Lumbr_giga,NA,NA,NA,Lumbricus gigas,NA,NA,Lumbricus gigas,Lumbricus,NA,NA,NA,NA,NA
Earthworms,Lumbricus herculeus,Lumbr_herc,NA,NA,NA,Lumbricus herculeus,Lumbricus herculeus,Anecic,Lumbricus herculeus,Lumbricus,34,66,0,Epi-anecic,Anecic
Earthworms,Lumbricus klarae,Lumbr_klar,NA,NA,NA,Lumbricus klarae,Lumbricus klarae,Epigeic,Lumbricus klarae,Lumbricus,NA,NA,NA,NA,Epigeic
Earthworms,Lumbricus lucens,Eisen_luce,NA,NA,NA,Lumbricus lucens,Esienia lucens,NA,Eisenia lucens,Eisenia,NA,NA,NA,NA,NA
Earthworms,Lumbricus meliboeus,Lumbr_meli,NA,NA,Anecic,Lumbricus meliboeus,Lumbricus meliboeus,Epi-anecic,Lumbricus meliboeus,Lumbricus,64,36,0,Epi-anecic,Epi-anecic
Earthworms,Lumbricus polyphemus,Lumbr_poly,NA,NA,Anecic,Lumbricus polyphemus,Lumbricus polyphemus,Anecic,Lumbricus polyphemus,Lumbricus,NA,NA,NA,NA,Anecic
Earthworms,Lumbricus rubellus,Lumbr_rube,NA,NA,Epigeic,Lumbricus rubellus,Lumbricus rubellus,Epigeic,Lumbricus rubellus,Lumbricus,85,15,0,Epigeic,Epigeic
Earthworms,Lumbricus terrestris,Lumbr_terr,NA,NA,Anecic,Lumbricus terrestris,Lumbricus terrestris,Anecic,Lumbricus terrestris,Lumbricus,NA,NA,NA,NA,Anecic
Earthworms,Malodrilus buarensis,Malod_buar,NA,NA,Epigeic,Malodrilus buarensis,NA,NA,Malodrilus buarensis,Malodrilus,NA,NA,NA,NA,Epigeic
Earthworms,Mayadrilus calakmulensis,Mayad_cala,NA,NA,NA,Mayadrilus calakmulensis,NA,NA,Mayadrilus calakmulensis,Mayadrilus,NA,NA,NA,NA,NA
Earthworms,Metaphire cai,Metap_cai,NA,NA,NA,Metaphire cai,NA,NA,Metaphire cai,Metaphire,NA,NA,NA,NA,NA
Earthworms,Metaphire californica,Metap_cali,NA,NA,Epi-Endogeic,Metaphire californica,NA,NA,Metaphire californica,Metaphire,NA,NA,NA,NA,Epi-Endogeic
Earthworms,Metaphire guillelmi,Metap_guil,NA,NA,Anecic,Metaphire guillelmi,NA,NA,Metaphire guillelmi,Metaphire,NA,NA,NA,NA,Anecic
Earthworms,Metaphire houlleti,Metap_houl,NA,NA,Epi-Endogeic,Metaphire houlleti,NA,NA,Metaphire houlleti,Metaphire,NA,NA,NA,NA,Epi-Endogeic
Earthworms,Metaphire kiengiangensis,Metap_kien,NA,NA,NA,Metaphire kiengiangensis,Metaphire kiengiangensis,Endogeic,Metaphire kiengiangensis,Metaphire,NA,NA,NA,NA,Endogeic
Earthworms,Metaphire megascolidioides,Metap_mega,NA,NA,Anecic,Metaphire megascolidioides,NA,NA,Metaphire megascolidioides,Metaphire,NA,NA,NA,NA,Anecic
Earthworms,Metaphire posthuma,Metap_post,NA,NA,Endogeic,Metaphire posthuma,NA,NA,Metaphire posthuma,Metaphire,NA,NA,NA,NA,Endogeic
Earthworms,Metaphire tschiliensis,Metap_tsch,NA,NA,Endogeic,Metaphire tschiliensis,NA,NA,Metaphire tschiliensis,Metaphire,NA,NA,NA,NA,Endogeic
Earthworms,Microscolex dubius,Micro_dubi,NA,NA,Epi-Endogeic,Microscolex dubius,Microscolex dubius,Epi-Endogeic,Microscolex dubius,Microscolex,30,0,70,Epi-endogeic,Epi-Endogeic
Earthworms,Microscolex phosphoreus,Micro_phos,NA,NA,Endogeic,Microscolex phosphoreus,Microscolex phosphoreus,Endogeic,Microscolex phosphoreus,Microscolex,29,0,71,Epi-endogeic,Endogeic
Earthworms,Millsonia guttata,Mills_gutt,NA,NA,Endogeic,Millsonia guttata,NA,NA,Millsonia guttata,Millsonia,NA,NA,NA,NA,Endogeic
Earthworms,Millsonia inermis,Mills_iner,NA,NA,Endogeic,Millsonia inermis,NA,NA,Millsonia inermis,Millsonia,NA,NA,NA,NA,Endogeic
Earthworms,Millsonia lamtoiana,Mills_lamt,NA,NA,Endogeic,Millsonia lamtoiana,NA,NA,Millsonia lamtoiana,Millsonia,NA,NA,NA,NA,Endogeic
Earthworms,Millsonia schlegeli,Mills_schl,NA,NA,Endogeic,Millsonia schlegeli,NA,NA,Millsonia schlegeli,Millsonia,NA,NA,NA,NA,Endogeic
Earthworms,Murchieona minuscula,Murch_minu,NA,NA,NA,Murchieona minuscula,Murchieona minuscula,Endogeic,Murchieona minuscula,Murchieona,NA,NA,NA,NA,Endogeic
Earthworms,Murchieona muldali,Murch_muld,NA,NA,Endogeic,Murchieona muldali,Murchieona muldali,Endogeic,Murchieona muldali,Murchieona,NA,NA,NA,NA,Endogeic
Earthworms,Nematogenia lacuum,Nemat_lacu,NA,NA,NA,Nematogenia lacuum,NA,NA,Nematogenia lacuum,Nematogenia,NA,NA,NA,NA,NA
Earthworms,Neotrigaster rufa,Neotr_rufa,NA,NA,Epigeic,Neotrigaster rufa,NA,NA,Neotrigaster rufa,Neotrigaster,NA,NA,NA,NA,Epigeic
Earthworms,Nicodrilus rubicundus,Nicod_rubi,NA,NA,NA,Nicodrilus rubicundus,NA,NA,Nicodrilus rubicundus,Nicodrilus,NA,NA,NA,NA,NA
Earthworms,Ocnerodrilus eiseni,Ocner_eise,NA,NA,NA,Ocnerodrilus eiseni,NA,NA,Ocnerodrilus eiseni,Ocnerodrilus,NA,NA,NA,NA,NA
Earthworms,Ocnerodrilus occidentalis,Ocner_occi,NA,NA,Endogeic,Ocnerodrilus occidentalis,Ocnerodrilus occidentalis,Endogeic,Ocnerodrilus occidentalis,Ocnerodrilus,NA,NA,NA,NA,Endogeic
Earthworms,Octochaetona beatrix,Octoc_beat,NA,NA,Endogeic,Octochaetona beatrix,NA,NA,Octochaetona beatrix,Octochaetona,NA,NA,NA,NA,Endogeic
Earthworms,Octodriloides boninoi,Octod_boni,NA,NA,NA,Octodriloides boninoi,NA,NA,Octodriloides boninoi,Octodriloides,NA,NA,NA,NA,NA
Earthworms,Octodriloides damianii,Octod_dami,NA,NA,Endogeic,Octodriloides damianii,Octodriloides damianii,Endogeic,Octodriloides damianii,Octodriloides,NA,NA,NA,NA,Endogeic
Earthworms,Octodriloides kovacevici,Octod_kova,NA,NA,Endogeic,Octodriloides kovacevici,NA,NA,Octodriloides kovacevici,Octodriloides,NA,NA,NA,NA,Endogeic
Earthworms,Octodrilus argoviensis,Octod_argo,NA,NA,Epigeic,Octodrilus argoviensis,Octodrilus argoviensis,Epigeic,Octodrilus argoviensis,Octodrilus,NA,NA,NA,NA,Epigeic
Earthworms,Octodrilus bretscheri,Octod_bret,NA,NA,NA,Octodrilus bretscheri,Octodrilus bretscheri,Endogeic,Octodrilus bretscheri,Octodrilus,NA,NA,NA,NA,Endogeic
Earthworms,Octodrilus complanatus,Octod_comp,NA,NA,Anecic,Octodrilus complanatus,Octodrilus complanatus,Anecic,Octodrilus complanatus,Octodrilus,4,75,21,Anecic,Anecic
Earthworms,Octodrilus compromissus,Octod_comp,NA,NA,NA,Octodrilus compromissus,Octodrilus compromissus,Endogeic,Octodrilus compromissus,Octodrilus,4,75,21,Anecic,Endogeic
Earthworms,Octodrilus exacystis,Octod_exac,NA,NA,NA,Octodrilus exacystis,Octodrilus exacystis,Endogeic,Octodrilus exacystis,Octodrilus,NA,NA,NA,NA,Endogeic
Earthworms,Octodrilus gradinescui,Octod_grad,NA,NA,NA,Octodrilus gradinescui,NA,NA,Octodrilus gradinescui,Octodrilus,NA,NA,NA,NA,NA
Earthworms,Octodrilus hemiandrus,Octod_hemi,NA,NA,NA,Octodrilus hemiandrus,NA,NA,Octodrilus hemiandrus,Octodrilus,NA,NA,NA,NA,NA
Earthworms,Octodrilus juvyi,Octod_juvy,NA,NA,NA,Octodrilus juvyi,Octodrilus juvyi,Epigeic,Octodrilus juvyi,Octodrilus,NA,NA,NA,NA,Epigeic
Earthworms,Octodrilus kvarnerus,Octod_kvar,NA,NA,Endogeic,Octodrilus kvarnerus,NA,NA,Octodrilus kvarnerus,Octodrilus,NA,NA,NA,NA,Endogeic
Earthworms,Octodrilus lissaensis,Octod_liss,NA,NA,Endogeic,Octodrilus lissaensis,Octodrilus lissaensis,Endogeic,Octodrilus lissaensis,Octodrilus,NA,NA,NA,NA,Endogeic
Earthworms,Octodrilus mimus,Octod_mimu,NA,NA,NA,Octodrilus mimus,Octodrilus mimus,Anecic,Octodrilus mimus,Octodrilus,NA,NA,NA,NA,Anecic
Earthworms,Octodrilus pseudotranspadanus,Octod_pseu,NA,NA,NA,Octodrilus pseudotranspadanus,NA,NA,Octodrilus pseudotranspadanus,Octodrilus,NA,NA,NA,NA,NA
Earthworms,Octodrilus slovenicus,Octod_slov,NA,NA,Anecic,Octodrilus slovenicus,NA,NA,Octodrilus slovenicus,Octodrilus,NA,NA,NA,NA,Anecic
Earthworms,Octodrilus tergestinus,Octod_terg,NA,NA,NA,Octodrilus tergestinus,NA,NA,Octodrilus tergestinus,Octodrilus,NA,NA,NA,NA,NA
Earthworms,Octodrilus transpadanus,Octod_tran,NA,NA,Endogeic,Octodrilus transpadanus,Octodrilus transpadanus,Endogeic,Octodrilus transpadanus,Octodrilus,NA,NA,NA,NA,Endogeic
Earthworms,Octolasion oerley,Octol_NA,NA,NA,NA,Octolasion,NA,NA,Octolasion,Octolasion,NA,NA,NA,NA,NA
Earthworms,Octolasion cyaneum,Octol_cyan,NA,NA,Endogeic,Octolasion cyaneum,Octolasion cyaneum,Endogeic,Octolasion cyaneum,Octolasion,21,24,55,Intermediate,Endogeic
Earthworms,Octolasion gracile,Octol_grac,NA,NA,NA,Octolasion gracile,NA,NA,Octolasion gracile,Octolasion,14,20,66,Endo-anecic,Endo-anecic
Earthworms,Octolasion lacteum,Octol_lact,NA,NA,Endogeic,Octolasion lacteum,Octolasion lacteum,Endogeic,Octolasion lacteum,Octolasion,14,20,66,Endo-anecic,Endogeic
Earthworms,Octolasion tyrtaeum,Octol_tyrt,NA,NA,Epi-Endogeic,Octolasion tyrtaeum,Octolasion tyrtaeum,Epi-Endogeic,Octolasion tyrtaeum,Octolasion,NA,NA,NA,NA,Epi-Endogeic
Earthworms,Octolasion tyrtaeum ,Octol_tyrt,NA,NA,Epi-Endogeic,Octolasion tyrtaeum,NA,NA,Octolasion tyrtaeum,Octolasion,NA,NA,NA,NA,Epi-Endogeic
Earthworms,Octolasium complanatum,Octol_comp,NA,NA,NA,Octolasium complanatum,NA,NA,Octolasium complanatum,Octolasium,NA,NA,NA,NA,NA
Earthworms,Octolasium croaticum,Octol_croa,NA,NA,NA,Octolasium croaticum,NA,NA,Octolasium croaticum,Octolasium,NA,NA,NA,NA,NA
