Group_name,Species,SpeciesID,Fct_group,Comment,Ecogroup_Phillips,Acc_name,Species_Briones,Ecogroup_Briones,Species_final,Genus,Percent_Epigeic,Percent_Anecic,Percent_Endogeic,Ecogroup_Bottinelli,Ecogroup
Earthworms,Allolobophora thaleri,Aporr_thal,NA,NA,NA,Allolobophora thaleri,Aporrectodea thaleri,N/A,Aporrectodea thaleri,Aporrectodea,NA,NA,NA,NA,N/A
Earthworms,Allobophoridella eiseni,Allol_eise,NA,NA,Epigeic,Allolobophoridella eiseni,NA,NA,Allolobophoridella eiseni,Allolobophoridella,NA,NA,NA,NA,Epigeic
Earthworms,Allolobophoridella eiseni,Allol_eise,NA,NA,Epigeic,Allolobophoridella eiseni,Allolobophoridella eiseni,Epigeic,Allolobophoridella eiseni,Allolobophoridella,NA,NA,NA,NA,Epigeic
Earthworms,Allurus neapolitanus,Allur_neap,NA,NA,NA,Allurus neapolitanus,NA,NA,Allurus neapolitanus,Allurus,NA,NA,NA,NA,NA
Earthworms,Amynthas agrestis,Amynt_agre,NA,NA,Epi-Endogeic,Amynthas agrestis,Amynthas agrestis,Epi-endogeic,Amynthas agrestis,Amynthas,NA,NA,NA,NA,Epi-endogeic
Earthworms,Amynthas aspergillum,Amynt_aspe,NA,NA,Anecic,Amynthas aspergillum,NA,NA,Amynthas aspergillum,Amynthas,NA,NA,NA,NA,Anecic
Earthworms,Amynthas corticis,Amynt_cort,NA,NA,Epi-Endogeic,Amynthas corticis,Amynthas corticis,Epi-endogeic,Amynthas corticis,Amynthas,NA,NA,NA,NA,Epi-endogeic
Earthworms,Amynthas gracilis,Amynt_grac,NA,NA,Epi-Endogeic,Amynthas gracilis,NA,NA,Amynthas gracilis,Amynthas,NA,NA,NA,NA,Epi-Endogeic
Earthworms,Amynthas heterochaetus,Amynt_hete,NA,NA,NA,Amynthas heterochaetus,NA,NA,Amynthas heterochaetus,Amynthas,NA,NA,NA,NA,NA
Earthworms,Amynthas hupeiensis,Amynt_hupe,NA,NA,Endogeic,Amynthas hupeiensis,NA,NA,Amynthas hupeiensis,Amynthas,NA,NA,NA,NA,Endogeic
Earthworms,Amynthas mediocus,Amynt_medi,NA,NA,NA,Amynthas mediocus,NA,NA,Amynthas mediocus,Amynthas,NA,NA,NA,NA,NA
Earthworms,Amynthas minimus,Amynt_mini,NA,NA,Endogeic,Amynthas minimus,NA,NA,Amynthas minimus,Amynthas,NA,NA,NA,NA,Endogeic
Earthworms,Amynthas morrisi,Amynt_morr,NA,NA,Epi-Endogeic,Amynthas morrisi,NA,NA,Amynthas morrisi,Amynthas,NA,NA,NA,NA,Epi-Endogeic
Earthworms,Amynthas rodericensis,Amynt_rode,NA,NA,NA,Amynthas rodericensis,NA,NA,Amynthas rodericensis,Amynthas,NA,NA,NA,NA,NA
Earthworms,Amynthas tokioensis,Amynt_toki,NA,NA,Epi-Endogeic,Amynthas tokioensis,NA,NA,Amynthas tokioensis,Amynthas,NA,NA,NA,NA,Epi-Endogeic
Earthworms,Anisochaeta macleayi,Aniso_macl,NA,NA,Epi-Endogeic,Anisochaeta macleayi,NA,NA,Anisochaeta macleayi,Anisochaeta,NA,NA,NA,NA,Epi-Endogeic
Earthworms,Aporrectodea oerley,Aporr_NA,NA,NA,NA,Aporrectodea,NA,NA,Aporrectodea,Aporrectodea,NA,NA,NA,NA,NA
Earthworms,Aporrectodea caliginosa,Aporr_cali,NA,NA,Endogeic,Aporrectodea caliginosa,Aporrectodea caliginosa,Endogeic,Aporrectodea caliginosa,Aporrectodea,NA,NA,NA,NA,Endogeic
Earthworms,Aporrectodea cupulifera,Aporr_cupu,NA,NA,Endogeic,Aporrectodea cupulifera,Aporrectodea cupulifera,Endogeic,Aporrectodea cupulifera,Aporrectodea,NA,NA,NA,NA,Endogeic
Earthworms,Aporrectodea dubiosa,Aporr_dubi,NA,NA,Anecic,Aporrectodea dubiosa,Aporrectodea dubiosa,Anecic,Aporrectodea dubiosa,Aporrectodea,NA,NA,NA,NA,Anecic
Earthworms,Aporrectodea georgii,Aporr_geor,NA,NA,NA,Aporrectodea georgii,Aporrectodea georgii,Endogeic,Aporrectodea georgii,Aporrectodea,NA,NA,NA,NA,Endogeic
Earthworms,Aporrectodea giardi,Aporr_giar,NA,NA,Anecic,Aporrectodea giardi,Aporrectodea giardi,Anecic,Aporrectodea giardi,Aporrectodea,NA,NA,NA,NA,Anecic
Earthworms,Aporrectodea handlirschi,Aporr_hand,NA,NA,NA,Aporrectodea handlirschi,Aporrectodea handlirschi,Endogeic,Aporrectodea handlirschi,Aporrectodea,NA,NA,NA,NA,Endogeic
Earthworms,Aporrectodea haymoziformis,Aporr_haym,NA,NA,NA,Aporrectodea haymoziformis,NA,NA,Aporrectodea haymoziformis,Aporrectodea,NA,NA,NA,NA,NA
Earthworms,Aporrectodea icterica,Aporr_icte,NA,NA,Endogeic,Aporrectodea icterica,Aporrectodea icterica,Endogeic,Aporrectodea icterica,Aporrectodea,NA,NA,NA,NA,Endogeic
Earthworms,Aporrectodea jassyensis,Aporr_jass,NA,NA,NA,Aporrectodea jassyensis,Aporrectodea jassyensis,Endogeic,Aporrectodea jassyensis,Aporrectodea,NA,NA,NA,NA,Endogeic
Earthworms,Aporrectodea limicola,Aporr_limi,NA,NA,Endogeic,Aporrectodea limicola,Aporrectodea limicola,Endogeic,Aporrectodea limicola,Aporrectodea,NA,NA,NA,NA,Endogeic
Earthworms,Aporrectodea longa,Aporr_long,NA,NA,Anecic,Aporrectodea longa,Aporrectodea longa,Anecic,Aporrectodea longa,Aporrectodea,NA,NA,NA,NA,Anecic
Earthworms,Aporrectodea moebii,Aporr_moll,NA,NA,Endogeic,Aporrectodea moebii,Aporrectodea molleri,NA,Aporrectodea molleri,Aporrectodea,NA,NA,NA,NA,Endogeic
Earthworms,Aporrectodea molleri,Aporr_moll,NA,NA,Anecic,Aporrectodea molleri,Aporrectodea molleri,Endogeic,Aporrectodea molleri,Aporrectodea,NA,NA,NA,NA,Endogeic
Earthworms,Aporrectodea nocturna,Aporr_noct,NA,NA,Anecic,Aporrectodea nocturna,Aporrectodea nocturna,Anecic,Aporrectodea nocturna,Aporrectodea,NA,NA,NA,NA,Anecic
Earthworms,Aporrectodea oliveirae,Aporr_oliv,NA,NA,Epigeic,Aporrectodea oliveirae,Aporrectodea oliveirae,Epigeic,Aporrectodea oliveirae,Aporrectodea,NA,NA,NA,NA,Epigeic
Earthworms,Aporrectodea opisthosellata,Aporr_opis,NA,NA,Anecic,Aporrectodea opisthosellata,Aporrectodea opisthosellata,Endogeic,Aporrectodea opisthosellata,Aporrectodea,NA,NA,NA,NA,Endogeic
Earthworms,Aporrectodea rosea,Aporr_rose,NA,NA,Endogeic,Aporrectodea rosea,Aporrectodea rosea,Endogeic,Aporrectodea rosea,Aporrectodea,NA,NA,NA,NA,Endogeic
Earthworms,Aporrectodea smaragdina,Aporr_smar,NA,NA,NA,Aporrectodea smaragdina,Aporrectodea smaragdina,Epi-endogeic,Aporrectodea smaragdina,Aporrectodea,NA,NA,NA,NA,Epi-endogeic
Earthworms,Aporrectodea thaleri,Aporr_thal,NA,NA,NA,Aporrectodea thaleri,Aporrectodea thaleri,N/A,Aporrectodea thaleri,Aporrectodea,NA,NA,NA,NA,N/A
Earthworms,Aporrectodea trapezoides,Aporr_trap,NA,NA,Anecic,Aporrectodea trapezoides,Aporrectodea trapezoides,Anecic,Aporrectodea trapezoides,Aporrectodea,NA,NA,NA,NA,Anecic
Earthworms,Aporrectodea tuberculata,Aporr_tube,NA,NA,Endogeic,Aporrectodea tuberculata,NA,NA,Aporrectodea tuberculata,Aporrectodea,NA,NA,NA,NA,Endogeic
Earthworms,Aporrectodea turgida,Aporr_turg,NA,NA,Endogeic,Aporrectodea turgida,NA,NA,Aporrectodea turgida,Aporrectodea,NA,NA,NA,NA,Endogeic
Earthworms,Balanteodrilus pearsei,Balan_pear,NA,NA,Endogeic,Balanteodrilus pearsei,NA,NA,Balanteodrilus pearsei,Balanteodrilus,NA,NA,NA,NA,Endogeic
Earthworms,Belladrilus emilianii,Bella_emil,NA,NA,Endogeic,Belladrilus emilianii,NA,NA,Belladrilus emilianii,Belladrilus,NA,NA,NA,NA,Endogeic
Earthworms,Bimastos antiquus,Bimas_anti,NA,NA,NA,Bimastos antiquus,NA,NA,Bimastos antiquus,Bimastos,NA,NA,NA,NA,NA
Earthworms,Bimastos eiseni,Allol_eise,NA,NA,NA,Bimastos eiseni,Allolobophoridella eiseni,Epigeic,Allolobophoridella eiseni,Allolobophoridella,NA,NA,NA,NA,Epigeic
Earthworms,Bimastos jordanis,Bimas_jord,NA,NA,NA,Bimastos jordanis,NA,NA,Bimastos jordanis,Bimastos,NA,NA,NA,NA,NA
Earthworms,Bimastos parvus,Bimas_parv,NA,NA,Epigeic,Bimastos parvus,Bimastos parvus,Epigeic,Bimastos parvus,Bimastos,NA,NA,NA,NA,Epigeic
