"MTB";"PERIODE";"Artensumme";"X";"Y";"SMTB";"TKBUNDESLA"
"60";1222;"1980-1999";12;9.41551360692511;54.7483105077588;"Flensburg (SÅd)";"Schleswig-Holstein"
"61";1223;"1900-2018";10;9.58215306415398;54.7483112294567;"Husby";"Schleswig-Holstein"
"62";1223;"1980-1999";6;9.58215306415398;54.7483112294567;"Husby";"Schleswig-Holstein"
"63";1223;"2000-2018";8;9.58215306415398;54.7483112294567;"Husby";"Schleswig-Holstein"
"64";1224;"1900-2018";7;9.74879252562272;54.748311988559;"Sterup";"Schleswig-Holstein"
"65";1224;"1980-1999";3;9.74879252562272;54.748311988559;"Sterup";"Schleswig-Holstein"
"66";1224;"2000-2018";7;9.74879252562272;54.748311988559;"Sterup";"Schleswig-Holstein"
"67";1225;"1900-2018";11;9.91543199153396;54.7483127850512;"Gelting/Oehe";"Schleswig-Holstein"
"68";1225;"2000-2018";11;9.91543199153396;54.7483127850512;"Gelting/Oehe";"Schleswig-Holstein"
"69";1225;"1980-1999";10;9.91543199153396;54.7483127850512;"Gelting/Oehe";"Schleswig-Holstein"
"70";1226;"1900-2018";2;10.082071462113;54.7483136189532;"Gelting/Oehe";"Schleswig-Holstein"
"71";1226;"1980-1999";2;10.082071462113;54.7483136189532;"Gelting/Oehe";"Schleswig-Holstein"
"72";1315;"1900-2018";5;8.24903829368474;54.6483179708297;"Kniepsand (Amrum)";"Schleswig-Holstein"
"73";1315;"1980-1999";1;8.24903829368474;54.6483179708297;"Kniepsand (Amrum)";"Schleswig-Holstein"
"74";1315;"2000-2018";5;8.24903829368474;54.6483179708297;"Kniepsand (Amrum)";"Schleswig-Holstein"
"75";1316;"1900-2018";8;8.41567779477812;54.6483184302918;"Nieblum (Fîhr)";"Schleswig-Holstein"
"76";1316;"1980-1999";6;8.41567779477812;54.6483184302918;"Nieblum (Fîhr)";"Schleswig-Holstein"
"77";1316;"2000-2018";6;8.41567779477812;54.6483184302918;"Nieblum (Fîhr)";"Schleswig-Holstein"
"78";1317;"1900-2018";5;8.5823172984454;54.6483189271406;"Wyk (Fîhr)";"Schleswig-Holstein"
"79";1317;"1980-1999";4;8.5823172984454;54.6483189271406;"Wyk (Fîhr)";"Schleswig-Holstein"
"80";1317;"2000-2018";3;8.5823172984454;54.6483189271406;"Wyk (Fîhr)";"Schleswig-Holstein"
"81";1318;"2000-2018";2;8.74895680496327;54.6483194613614;"Ockholm";"Schleswig-Holstein"
"82";1318;"1980-1999";1;8.74895680496327;54.6483194613614;"Ockholm";"Schleswig-Holstein"
"83";1318;"1900-2018";2;8.74895680496327;54.6483194613614;"Ockholm";"Schleswig-Holstein"
"84";1319;"1900-2018";12;8.91559631453711;54.6483200329596;"Bredstedt";"Schleswig-Holstein"
"85";1319;"2000-2018";10;8.91559631453711;54.6483200329596;"Bredstedt";"Schleswig-Holstein"
"86";1319;"1980-1999";11;8.91559631453711;54.6483200329596;"Bredstedt";"Schleswig-Holstein"
"87";1320;"1900-2018";8;9.0822358273667;54.6483206419204;"Drelsdorf";"Schleswig-Holstein"
"88";1320;"1980-1999";6;9.0822358273667;54.6483206419204;"Drelsdorf";"Schleswig-Holstein"
"89";1320;"2000-2018";8;9.0822358273667;54.6483206419204;"Drelsdorf";"Schleswig-Holstein"
"90";1321;"1900-2018";10;9.24887534374007;54.6483212882388;"Jîrl";"Schleswig-Holstein"
"91";1321;"1980-1999";4;9.24887534374007;54.6483212882388;"Jîrl";"Schleswig-Holstein"
"92";1321;"2000-2018";10;9.24887534374007;54.6483212882388;"Jîrl";"Schleswig-Holstein"
"93";1322;"1980-1999";11;9.41551486385695;54.6483219719192;"Eggebek";"Schleswig-Holstein"
"94";1322;"2000-2018";13;9.41551486385695;54.6483219719192;"Eggebek";"Schleswig-Holstein"
"95";1322;"1900-2018";13;9.41551486385695;54.6483219719192;"Eggebek";"Schleswig-Holstein"
"96";1323;"2000-2018";6;9.5821543879226;54.6483226929457;"Satrup";"Schleswig-Holstein"
"97";1323;"1900-2018";9;9.5821543879226;54.6483226929457;"Satrup";"Schleswig-Holstein"
"98";1323;"1980-1999";5;9.5821543879226;54.6483226929457;"Satrup";"Schleswig-Holstein"
"99";1324;"1900-2018";9;9.74879391621353;54.6483234513231;"SÅderbrarup";"Schleswig-Holstein"
"100";1324;"2000-2018";8;9.74879391621353;54.6483234513231;"SÅderbrarup";"Schleswig-Holstein"
"101";1324;"1980-1999";8;9.74879391621353;54.6483234513231;"SÅderbrarup";"Schleswig-Holstein"
"102";1325;"2000-2018";8;9.91543344894868;54.6483242470482;"Kappeln";"Schleswig-Holstein"
"103";1325;"1980-1999";2;9.91543344894868;54.6483242470482;"Kappeln";"Schleswig-Holstein"
"104";1325;"1900-2018";8;9.91543344894868;54.6483242470482;"Kappeln";"Schleswig-Holstein"
"105";1326;"2000-2018";3;10.0820729863316;54.6483250801478;"Schînhagen";"Schleswig-Holstein"
"106";1326;"1980-1999";7;10.0820729863316;54.6483250801478;"Schînhagen";"Schleswig-Holstein"
"107";1326;"1900-2018";7;10.0820729863316;54.6483250801478;"Schînhagen";"Schleswig-Holstein"
"108";1344;"2000-2018";4;13.0815857883203;54.6483467085737;NA;NA
"109";1344;"1980-1999";10;13.0815857883203;54.6483467085737;NA;NA
"110";1344;"1900-2018";11;13.0815857883203;54.6483467085737;NA;NA
"111";1345;"1900-2018";12;13.2482254788485;54.6483483196694;"Wiek";"Mecklenburg-Vorpommern"
"112";1345;"1980-1999";8;13.2482254788485;54.6483483196694;"Wiek";"Mecklenburg-Vorpommern"
"113";1345;"2000-2018";10;13.2482254788485;54.6483483196694;"Wiek";"Mecklenburg-Vorpommern"
"114";1346;"2000-2018";8;13.4148651838372;54.6483499831562;"Altenkirchen";"Mecklenburg-Vorpommern"
"115";1346;"1980-1999";11;13.4148651838372;54.6483499831562;"Altenkirchen";"Mecklenburg-Vorpommern"
"116";1346;"1900-2018";13;13.4148651838372;54.6483499831562;"Altenkirchen";"Mecklenburg-Vorpommern"
"117";1417;"1900-2018";1;8.5823182157074;54.5483303942615;"Pellworm";"Schleswig-Holstein"
"118";1419;"1900-2018";6;8.91559736473543;54.548331499138;"WobbenbÅll";"Schleswig-Holstein"
"119";1419;"2000-2018";5;8.91559736473543;54.548331499138;"WobbenbÅll";"Schleswig-Holstein"
"120";1419;"1980-1999";4;8.91559736473543;54.548331499138;"WobbenbÅll";"Schleswig-Holstein"
"121";1420;"1980-1999";11;9.08223694403606;54.5483321075617;"Hattstedt";"Schleswig-Holstein"
"122";1420;"2000-2018";12;9.08223694403606;54.5483321075617;"Hattstedt";"Schleswig-Holstein"
"123";1420;"1900-2018";12;9.08223694403606;54.5483321075617;"Hattstedt";"Schleswig-Holstein"
"124";1421;"1980-1999";4;9.24887652685888;54.5483327533118;"Viîl";"Schleswig-Holstein"
"125";1421;"2000-2018";8;9.24887652685888;54.5483327533118;"Viîl";"Schleswig-Holstein"
"126";1421;"1900-2018";10;9.24887652685888;54.5483327533118;"Viîl";"Schleswig-Holstein"
"127";1422;"1980-1999";7;9.41551611340767;54.5483334363543;"JÅbek";"Schleswig-Holstein"
"128";1422;"2000-2018";8;9.41551611340767;54.5483334363543;"JÅbek";"Schleswig-Holstein"
"129";1422;"1900-2018";11;9.41551611340767;54.5483334363543;"JÅbek";"Schleswig-Holstein"
"130";1423;"2000-2018";9;9.58215570392606;54.5483341567027;"Schleswig";"Schleswig-Holstein"
"131";1423;"1900-2018";12;9.58215570392606;54.5483341567027;"Schleswig";"Schleswig-Holstein"
"132";1423;"1980-1999";9;9.58215570392606;54.5483341567027;"Schleswig";"Schleswig-Holstein"
"133";1424;"1980-1999";2;9.7487952986375;54.5483349143641;"Brodersby";"Schleswig-Holstein"
"134";1424;"2000-2018";8;9.7487952986375;54.5483349143641;"Brodersby";"Schleswig-Holstein"
"135";1424;"1900-2018";9;9.7487952986375;54.5483349143641;"Brodersby";"Schleswig-Holstein"
"136";1425;"2000-2018";7;9.91543489777621;54.5483357093412;"Holzdorf";"Schleswig-Holstein"
"137";1425;"1900-2018";7;9.91543489777621;54.5483357093412;"Holzdorf";"Schleswig-Holstein"
"138";1425;"1980-1999";2;9.91543489777621;54.5483357093412;"Holzdorf";"Schleswig-Holstein"
"139";1432;"1900-2018";11;11.0819122357667;54.5483423220766;"Westermarkelsdorf";"Schleswig-Holstein"
"140";1432;"2000-2018";10;11.0819122357667;54.5483423220766;"Westermarkelsdorf";"Schleswig-Holstein"
"141";1432;"1980-1999";8;11.0819122357667;54.5483423220766;"Westermarkelsdorf";"Schleswig-Holstein"
"142";1433;"2000-2018";8;11.2485518791304;54.5483434177907;"Puttgarden";"Schleswig-Holstein"
"143";1433;"1980-1999";8;11.2485518791304;54.5483434177907;"Puttgarden";"Schleswig-Holstein"
"144";1433;"1900-2018";10;11.2485518791304;54.5483434177907;"Puttgarden";"Schleswig-Holstein"
"145";1444;"2000-2018";10;13.0815884959498;54.5483581478937;"Insel Hiddensee";"Mecklenburg-Vorpommern"
"146";1444;"1980-1999";14;13.0815884959498;54.5483581478937;"Insel Hiddensee";"Mecklenburg-Vorpommern"
"147";1444;"1900-2018";15;13.0815884959498;54.5483581478937;"Insel Hiddensee";"Mecklenburg-Vorpommern"
"148";1445;"2000-2018";11;13.2482282525202;54.5483597573752;"Trent";"Mecklenburg-Vorpommern"
"149";1445;"1980-1999";12;13.2482282525202;54.5483597573752;"Trent";"Mecklenburg-Vorpommern"
"150";1445;"1900-2018";13;13.2482282525202;54.5483597573752;"Trent";"Mecklenburg-Vorpommern"
"151";1446;"1980-1999";14;13.4148680235342;54.5483614192276;"Glowe";"Mecklenburg-Vorpommern"
"152";1446;"1900-2018";14;13.4148680235342;54.5483614192276;"Glowe";"Mecklenburg-Vorpommern"
"153";1446;"2000-2018";11;13.4148680235342;54.5483614192276;"Glowe";"Mecklenburg-Vorpommern"
"154";1447;"1980-1999";13;13.5815078102295;54.5483631359726;"Sassnitz";"Mecklenburg-Vorpommern"
"155";1447;"2000-2018";14;13.5815078102295;54.5483631359726;"Sassnitz";"Mecklenburg-Vorpommern"
"156";1447;"1900-2018";14;13.5815078102295;54.5483631359726;"Sassnitz";"Mecklenburg-Vorpommern"
"157";1448;"2000-2018";2;13.748147614087;54.5483649104748;NA;NA
"158";1448;"1900-2018";13;13.748147614087;54.5483649104748;NA;NA
"159";1448;"1980-1999";12;13.748147614087;54.5483649104748;NA;NA
"160";1518;"2000-2018";1;8.74895876676672;54.4483423949667;"SÅdfall";"Schleswig-Holstein"
"161";1518;"1900-2018";1;8.74895876676672;54.4483423949667;"SÅdfall";"Schleswig-Holstein"
"162";1519;"1900-2018";4;8.91559840886275;54.4483429655769;"Simonsberg";"Schleswig-Holstein"
"163";1519;"2000-2018";3;8.91559840886275;54.4483429655769;"Simonsberg";"Schleswig-Holstein"
"164";1520;"1980-1999";9;9.08223805422647;54.448343573462;"Husum";"Schleswig-Holstein"
"165";1520;"1900-2018";11;9.08223805422647;54.448343573462;"Husum";"Schleswig-Holstein"
"166";1520;"2000-2018";7;9.08223805422647;54.448343573462;"Husum";"Schleswig-Holstein"
"167";1521;"1980-1999";12;9.24887770308551;54.448344218617;"Ostenfeld (bei Husum)";"Schleswig-Holstein"
"168";1521;"2000-2018";12;9.24887770308551;54.448344218617;"Ostenfeld (bei Husum)";"Schleswig-Holstein"
"169";1521;"1900-2018";12;9.24887770308551;54.448344218617;"Ostenfeld (bei Husum)";"Schleswig-Holstein"
"170";1522;"2000-2018";8;9.41551735566619;54.4483449010253;"Hollingstedt";"Schleswig-Holstein"
"171";1522;"1900-2018";10;9.41551735566619;54.4483449010253;"Hollingstedt";"Schleswig-Holstein"
"172";1523;"1900-2018";13;9.58215701222066;54.4483456207047;"Kropp";"Schleswig-Holstein"
"173";1523;"2000-2018";13;9.58215701222066;54.4483456207047;"Kropp";"Schleswig-Holstein"
"174";1523;"1980-1999";11;9.58215701222066;54.4483456207047;"Kropp";"Schleswig-Holstein"
"175";1524;"1900-2018";12;9.74879667295664;54.4483463776445;"HÅtten";"Schleswig-Holstein"
"176";1524;"2000-2018";11;9.74879667295664;54.4483463776445;"HÅtten";"Schleswig-Holstein"
"177";1524;"1980-1999";8;9.74879667295664;54.4483463776445;"HÅtten";"Schleswig-Holstein"
"178";1525;"1900-2018";13;9.91543633809358;54.4483471718448;"Eckernfîrde";"Schleswig-Holstein"
"179";1525;"2000-2018";12;9.91543633809358;54.4483471718448;"Eckernfîrde";"Schleswig-Holstein"
"180";1525;"1980-1999";11;9.91543633809358;54.4483471718448;"Eckernfîrde";"Schleswig-Holstein"
"181";1526;"2000-2018";12;10.0820760078702;54.4483480033168;"DÑnischenhagen";"Schleswig-Holstein"
"182";1526;"1980-1999";11;10.0820760078702;54.4483480033168;"DÑnischenhagen";"Schleswig-Holstein"
"183";1526;"1900-2018";12;10.0820760078702;54.4483480033168;"DÑnischenhagen";"Schleswig-Holstein"
"184";1527;"1900-2018";10;10.2487156825432;54.4483488720898;"Laboe";"Schleswig-Holstein"
"185";1527;"2000-2018";6;10.2487156825432;54.4483488720898;"Laboe";"Schleswig-Holstein"
"186";1527;"1980-1999";9;10.2487156825432;54.4483488720898;"Laboe";"Schleswig-Holstein"
"187";1528;"1900-2018";8;10.4153553623273;54.4483497781974;"Wisch";"Schleswig-Holstein"
"188";1528;"1980-1999";5;10.4153553623273;54.4483497781974;"Wisch";"Schleswig-Holstein"
"189";1528;"2000-2018";4;10.4153553623273;54.4483497781974;"Wisch";"Schleswig-Holstein"
"190";1532;"1900-2018";13;11.0819141377329;54.4483537779493;"Petersdorf (Insel Fehmarn)";"Schleswig-Holstein"
"191";1532;"1980-1999";11;11.0819141377329;54.4483537779493;"Petersdorf (Insel Fehmarn)";"Schleswig-Holstein"
"192";1532;"2000-2018";10;11.0819141377329;54.4483537779493;"Petersdorf (Insel Fehmarn)";"Schleswig-Holstein"
"193";1533;"1900-2018";9;11.2485538469904;54.4483548725331;"Burg";"Schleswig-Holstein"
"194";1533;"2000-2018";4;11.2485538469904;54.4483548725331;"Burg";"Schleswig-Holstein"
"195";1533;"1980-1999";4;11.2485538469904;54.4483548725331;"Burg";"Schleswig-Holstein"
"196";1540;"2000-2018";9;12.4150320218189;54.4483636380688;"Ibenhorst";"Mecklenburg-Vorpommern"
"197";1540;"1900-2018";15;12.4150320218189;54.4483636380688;"Ibenhorst";"Mecklenburg-Vorpommern"
"198";1540;"1980-1999";13;12.4150320218189;54.4483636380688;"Ibenhorst";"Mecklenburg-Vorpommern"
"199";1541;"1900-2018";17;12.5816717964837;54.448365056587;"Prerow (Dar·)";"Mecklenburg-Vorpommern"
"200";1541;"2000-2018";12;12.5816717964837;54.448365056587;"Prerow (Dar·)";"Mecklenburg-Vorpommern"
"201";1541;"1980-1999";17;12.5816717964837;54.448365056587;"Prerow (Dar·)";"Mecklenburg-Vorpommern"
"202";1542;"1900-2018";12;12.7483115817674;54.4483665199224;"Zingst";"Mecklenburg-Vorpommern"
"203";1542;"2000-2018";10;12.7483115817674;54.4483665199224;"Zingst";"Mecklenburg-Vorpommern"
"204";1542;"1980-1999";12;12.7483115817674;54.4483665199224;"Zingst";"Mecklenburg-Vorpommern"
"205";1543;"2000-2018";10;12.9149513784288;54.4483680296085;"Hohendorf";"Mecklenburg-Vorpommern"
"206";1543;"1900-2018";10;12.9149513784288;54.4483680296085;"Hohendorf";"Mecklenburg-Vorpommern"
"207";1543;"1980-1999";6;12.9149513784288;54.4483680296085;"Hohendorf";"Mecklenburg-Vorpommern"
"208";1544;"1980-1999";8;13.0815911873427;54.4483695873818;"Klausdorf";"Mecklenburg-Vorpommern"
"209";1544;"2000-2018";5;13.0815911873427;54.4483695873818;"Klausdorf";"Mecklenburg-Vorpommern"
"210";1544;"1900-2018";8;13.0815911873427;54.4483695873818;"Klausdorf";"Mecklenburg-Vorpommern"
"211";1545;"1900-2018";13;13.2482310095766;54.4483711952394;"Gingst";"Mecklenburg-Vorpommern"
"212";1545;"2000-2018";7;13.2482310095766;54.4483711952394;"Gingst";"Mecklenburg-Vorpommern"
"213";1545;"1980-1999";11;13.2482310095766;54.4483711952394;"Gingst";"Mecklenburg-Vorpommern"
"214";1546;"1900-2018";13;13.414870846181;54.4483728554482;"Bergen auf RÅgen";"Mecklenburg-Vorpommern"
"215";1546;"2000-2018";13;13.414870846181;54.4483728554482;"Bergen auf RÅgen";"Mecklenburg-Vorpommern"
"216";1546;"1980-1999";11;13.414870846181;54.4483728554482;"Bergen auf RÅgen";"Mecklenburg-Vorpommern"
"217";1547;"1900-2018";13;13.5815106984439;54.4483745705171;"Binz";"Mecklenburg-Vorpommern"
"218";1547;"2000-2018";13;13.5815106984439;54.4483745705171;"Binz";"Mecklenburg-Vorpommern"
"219";1547;"1980-1999";10;13.5815106984439;54.4483745705171;"Binz";"Mecklenburg-Vorpommern"
"220";1617;"2000-2018";8;8.58232003448016;54.3483533291992;"St. Peterording";"Schleswig-Holstein"
"221";1617;"1980-1999";6;8.58232003448016;54.3483533291992;"St. Peterording";"Schleswig-Holstein"
"222";1617;"1900-2018";9;8.58232003448016;54.3483533291992;"St. Peterording";"Schleswig-Holstein"
"223";1618;"1900-2018";4;8.74895973920216;54.3483538620849;"Garding";"Schleswig-Holstein"
"224";1618;"1980-1999";4;8.74895973920216;54.3483538620849;"Garding";"Schleswig-Holstein"
"225";1618;"2000-2018";4;8.74895973920216;54.3483538620849;"Garding";"Schleswig-Holstein"
"226";1619;"1980-1999";1;8.91559944696243;54.3483544322116;"Tînning";"Schleswig-Holstein"
"227";1619;"2000-2018";5;8.91559944696243;54.3483544322116;"Tînning";"Schleswig-Holstein"
"228";1619;"1900-2018";5;8.91559944696243;54.3483544322116;"Tînning";"Schleswig-Holstein"
"229";1620;"1900-2018";9;9.08223915799947;54.3483550395569;"Friedrichstadt";"Schleswig-Holstein"
"230";1620;"1980-1999";5;9.08223915799947;54.3483550395569;"Friedrichstadt";"Schleswig-Holstein"
"231";1620;"2000-2018";7;9.08223915799947;54.3483550395569;"Friedrichstadt";"Schleswig-Holstein"
"232";1621;"1980-1999";8;9.24887887250464;54.3483556841156;"SÅderstapel";"Schleswig-Holstein"
"233";1621;"2000-2018";10;9.24887887250464;54.3483556841156;"SÅderstapel";"Schleswig-Holstein"
"234";1621;"1900-2018";14;9.24887887250464;54.3483556841156;"SÅderstapel";"Schleswig-Holstein"
"235";1622;"2000-2018";6;9.41551859071637;54.3483563659001;"Meggerdorf";"Schleswig-Holstein"
"236";1622;"1980-1999";8;9.41551859071637;54.3483563659001;"Meggerdorf";"Schleswig-Holstein"
"237";1622;"1900-2018";9;9.41551859071637;54.3483563659001;"Meggerdorf";"Schleswig-Holstein"
"238";1623;"1980-1999";9;9.5821583128797;54.348357084904;"Owschlag";"Schleswig-Holstein"
"239";1623;"1900-2018";13;9.5821583128797;54.348357084904;"Owschlag";"Schleswig-Holstein"
"240";1623;"2000-2018";11;9.5821583128797;54.348357084904;"Owschlag";"Schleswig-Holstein"
"241";1624;"1980-1999";6;9.74879803922449;54.3483578411187;"Rensburg";"Schleswig-Holstein"
"242";1624;"1900-2018";12;9.74879803922449;54.3483578411187;"Rensburg";"Schleswig-Holstein"
"243";1624;"2000-2018";12;9.74879803922449;54.3483578411187;"Rensburg";"Schleswig-Holstein"
"244";1625;"1980-1999";10;9.91543776996438;54.3483586345524;"Flemhunde";"Schleswig-Holstein"
"245";1625;"1900-2018";12;9.91543776996438;54.3483586345524;"Flemhunde";"Schleswig-Holstein"
"246";1625;"2000-2018";12;9.91543776996438;54.3483586345524;"Flemhunde";"Schleswig-Holstein"
"247";1626;"2000-2018";12;10.0820775053279;54.3483594652111;"Kiel";"Schleswig-Holstein"
"248";1626;"1900-2018";14;10.0820775053279;54.3483594652111;"Kiel";"Schleswig-Holstein"
"249";1626;"1980-1999";10;10.0820775053279;54.3483594652111;"Kiel";"Schleswig-Holstein"
"250";1627;"1900-2018";14;10.2487172455862;54.3483603331169;"Heikendorf";"Schleswig-Holstein"
"251";1627;"1980-1999";11;10.2487172455862;54.3483603331169;"Heikendorf";"Schleswig-Holstein"
"252";1627;"2000-2018";12;10.2487172455862;54.3483603331169;"Heikendorf";"Schleswig-Holstein"
"253";1628;"1900-2018";12;10.4153569909419;54.3483612383302;"Schînberg (Holstein)";"Schleswig-Holstein"
"254";1628;"2000-2018";10;10.4153569909419;54.3483612383302;"Schînberg (Holstein)";"Schleswig-Holstein"
"255";1628;"1980-1999";8;10.4153569909419;54.3483612383302;"Schînberg (Holstein)";"Schleswig-Holstein"
"256";1629;"1900-2018";15;10.5819967416323;54.3483621808941;"Giekau";"Schleswig-Holstein"
"257";1629;"1980-1999";13;10.5819967416323;54.3483621808941;"Giekau";"Schleswig-Holstein"
"258";1629;"2000-2018";13;10.5819967416323;54.3483621808941;"Giekau";"Schleswig-Holstein"
"259";1630;"2000-2018";15;10.74863649795;54.3483631609245;"Hohwacht";"Schleswig-Holstein"
"260";1630;"1900-2018";15;10.74863649795;54.3483631609245;"Hohwacht";"Schleswig-Holstein"
"261";1630;"1980-1999";9;10.74863649795;54.3483631609245;"Hohwacht";"Schleswig-Holstein"
"262";1631;"2000-2018";12;10.9152762601317;54.348364178566;"Heiligenhafen";"Schleswig-Holstein"
"263";1631;"1900-2018";14;10.9152762601317;54.348364178566;"Heiligenhafen";"Schleswig-Holstein"
