species,latitude,longitude,datasource,year
Aporrectodea caliginosa,61,50,sWorm,2017
Aporrectodea caliginosa,61,50,sWorm,2017
Aporrectodea caliginosa,61.7,50.8,sWorm,2017
Aporrectodea caliginosa,60.956,49.437,sWorm,2017
Aporrectodea caliginosa,61.7,50.8,sWorm,2017
Aporrectodea caliginosa,61.7,50.8,sWorm,2017
Aporrectodea caliginosa,62.378,53.793,sWorm,2017
Aporrectodea caliginosa,61,50,sWorm,2017
Aporrectodea caliginosa,61,50,sWorm,2017
Aporrectodea rosea,61.7,50.8,sWorm,2017
Aporrectodea rosea,60.341,49.591,sWorm,2017
Aporrectodea rosea,61.81,57.87,sWorm,2017
Aporrectodea rosea,61,50,sWorm,2017
Aporrectodea rosea,61.598,54.794,sWorm,2017
Aporrectodea rosea,60.954,49.448,sWorm,2017
Aporrectodea rosea,61.8,56.8,sWorm,2017
Aporrectodea rosea,61.61,58.002,sWorm,2017
Aporrectodea rosea,61.597,54.799,sWorm,2017
Aporrectodea rosea,62.355,50.092,sWorm,2017
Aporrectodea rosea,60.956,49.437,sWorm,2017
Aporrectodea rosea,61.61,58.002,sWorm,2017
Aporrectodea rosea,63,55,sWorm,2017
Aporrectodea rosea,61.8,56.8,sWorm,2017
Aporrectodea rosea,63,55,sWorm,2017
Aporrectodea rosea,63.42,48.65,sWorm,2017
Aporrectodea rosea,63.428,48.679,sWorm,2017
Aporrectodea rosea,61.61,58.002,sWorm,2017
Aporrectodea rosea,60.952,49.461,sWorm,2017
Aporrectodea rosea,62.372,50.102,sWorm,2017
Aporrectodea rosea,61.601,54.798,sWorm,2017
Aporrectodea rosea,62.36,50.05,sWorm,2017
Aporrectodea rosea,61.7,50.8,sWorm,2017
Dendrobaena octaedra,61,50,sWorm,2017
Dendrobaena octaedra,61.8,56.8,sWorm,2017
Dendrobaena octaedra,61.81,57.87,sWorm,2017
Dendrobaena octaedra,61.61,58.002,sWorm,2017
Dendrobaena octaedra,61.7,50.8,sWorm,2017
Dendrobaena octaedra,61,50,sWorm,2017
Dendrobaena octaedra,62.5595,56.9266,sWorm,2017
Dendrobaena octaedra,62.378,53.793,sWorm,2017
Dendrobaena octaedra,62.36,50.05,sWorm,2017
Dendrobaena octaedra,63,55,sWorm,2017
Dendrobaena octaedra,61,50,sWorm,2017
Dendrobaena octaedra,61.943,50.739,sWorm,2017
Dendrobaena octaedra,62.36,50.05,sWorm,2017
Dendrobaena octaedra,61.7,50.8,sWorm,2017
Dendrobaena octaedra,60.952,49.461,sWorm,2017
Dendrobaena octaedra,62.5595,56.9266,sWorm,2017
Dendrobaena octaedra,62.28,50.68,sWorm,2017
Dendrobaena octaedra,62.083,59.217,sWorm,2017
Dendrobaena octaedra,61.598,54.794,sWorm,2017
Dendrobaena octaedra,63,55,sWorm,2017
Dendrobaena octaedra,61,50,sWorm,2017
Dendrobaena octaedra,62.5595,56.9266,sWorm,2017
Dendrobaena octaedra,63,55,sWorm,2017
Dendrobaena octaedra,62.5595,56.9266,sWorm,2017
Dendrobaena octaedra,61.601,54.798,sWorm,2017
Dendrobaena octaedra,62.36,50.05,sWorm,2017
Dendrobaena octaedra,62.083,59.217,sWorm,2017
Dendrobaena octaedra,63,55,sWorm,2017
Dendrobaena octaedra,61.61,58.002,sWorm,2017
Dendrobaena octaedra,63,55,sWorm,2017
Dendrobaena octaedra,61.7,50.8,sWorm,2017
Dendrobaena octaedra,62.083,59.217,sWorm,2017
Dendrobaena octaedra,61.7,50.8,sWorm,2017
Dendrobaena octaedra,61,50,sWorm,2017
Dendrobaena octaedra,62.083,59.217,sWorm,2017
Dendrobaena octaedra,63,55,sWorm,2017
Dendrodrilus rubidus,60.952,49.461,sWorm,2017
Dendrodrilus rubidus,60.954,49.448,sWorm,2017
Eisenia fetida,60.952,49.461,sWorm,2017
Eisenia fetida,61.61,58.002,sWorm,2017
Eisenia fetida,60.954,49.448,sWorm,2017
Eisenia fetida,63,55,sWorm,2017
Eisenia fetida,61.597,54.799,sWorm,2017
Eisenia fetida,63.42,48.65,sWorm,2017
Eisenia fetida,61.8,56.8,sWorm,2017
Eisenia fetida,60.341,49.591,sWorm,2017
Eisenia fetida,61.61,58.002,sWorm,2017
Eisenia nordenskioldi nordenskioldi,61.8,56.8,sWorm,2017
Eisenia nordenskioldi nordenskioldi,61,50,sWorm,2017
Eisenia nordenskioldi nordenskioldi,61,50,sWorm,2017
Eisenia nordenskioldi nordenskioldi,61.81,57.87,sWorm,2017
Eisenia nordenskioldi nordenskioldi,61.8,56.8,sWorm,2017
Eisenia nordenskioldi nordenskioldi,61.8,56.8,sWorm,2017
Eisenia nordenskioldi nordenskioldi,62.083,59.217,sWorm,2017
Eisenia nordenskioldi nordenskioldi,61.81,57.87,sWorm,2017
Eisenia nordenskioldi nordenskioldi,61.7,50.8,sWorm,2017
Eisenia nordenskioldi nordenskioldi,61.83,51.8,sWorm,2017
Eisenia nordenskioldi nordenskioldi,61.7,50.8,sWorm,2017
Eisenia nordenskioldi nordenskioldi,61.7,50.8,sWorm,2017
Eisenia nordenskioldi nordenskioldi,61.83,51.8,sWorm,2017
Eisenia nordenskioldi nordenskioldi,62.5595,56.9266,sWorm,2017
Eisenia nordenskioldi nordenskioldi,61,50,sWorm,2017
Eisenia nordenskioldi nordenskioldi,61.598,54.794,sWorm,2017
Eisenia nordenskioldi nordenskioldi,61.7,50.8,sWorm,2017
Eisenia nordenskioldi nordenskioldi,61,50,sWorm,2017
Eisenia nordenskioldi nordenskioldi,62.378,53.793,sWorm,2017
Eisenia nordenskioldi nordenskioldi,61.81,57.87,sWorm,2017
Eisenia nordenskioldi nordenskioldi,61.83,51.8,sWorm,2017
Eisenia nordenskioldi nordenskioldi,62.28,50.68,sWorm,2017
Eisenia nordenskioldi nordenskioldi,61,50,sWorm,2017
Eisenia nordenskioldi nordenskioldi,62.5595,56.9266,sWorm,2017
Eisenia nordenskioldi nordenskioldi,63,55,sWorm,2017
Eisenia nordenskioldi nordenskioldi,63,55,sWorm,2017
Lumbricus rubellus,61,50,sWorm,2017
Lumbricus rubellus,61,50,sWorm,2017
Lumbricus rubellus,60.952,49.461,sWorm,2017
Lumbricus rubellus,61.61,58.002,sWorm,2017
Lumbricus rubellus,61.8,56.8,sWorm,2017
Lumbricus rubellus,61.8,56.8,sWorm,2017
Lumbricus rubellus,61.81,57.87,sWorm,2017
Lumbricus rubellus,61.7,50.8,sWorm,2017
Lumbricus rubellus,60.956,49.437,sWorm,2017
Lumbricus rubellus,60.954,49.448,sWorm,2017
Lumbricus rubellus,61.8,56.8,sWorm,2017
Lumbricus rubellus,61.83,51.8,sWorm,2017
Lumbricus rubellus,61.8,56.8,sWorm,2017
Lumbricus rubellus,63,55,sWorm,2017
Lumbricus rubellus,61.597,54.799,sWorm,2017
Lumbricus rubellus,62.5595,56.9266,sWorm,2017
Lumbricus rubellus,62.355,50.092,sWorm,2017
Lumbricus rubellus,63,55,sWorm,2017
Lumbricus rubellus,61.8,56.8,sWorm,2017
Lumbricus rubellus,61.81,57.87,sWorm,2017
Lumbricus rubellus,62.36,50.05,sWorm,2017
Lumbricus rubellus,61.943,50.739,sWorm,2017
Lumbricus rubellus,61,50,sWorm,2017
Lumbricus rubellus,63.428,48.679,sWorm,2017
Lumbricus rubellus,61.8,56.8,sWorm,2017
Lumbricus rubellus,62.5595,56.9266,sWorm,2017
Lumbricus rubellus,62.5595,56.9266,sWorm,2017
Lumbricus rubellus,62.083,59.217,sWorm,2017
Lumbricus rubellus,63.42,48.65,sWorm,2017
Lumbricus rubellus,61.83,51.8,sWorm,2017
Lumbricus rubellus,61.61,58.002,sWorm,2017
Lumbricus rubellus,61,50,sWorm,2017
Lumbricus rubellus,61,50,sWorm,2017
Lumbricus rubellus,61.7,50.8,sWorm,2017
Lumbricus rubellus,62.083,59.217,sWorm,2017
Lumbricus rubellus,62.083,59.217,sWorm,2017
Lumbricus rubellus,61.83,51.8,sWorm,2017
Lumbricus rubellus,62.083,59.217,sWorm,2017
Lumbricus rubellus,61.61,58.002,sWorm,2017
Lumbricus rubellus,62.083,59.217,sWorm,2017
Lumbricus rubellus,63,55,sWorm,2017
Lumbricus rubellus,61.601,54.798,sWorm,2017
Lumbricus rubellus,61.8,56.8,sWorm,2017
Lumbricus rubellus,61.598,54.794,sWorm,2017
Lumbricus rubellus,62.372,50.102,sWorm,2017
Lumbricus rubellus,61.81,57.87,sWorm,2017
Lumbricus rubellus,61.7,50.8,sWorm,2017
Lumbricus rubellus,62.28,50.68,sWorm,2017
Lumbricus rubellus,63,55,sWorm,2017
Lumbricus rubellus,60.339,49.568,sWorm,2017
Lumbricus rubellus,60.341,49.591,sWorm,2017
Lumbricus rubellus,63,55,sWorm,2017
Lumbricus rubellus,61.8,56.8,sWorm,2017
Lumbricus rubellus,61.7,50.8,sWorm,2017
Lumbricus rubellus,62.083,59.217,sWorm,2017
Lumbricus rubellus,61.83,51.8,sWorm,2017
Lumbricus rubellus,62.378,53.793,sWorm,2017
Octolasion lacteum,60.952,49.461,sWorm,2017
Octolasion lacteum,60.956,49.437,sWorm,2017
Octolasion lacteum,62.5595,56.9266,sWorm,2017
Octolasion lacteum,61.81,57.87,sWorm,2017
Octolasion lacteum,63.428,48.679,sWorm,2017
Octolasion lacteum,61,50,sWorm,2017
Octolasion lacteum,62.378,53.793,sWorm,2017
Octolasion lacteum,62.355,50.092,sWorm,2017
Octolasion lacteum,61,50,sWorm,2017
Octolasion lacteum,61.7,50.8,sWorm,2017
Octolasion lacteum,60.339,49.568,sWorm,2017
Octolasion lacteum,62.5595,56.9266,sWorm,2017
Octolasion lacteum,62.5595,56.9266,sWorm,2017
Octolasion lacteum,62.372,50.102,sWorm,2017
Octolasion lacteum,61.597,54.799,sWorm,2017
Octolasion lacteum,60.954,49.448,sWorm,2017
Octolasion lacteum,61,50,sWorm,2017
Octolasion lacteum,62.36,50.05,sWorm,2017
Octolasion lacteum,62.5595,56.9266,sWorm,2017
Octolasion lacteum,61.7,50.8,sWorm,2017
Octolasion lacteum,63.42,48.65,sWorm,2017
Octolasion lacteum,61.7,50.8,sWorm,2017
Octolasion lacteum,61,50,sWorm,2017
Octolasion lacteum,61.601,54.798,sWorm,2017
Octolasion lacteum,60.341,49.591,sWorm,2017
Octolasion lacteum,61.7,50.8,sWorm,2017
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea caliginosa,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea rosea,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Aporrectodea trapezoides,-38,143,sWorm,1998
Eiseniella tetraedra,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Gemascolex octothecatus,-38,143,sWorm,1998
Heteroporodrilus shephardi,-38,143,sWorm,1998
Heteroporodrilus shephardi,-38,143,sWorm,1998
Heteroporodrilus shephardi,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Lumbricus rubellus,-38,143,sWorm,1998
Microscolex dubius,-38,143,sWorm,1998
Microscolex dubius,-38,143,sWorm,1998
Microscolex dubius,-38,143,sWorm,1998
Microscolex dubius,-38,143,sWorm,1998
Microscolex dubius,-38,143,sWorm,1998
Microscolex dubius,-38,143,sWorm,1998
Microscolex dubius,-38,143,sWorm,1998
