"SpeciesID","SSP","Ia","Ib","II","III","IV","Not.Applicable","Not.Assigned","Not.Reported","Outside.PA","Presence","Protected","Unprotected","V","VI"
"Aporr_rose","current",107.38,38.74,2279.74,223.92,8953.54,856.89,4507.31,62600.41,300611.39,440695,72119,368576,59793.57,722.11
"Dendr_atte","current",237.96,58.85,1962.89,160.35,8657.23,1018.03,5365.63,40387.43,135432.86,237755,55551.05,182203.95,43308.17,1165.61
"Dendr_illy","current",4.86,0,0,2.01,5.56,41.59,0,672.44,406.9,1625,504.07,1120.93,491.64,0
"Dendr_octa","current",814.88,1337.66,7481.73,310.74,15790.76,2261.29,11125.07,98359.2,253941.64,467775,102087.8,365687.2,74182.93,2169.09
"Dendr_rubi","current",1159.64,1985.6,7009.22,502.97,19149.59,3069.41,16188.92,115334.84,394564.26,646580,117422.56,529157.44,84731.3,2884.24
"Eisen_feti","current",313.05,299.35,3750.27,292.05,11635,1307.26,5243.2,66789.28,280614.19,415190,61236.08,353953.92,42365.76,2580.6
"Eisen_tetr","current",30.03,23.45,482.08,35.38,5005.37,637.84,3489.1,24424.7,141759.4,203870,33558.95,170311.05,27814.31,168.33
"Lumbr_cast","current",688.39,466.86,7777.2,501.17,16905.9,2844.87,9491.82,116636.3,384834.19,630605,116797.82,513807.18,87791.3,2667
"Lumbr_fest","current",82.74,28.88,871.98,83.55,8698.78,731.56,4696.08,35143.64,189477.23,274300,44251.5,230048.5,34096.52,389.04
"Lumbr_rube","current",487.47,102.39,5199.96,318.93,14673.81,2264.37,9770.54,96793.35,327321.82,537830,101679.92,436150.08,79251.74,1645.62
"Lumbr_terr","current",483.76,99.91,4806.97,360.73,14161.32,2313.09,14245.92,107959.68,445202.68,675390,105668.63,569721.37,84470.11,1285.82
"Octol_cyan","current",418.94,221.73,5994.54,386.57,12785.18,1601.46,5992.32,85412.73,288467.93,475670,94195.56,381474.44,72192.6,2196
"Octol_lact","current",828.15,3844.64,8623.96,490.45,19842.89,2026.51,8774.73,99519.35,251458.48,455490,93710.93,361779.07,56053.6,4027.22
"Octol_tyrt","current",279.08,126.03,3541.6,179.27,7944.97,2034.75,12507.93,72978.81,280245.77,438295,70527.74,367767.26,57849.74,607.05
"Satch_mamm","current",39.44,0.97,295.5,50.88,4255.55,671.86,1441.36,18145.63,114347.32,159300,24693.83,134606.17,19725.4,326.08
"_Mean","current",343.502631578947,471.802105263158,3546.67052631579,246.808947368421,10929.02,1431.15842105263,7051.15947368421,65700.5226315789,252018.303157895,396527.105263158,70325.96,326201.145263158,53376.1721052632,1411.98210526316
