"IUCNcat","SSP","sumCell","coverage","coverage_km2","SpeciesID"
"Unprotected","ssp585",50438.7189322555,0.8382,252193.59,"Allol_chlo"
"V","ssp585",8026.96080886599,0.1334,40134.8,"Allol_chlo"
"VI","ssp585",110.024921381302,0.0018,550.12,"Allol_chlo"
"Ia","ssp126",8.26414884835867,2e-04,41.32,"Allol_eise"
"Ib","ssp126",2.86993528224002,1e-04,14.35,"Allol_eise"
"II","ssp126",183.827819718156,0.005,919.14,"Allol_eise"
"III","ssp126",14.3707549052435,4e-04,71.85,"Allol_eise"
"IV","ssp126",1099.09900480093,0.0296,5495.5,"Allol_eise"
"Not.Applicable","ssp126",19.4971499007606,5e-04,97.49,"Allol_eise"
"Not.Assigned","ssp126",723.575993669184,0.0195,3617.88,"Allol_eise"
"Not.Reported","ssp126",4862.10178154216,0.1312,24310.51,"Allol_eise"
"Outside.PA","ssp126",25091.1431005728,0.6769,125455.72,"Allol_eise"
"Presence","ssp126",37070,1,185350,"Allol_eise"
"Protected","ssp126",6373.6819743151,0.1719,31868.41,"Allol_eise"
"Unprotected","ssp126",30696.3180256849,0.8281,153481.59,"Allol_eise"
"V","ssp126",4919.4304468291,0.1327,24597.15,"Allol_eise"
"VI","ssp126",145.819863931074,0.0039,729.1,"Allol_eise"
"Ia","ssp370",8.46682784082986,3e-04,42.33,"Allol_eise"
"Ib","ssp370",2.29659250014402,1e-04,11.48,"Allol_eise"
"II","ssp370",165.896400918652,0.005,829.48,"Allol_eise"
"III","ssp370",13.7667086802562,4e-04,68.83,"Allol_eise"
"IV","ssp370",969.654127217841,0.0292,4848.27,"Allol_eise"
"Not.Applicable","ssp370",21.8288846251035,7e-04,109.14,"Allol_eise"
"Not.Assigned","ssp370",631.889250673057,0.019,3159.45,"Allol_eise"
"Not.Reported","ssp370",4574.52321526699,0.1378,22872.62,"Allol_eise"
"Outside.PA","ssp370",22343.6889959518,0.6729,111718.44,"Allol_eise"
"Presence","ssp370",33205,1,166025,"Allol_eise"
"Protected","ssp370",5633.06965348303,0.1696,28165.35,"Allol_eise"
"Unprotected","ssp370",27571.930346517,0.8304,137859.65,"Allol_eise"
"V","ssp370",4347.47979438318,0.1309,21737.4,"Allol_eise"
"VI","ssp370",125.509201942123,0.0038,627.55,"Allol_eise"
"Ia","ssp585",7.41523666522153,3e-04,37.08,"Allol_eise"
"Ib","ssp585",1.56665163309253,1e-04,7.83,"Allol_eise"
"II","ssp585",137.635772458353,0.005,688.18,"Allol_eise"
"III","ssp585",13.053243261766,5e-04,65.27,"Allol_eise"
"IV","ssp585",786.499967787364,0.0288,3932.5,"Allol_eise"
"Not.Applicable","ssp585",13.5449083324002,5e-04,67.72,"Allol_eise"
"Not.Assigned","ssp585",573.629087622861,0.021,2868.15,"Allol_eise"
"Not.Reported","ssp585",4004.4880644893,0.1464,20022.44,"Allol_eise"
"Outside.PA","ssp585",18079.0866892146,0.661,90395.43,"Allol_eise"
"Presence","ssp585",27353,1,136765,"Allol_eise"
"Protected","ssp585",4682.25125034087,0.1712,23411.26,"Allol_eise"
"Unprotected","ssp585",22670.7487496591,0.8288,113353.74,"Allol_eise"
"V","ssp585",3626.73031213547,0.1326,18133.65,"Allol_eise"
"VI","ssp585",109.350066399604,0.004,546.75,"Allol_eise"
"Ia","ssp126",3.42794485750892,1e-04,17.14,"Aporr_cali"
"Ib","ssp126",4.75116282702334,1e-04,23.76,"Aporr_cali"
"II","ssp126",123.860626045213,0.003,619.3,"Aporr_cali"
"III","ssp126",7.39515416240964,2e-04,36.98,"Aporr_cali"
"IV","ssp126",987.043810639725,0.0236,4935.22,"Aporr_cali"
"Not.Applicable","ssp126",29.4683714711955,7e-04,147.34,"Aporr_cali"
"Not.Assigned","ssp126",590.146870569821,0.0141,2950.73,"Aporr_cali"
"Not.Reported","ssp126",4847.09785145448,0.1159,24235.49,"Aporr_cali"
"Outside.PA","ssp126",28915.0836968463,0.6911,144575.42,"Aporr_cali"
"Presence","ssp126",41837,1,209185,"Aporr_cali"
"Protected","ssp126",7455.20320965823,0.1782,37276.02,"Aporr_cali"
"Unprotected","ssp126",34381.7967903418,0.8218,171908.98,"Aporr_cali"
"V","ssp126",6302.82910678304,0.1507,31514.15,"Aporr_cali"
"VI","ssp126",25.8954043433059,6e-04,129.48,"Aporr_cali"
"Ia","ssp370",3.19025534647335,1e-04,15.95,"Aporr_cali"
"Ib","ssp370",4.27998245370486,1e-04,21.4,"Aporr_cali"
"II","ssp370",90.905241362957,0.0023,454.53,"Aporr_cali"
"III","ssp370",6.76781673626236,2e-04,33.84,"Aporr_cali"
"IV","ssp370",909.306137780519,0.0232,4546.53,"Aporr_cali"
"Not.Applicable","ssp370",27.2212333728476,7e-04,136.11,"Aporr_cali"
"Not.Assigned","ssp370",576.804418571581,0.0147,2884.02,"Aporr_cali"
"Not.Reported","ssp370",4695.0803242266,0.1195,23475.4,"Aporr_cali"
"Outside.PA","ssp370",27176.0831956355,0.692,135880.42,"Aporr_cali"
"Presence","ssp370",39274,1,196370,"Aporr_cali"
"Protected","ssp370",6798.81082819346,0.1731,33994.05,"Aporr_cali"
"Unprotected","ssp370",32475.1891718065,0.8269,162375.95,"Aporr_cali"
