"IUCNcat","SSP","sumCell","coverage","coverage_km2","SpeciesID"
"Presence","ssp370",85246,1,426230,"Allol_chlo_ssp370_mean"
"Protected","ssp370",14607.9488099799,0.1714,73039.74,"Allol_chlo_ssp370_mean"
"Unprotected","ssp370",70638.0511900201,0.8286,353190.26,"Allol_chlo_ssp370_mean"
"V","ssp370",11691.8649053876,0.1372,58459.32,"Allol_chlo_ssp370_mean"
"VI","ssp370",229.228735210676,0.0027,1146.14,"Allol_chlo_ssp370_mean"
"Ia","ssp585",31.481999200001,4e-04,157.41,"Allol_chlo_ssp585_mean"
"Ib","ssp585",7.50618408906416,1e-04,37.53,"Allol_chlo_ssp585_mean"
"II","ssp585",426.595733143992,0.0052,2132.98,"Allol_chlo_ssp585_mean"
"III","ssp585",50.6548028608609,6e-04,253.27,"Allol_chlo_ssp585_mean"
"IV","ssp585",2120.06507914057,0.0258,10600.33,"Allol_chlo_ssp585_mean"
"Not.Applicable","ssp585",247.672503946385,0.003,1238.36,"Allol_chlo_ssp585_mean"
"Not.Assigned","ssp585",1419.30490081162,0.0173,7096.52,"Allol_chlo_ssp585_mean"
"Not.Reported","ssp585",12116.2818879296,0.1475,60581.41,"Allol_chlo_ssp585_mean"
"Outside.PA","ssp585",54196.5142390887,0.6598,270982.57,"Allol_chlo_ssp585_mean"
"Presence","ssp585",82141,1,410705,"Allol_chlo_ssp585_mean"
"Protected","ssp585",14161.2264682237,0.1724,70806.13,"Allol_chlo_ssp585_mean"
"Unprotected","ssp585",67979.7735317763,0.8276,339898.87,"Allol_chlo_ssp585_mean"
"V","ssp585",11327.5248753676,0.1379,56637.62,"Allol_chlo_ssp585_mean"
"VI","ssp585",197.397794421599,0.0024,986.99,"Allol_chlo_ssp585_mean"
"Ia","ssp126",27.7234163423624,6e-04,138.62,"Allol_eise_ssp126_mean"
"Ib","ssp126",6.78386079778602,1e-04,33.92,"Allol_eise_ssp126_mean"
"II","ssp126",217.23174099791,0.0043,1086.16,"Allol_eise_ssp126_mean"
"III","ssp126",22.8891290856941,5e-04,114.45,"Allol_eise_ssp126_mean"
"IV","ssp126",1604.61131916029,0.0319,8023.06,"Allol_eise_ssp126_mean"
"Not.Applicable","ssp126",126.271358145817,0.0025,631.36,"Allol_eise_ssp126_mean"
"Not.Assigned","ssp126",865.379368075949,0.0172,4326.9,"Allol_eise_ssp126_mean"
"Not.Reported","ssp126",6867.49085925101,0.1366,34337.45,"Allol_eise_ssp126_mean"
"Outside.PA","ssp126",33362.6244841767,0.6637,166813.12,"Allol_eise_ssp126_mean"
"Presence","ssp126",50267,1,251335,"Allol_eise_ssp126_mean"
"Protected","ssp126",9045.23393035057,0.1799,45226.17,"Allol_eise_ssp126_mean"
"Unprotected","ssp126",41221.7660696494,0.8201,206108.83,"Allol_eise_ssp126_mean"
"V","ssp126",7011.6368118443,0.1395,35058.18,"Allol_eise_ssp126_mean"
"VI","ssp126",154.357652122226,0.0031,771.79,"Allol_eise_ssp126_mean"
"Ia","ssp370",49.8832092758959,9e-04,249.42,"Allol_eise_ssp370_mean"
"Ib","ssp370",11.7898399787623,2e-04,58.95,"Allol_eise_ssp370_mean"
"II","ssp370",254.181171682446,0.0046,1270.91,"Allol_eise_ssp370_mean"
"III","ssp370",28.8351969717545,5e-04,144.18,"Allol_eise_ssp370_mean"
"IV","ssp370",1787.31366593246,0.0327,8936.57,"Allol_eise_ssp370_mean"
"Not.Applicable","ssp370",79.4929197690599,0.0015,397.46,"Allol_eise_ssp370_mean"
"Not.Assigned","ssp370",1031.19325615898,0.0188,5155.97,"Allol_eise_ssp370_mean"
"Not.Reported","ssp370",7029.67714415235,0.1284,35148.39,"Allol_eise_ssp370_mean"
"Outside.PA","ssp370",36654.2755497509,0.6698,183271.38,"Allol_eise_ssp370_mean"
"Presence","ssp370",54727,1,273635,"Allol_eise_ssp370_mean"
"Protected","ssp370",9932.36113016866,0.1815,49661.81,"Allol_eise_ssp370_mean"
"Unprotected","ssp370",44794.6388698313,0.8185,223973.19,"Allol_eise_ssp370_mean"
"V","ssp370",7652.14687113409,0.1398,38260.73,"Allol_eise_ssp370_mean"
"VI","ssp370",148.211175193253,0.0027,741.06,"Allol_eise_ssp370_mean"
"Ia","ssp585",48.9109592453452,0.001,244.55,"Allol_eise_ssp585_mean"
"Ib","ssp585",10.7546291332942,2e-04,53.77,"Allol_eise_ssp585_mean"
"II","ssp585",229.987234458459,0.0047,1149.94,"Allol_eise_ssp585_mean"
"III","ssp585",28.1881969708519,6e-04,140.94,"Allol_eise_ssp585_mean"
"IV","ssp585",1671.45447291989,0.0344,8357.27,"Allol_eise_ssp585_mean"
"Not.Applicable","ssp585",43.9888152502626,9e-04,219.94,"Allol_eise_ssp585_mean"
"Not.Assigned","ssp585",1020.36032563937,0.021,5101.8,"Allol_eise_ssp585_mean"
"Not.Reported","ssp585",6060.44299604092,0.1247,30302.21,"Allol_eise_ssp585_mean"
"Outside.PA","ssp585",32530.4630807748,0.6694,162652.32,"Allol_eise_ssp585_mean"
"Presence","ssp585",48594,1,242970,"Allol_eise_ssp585_mean"
"Protected","ssp585",8938.74478229465,0.1839,44693.72,"Allol_eise_ssp585_mean"
"Unprotected","ssp585",39655.2552177054,0.8161,198276.28,"Allol_eise_ssp585_mean"
