"species","roc","prg","cor","tss","kappa","thres.maxTSS","model","time","bg","no.runs"
"Aporr_cali",0.902164129155353,0.863236824630064,0.656948512674649,0.705526876591554,0.631,0.567528610737631,"gm_pred","6.435 mins","bg.glm",1
"Aporr_cali",0.862543563389059,0.827179513662989,0.576490345951952,0.622115969011332,0.539,0.518440654208217,"lm1_pred","0.097 secs","bg.glm",1
"Aporr_cali",0.859906680104323,0.821421030871644,0.569508292480893,0.619681035212297,0.53,0.499763494727939,"lm_subset_pred","1.127 mins","bg.glm",1
"Aporr_cali",0.881049829593102,0.837963225888194,0.609165537891961,0.646723033012009,0.563,0.510749114141176,"lasso_pred","13.858 secs","bg.lasso",1
"Aporr_cali",0.876660794103845,0.831312870653026,0.600534829572985,0.658913088634668,0.581,0.542340282814739,"ridge_pred","10 secs","bg.lasso",1
"Aporr_cali",0.887257937982572,0.673542658388068,0.664273775910895,-0.00708860759493668,0.61,0.784397251707736,"mars_pred","7.803 secs","bg.mars",1
"Aporr_cali",0.906658947708549,0.885064498475457,0.664243754335682,0.69771046983067,0.628,0.458533380234078,"maxmod_pred","29.905 mins","bg.maxent",1
"Aporr_cali",0.912046190655702,0.884608811733889,0.682534130626899,0.716378295623274,0.645,0.458705831079066,"maxnet_pred","43.2 secs","bg.maxent",1
"Aporr_cali",0.94157453002571,0.902039105593885,0.806608303680798,0.790800788710293,0.789,0.424235593646567,"brt_pred","7.514 mins","bg.rf",1
"Aporr_cali",0.91423301508659,0.884640657081458,0.682436425164869,0.712570105321465,0.634,0.515469969067072,"brt2_pred","13.933 mins","bg.glm",1
"Aporr_cali",0.953198715764917,0.924612462036951,0.826162197777366,0.793180340053888,0.794,0.239746715776552,"xgb_pred","8.065 mins","bg.rf",1
"Aporr_cali",0.946870451237266,0.915681687662576,0.808271164442704,0.779718583212033,0.78,0.518944015660857,"svm_pred","4.073 secs","bg.rf",1
"Aporr_cali",0.957196465256491,0.935382603976388,0.831078062967848,0.814456935798569,0.814,0.460921843687375,"rf_pred","15.703 secs","bg.rf",1
"Aporr_cali",0.930453405445327,0.909882356390436,0.726541031381863,0.743654939492087,0.66,0.301848049281314,"rf2_pred","6.77 secs","bg.glm",1
"Aporr_cali",0.957131943799239,0.935730329485874,0.831108685139997,0.809728803410862,0.81,0.38855421686747,"rf_downsample_pred","15.703 secs","bg.rf",1
"Aporr_cali",0.945,NA,NA,0.756,0.708,0.402,"biomod_pred","2.533 hours","bg.biomod",1
"Aporr_cali",0.915846687643768,0.892158055552728,0.685909890936197,0.723256118107753,0.658,0.550518458601974,"ensm_pred","6.435 + 13.858 + 29.905 + 13.933 + 6.77 mins + secs + mins + mins + secs","bg.glm",NA
