Predictor,maxent,Species
MAP,6.689,Aporr_limi
MAP_Seas,0.681,Aporr_limi
MAT,24.147,Aporr_limi
Moisture,3.825,Aporr_limi
N,0,Aporr_limi
NDVI,7.394,Aporr_limi
P,1.244,Aporr_limi
Pastures,3.628,Aporr_limi
Pop_Dens,0.952,Aporr_limi
SOC,0.455,Aporr_limi
Shrubland,1.083,Aporr_limi
Slope,0.191,Aporr_limi
pH,1.99,Aporr_limi
Agriculture,4.569,Aporr_long
Aspect,0,Aporr_long
CEC,7.39,Aporr_long
Clay.Silt,3.666,Aporr_long
Cu,1.503,Aporr_long
Dist_Coast,4.165,Aporr_long
Dist_River,0.275,Aporr_long
Dist_Urban,1.309,Aporr_long
Elev,6.415,Aporr_long
Forest_Coni,1.776,Aporr_long
Forest_Deci,0.839,Aporr_long
Hg,0.218,Aporr_long
MAP,7.285,Aporr_long
MAP_Seas,14.409,Aporr_long
MAT,13.063,Aporr_long
Moisture,1.774,Aporr_long
N,4.471,Aporr_long
NDVI,1.438,Aporr_long
P,8.302,Aporr_long
Pastures,1.818,Aporr_long
Pop_Dens,1.745,Aporr_long
SOC,0.693,Aporr_long
Shrubland,0.548,Aporr_long
Slope,5.846,Aporr_long
pH,6.484,Aporr_long
Agriculture,1.244,Aporr_moll
Aspect,0,Aporr_moll
CEC,0.234,Aporr_moll
Clay.Silt,0.597,Aporr_moll
Cu,0.164,Aporr_moll
Dist_Coast,1.25,Aporr_moll
Dist_River,0.066,Aporr_moll
Dist_Urban,1.534,Aporr_moll
Elev,1.286,Aporr_moll
Forest_Coni,0.024,Aporr_moll
Forest_Deci,0.412,Aporr_moll
Hg,0.009,Aporr_moll
MAP,0.229,Aporr_moll
MAP_Seas,86.652,Aporr_moll
MAT,0.546,Aporr_moll
Moisture,0.841,Aporr_moll
N,0.195,Aporr_moll
NDVI,0,Aporr_moll
P,0.041,Aporr_moll
Pastures,0.034,Aporr_moll
Pop_Dens,1.093,Aporr_moll
SOC,0.271,Aporr_moll
Shrubland,0.459,Aporr_moll
Slope,0.351,Aporr_moll
pH,2.471,Aporr_moll
Agriculture,48.965,Aporr_noct
Aspect,0.058,Aporr_noct
CEC,0,Aporr_noct
Clay.Silt,7.027,Aporr_noct
Cu,7.688,Aporr_noct
Dist_Coast,3.59,Aporr_noct
Dist_River,0.613,Aporr_noct
Dist_Urban,0,Aporr_noct
Elev,0.456,Aporr_noct
Forest_Coni,1.148,Aporr_noct
Forest_Deci,1.787,Aporr_noct
Hg,0,Aporr_noct
MAP,0.88,Aporr_noct
MAP_Seas,0.278,Aporr_noct
MAT,0,Aporr_noct
Moisture,4.229,Aporr_noct
N,0.011,Aporr_noct
NDVI,1.399,Aporr_noct
P,2.41,Aporr_noct
Pastures,2.211,Aporr_noct
Pop_Dens,3.05,Aporr_noct
SOC,1.258,Aporr_noct
Shrubland,0.676,Aporr_noct
Slope,3.385,Aporr_noct
pH,8.882,Aporr_noct
Agriculture,2.898,Aporr_oliv
Aspect,0.111,Aporr_oliv
CEC,1.468,Aporr_oliv
Clay.Silt,2.658,Aporr_oliv
Cu,11.647,Aporr_oliv
Dist_Coast,0.305,Aporr_oliv
Dist_River,0.046,Aporr_oliv
Dist_Urban,0.185,Aporr_oliv
Elev,0.111,Aporr_oliv
Forest_Coni,0.526,Aporr_oliv
Forest_Deci,0.12,Aporr_oliv
Hg,0.083,Aporr_oliv
MAP,0.951,Aporr_oliv
MAP_Seas,55.921,Aporr_oliv
MAT,0.009,Aporr_oliv
Moisture,1.947,Aporr_oliv
N,0.775,Aporr_oliv
NDVI,0.812,Aporr_oliv
P,1.154,Aporr_oliv
Pastures,13.835,Aporr_oliv
Pop_Dens,1.2,Aporr_oliv
SOC,0,Aporr_oliv
Shrubland,2.686,Aporr_oliv
Slope,0.397,Aporr_oliv
pH,0.157,Aporr_oliv
Agriculture,17.301,Aporr_smar
Aspect,0.132,Aporr_smar
CEC,0.154,Aporr_smar
Clay.Silt,0,Aporr_smar
Cu,0.132,Aporr_smar
Dist_Coast,5.833,Aporr_smar
Dist_River,0.044,Aporr_smar
Dist_Urban,0,Aporr_smar
Elev,0.132,Aporr_smar
Forest_Coni,3.566,Aporr_smar
Forest_Deci,9.399,Aporr_smar
Hg,2.399,Aporr_smar
MAP,0.11,Aporr_smar
MAP_Seas,14.616,Aporr_smar
MAT,0,Aporr_smar
Moisture,6.053,Aporr_smar
N,2.003,Aporr_smar
NDVI,0.264,Aporr_smar
P,0.11,Aporr_smar
Pastures,0.792,Aporr_smar
Pop_Dens,7.176,Aporr_smar
SOC,0.55,Aporr_smar
Shrubland,0.022,Aporr_smar
Slope,0.44,Aporr_smar
pH,28.77,Aporr_smar
Agriculture,8.144,Aporr_trap
Aspect,0.272,Aporr_trap
CEC,4.681,Aporr_trap
Clay.Silt,1.892,Aporr_trap
Cu,0.5,Aporr_trap
Dist_Coast,1.739,Aporr_trap
Dist_River,0.383,Aporr_trap
Dist_Urban,0.006,Aporr_trap
Elev,0.506,Aporr_trap
Forest_Coni,0.946,Aporr_trap
Forest_Deci,0.751,Aporr_trap
Hg,0,Aporr_trap
MAP,7.213,Aporr_trap
MAP_Seas,53.08,Aporr_trap
MAT,0.138,Aporr_trap
Moisture,2.05,Aporr_trap
N,0.931,Aporr_trap
NDVI,2.382,Aporr_trap
P,4.394,Aporr_trap
Pastures,0.461,Aporr_trap
Pop_Dens,0.32,Aporr_trap
SOC,0,Aporr_trap
Shrubland,1.024,Aporr_trap
Slope,5.163,Aporr_trap
pH,3.026,Aporr_trap
Agriculture,7.378,Dendr_atte
Aspect,0.324,Dendr_atte
CEC,2.582,Dendr_atte
Clay.Silt,5.273,Dendr_atte
Cu,0.028,Dendr_atte
Dist_Coast,11.464,Dendr_atte
Dist_River,0.006,Dendr_atte
Dist_Urban,0.714,Dendr_atte
Elev,3.641,Dendr_atte
Forest_Coni,3.841,Dendr_atte
Forest_Deci,3.408,Dendr_atte
Hg,1.455,Dendr_atte
MAP,8.154,Dendr_atte
MAP_Seas,0.92,Dendr_atte
MAT,12.386,Dendr_atte
Moisture,6.026,Dendr_atte
N,0.501,Dendr_atte
NDVI,2.899,Dendr_atte
P,4.071,Dendr_atte
Pastures,1.957,Dendr_atte
Pop_Dens,1.44,Dendr_atte
SOC,4.084,Dendr_atte
Shrubland,0.584,Dendr_atte
Slope,2.955,Dendr_atte
pH,13.908,Dendr_atte
Agriculture,0,Dendr_bybl
Aspect,0,Dendr_bybl
CEC,0.017,Dendr_bybl
Clay.Silt,2.509,Dendr_bybl
Cu,0,Dendr_bybl
Dist_Coast,2.399,Dendr_bybl
Dist_River,0,Dendr_bybl
Dist_Urban,2.056,Dendr_bybl
Elev,3.329,Dendr_bybl
Forest_Coni,0,Dendr_bybl
Forest_Deci,1.416,Dendr_bybl
Hg,0,Dendr_bybl
MAP,0,Dendr_bybl
MAP_Seas,0.416,Dendr_bybl
MAT,2.919,Dendr_bybl
Moisture,0,Dendr_bybl
N,0,Dendr_bybl
NDVI,0,Dendr_bybl
P,0.656,Dendr_bybl
Pastures,14.506,Dendr_bybl
Pop_Dens,0.373,Dendr_bybl
SOC,45.726,Dendr_bybl
Shrubland,0.506,Dendr_bybl
Slope,23.17,Dendr_bybl
pH,0,Dendr_bybl
Agriculture,2.119,Dendr_hort
Aspect,0.818,Dendr_hort
CEC,3.635,Dendr_hort
Clay.Silt,0.144,Dendr_hort
Cu,0.289,Dendr_hort
Dist_Coast,28.717,Dendr_hort
Dist_River,0,Dendr_hort
Dist_Urban,0.87,Dendr_hort
Elev,7.595,Dendr_hort
Forest_Coni,4.883,Dendr_hort
Forest_Deci,1.206,Dendr_hort
Hg,0.035,Dendr_hort
MAP,0,Dendr_hort
MAP_Seas,1.104,Dendr_hort
MAT,27.493,Dendr_hort
Moisture,0.052,Dendr_hort
N,0.581,Dendr_hort
NDVI,3.631,Dendr_hort
P,6.334,Dendr_hort
Pastures,0.114,Dendr_hort
Pop_Dens,1.541,Dendr_hort
SOC,1.837,Dendr_hort
Shrubland,0.12,Dendr_hort
Slope,4.442,Dendr_hort
pH,2.44,Dendr_hort
Agriculture,0.139,Dendr_illy
Aspect,0.008,Dendr_illy
CEC,0.587,Dendr_illy
Clay.Silt,0.556,Dendr_illy
Cu,0.588,Dendr_illy
Dist_Coast,68.585,Dendr_illy
Dist_River,0,Dendr_illy
Dist_Urban,0.344,Dendr_illy
Elev,0.227,Dendr_illy
Forest_Coni,1.545,Dendr_illy
Forest_Deci,0.204,Dendr_illy
Hg,9.583,Dendr_illy
MAP,0,Dendr_illy
MAP_Seas,4.064,Dendr_illy
MAT,0,Dendr_illy
Moisture,8.509,Dendr_illy
N,0.005,Dendr_illy
NDVI,0.147,Dendr_illy
P,0,Dendr_illy
Pastures,3.054,Dendr_illy
Pop_Dens,0.032,Dendr_illy
SOC,0,Dendr_illy
Shrubland,0.001,Dendr_illy
Slope,1.303,Dendr_illy
pH,0.518,Dendr_illy
Agriculture,14.707,Dendr_octa
Aspect,0.338,Dendr_octa
CEC,9.65,Dendr_octa
Clay.Silt,4.822,Dendr_octa
Cu,7.243,Dendr_octa
Dist_Coast,5.339,Dendr_octa
Dist_River,0.864,Dendr_octa
Dist_Urban,0.834,Dendr_octa
Elev,5.584,Dendr_octa
Forest_Coni,1.974,Dendr_octa
Forest_Deci,2.338,Dendr_octa
Hg,3.484,Dendr_octa
MAP,4.18,Dendr_octa
MAP_Seas,3.409,Dendr_octa
MAT,4.676,Dendr_octa
Moisture,2.542,Dendr_octa
N,3.138,Dendr_octa
NDVI,2.81,Dendr_octa
P,4.689,Dendr_octa
Pastures,2.273,Dendr_octa
Pop_Dens,5.051,Dendr_octa
SOC,3.041,Dendr_octa
Shrubland,0.552,Dendr_octa
Slope,0.366,Dendr_octa
pH,6.097,Dendr_octa
Agriculture,2.385,Dendr_pygm
Aspect,0,Dendr_pygm
CEC,1.062,Dendr_pygm
Clay.Silt,11.015,Dendr_pygm
Cu,1.383,Dendr_pygm
Dist_Coast,12.363,Dendr_pygm
Dist_River,1.714,Dendr_pygm
Dist_Urban,1.786,Dendr_pygm
Elev,0.775,Dendr_pygm
Forest_Coni,0,Dendr_pygm
Forest_Deci,9.779,Dendr_pygm
Hg,1.431,Dendr_pygm
MAP,0.69,Dendr_pygm
MAP_Seas,6.896,Dendr_pygm
MAT,1.039,Dendr_pygm
Moisture,14.973,Dendr_pygm
N,0.012,Dendr_pygm
NDVI,1.146,Dendr_pygm
P,3.007,Dendr_pygm
Pastures,18.263,Dendr_pygm
Pop_Dens,1.076,Dendr_pygm
SOC,1.618,Dendr_pygm
Shrubland,0.165,Dendr_pygm
Slope,0.245,Dendr_pygm
pH,7.178,Dendr_pygm
Agriculture,6.426,Dendr_rubi
Aspect,1.294,Dendr_rubi
CEC,3.929,Dendr_rubi
Clay.Silt,3.684,Dendr_rubi
Cu,4.591,Dendr_rubi
Dist_Coast,3.227,Dendr_rubi
Dist_River,0.566,Dendr_rubi
Dist_Urban,0.573,Dendr_rubi
Elev,14.731,Dendr_rubi
Forest_Coni,3.708,Dendr_rubi
Forest_Deci,4.554,Dendr_rubi
Hg,3.163,Dendr_rubi
MAP,1.257,Dendr_rubi
MAP_Seas,1.235,Dendr_rubi
MAT,7.494,Dendr_rubi
Moisture,2.557,Dendr_rubi
N,0.776,Dendr_rubi
NDVI,2.685,Dendr_rubi
P,9.653,Dendr_rubi
Pastures,1.972,Dendr_rubi
Pop_Dens,5.115,Dendr_rubi
SOC,3.267,Dendr_rubi
Shrubland,2.01,Dendr_rubi
Slope,2.287,Dendr_rubi
pH,9.247,Dendr_rubi
Agriculture,16.5,Dendr_vene
Aspect,0.011,Dendr_vene
CEC,0,Dendr_vene
Clay.Silt,0.694,Dendr_vene
Cu,24.324,Dendr_vene
Dist_Coast,27.202,Dendr_vene
Dist_River,0.418,Dendr_vene
Dist_Urban,0,Dendr_vene
Elev,1.262,Dendr_vene
Forest_Coni,0,Dendr_vene
Forest_Deci,1.978,Dendr_vene
Hg,0,Dendr_vene
MAP,0,Dendr_vene
MAP_Seas,0.291,Dendr_vene
MAT,0,Dendr_vene
Moisture,0,Dendr_vene
N,0.022,Dendr_vene
NDVI,0,Dendr_vene
P,7.833,Dendr_vene
Pastures,2.458,Dendr_vene
Pop_Dens,17.006,Dendr_vene
SOC,0,Dendr_vene
Shrubland,0,Dendr_vene
Slope,0,Dendr_vene
pH,0,Dendr_vene
Agriculture,7.114,Eisen_feti
Aspect,0.366,Eisen_feti
CEC,6.212,Eisen_feti
Clay.Silt,2.594,Eisen_feti
Cu,2.46,Eisen_feti
Dist_Coast,2.864,Eisen_feti
Dist_River,0.352,Eisen_feti
Dist_Urban,0.038,Eisen_feti
Elev,22.64,Eisen_feti
Forest_Coni,1.1,Eisen_feti
Forest_Deci,0.12,Eisen_feti
Hg,0.376,Eisen_feti
