Predictor,maxent,Species
CEC,0.931,Micro_phos
Clay.Silt,2.555,Micro_phos
Cu,4.789,Micro_phos
Dist_Coast,22.041,Micro_phos
Dist_River,0.226,Micro_phos
Dist_Urban,0.475,Micro_phos
Elev,1.58,Micro_phos
Forest_Coni,1.878,Micro_phos
Forest_Deci,0.543,Micro_phos
Hg,0.211,Micro_phos
MAP,0.395,Micro_phos
MAP_Seas,0.974,Micro_phos
MAT,56.224,Micro_phos
Moisture,0.462,Micro_phos
N,0,Micro_phos
NDVI,0.292,Micro_phos
P,1.417,Micro_phos
Pastures,0,Micro_phos
Pop_Dens,0.082,Micro_phos
SOC,0,Micro_phos
Shrubland,0.296,Micro_phos
Slope,0.086,Micro_phos
pH,1.538,Micro_phos
Agriculture,0.562,Murch_muld
Aspect,0.553,Murch_muld
CEC,7.264,Murch_muld
Clay.Silt,1.458,Murch_muld
Cu,1.127,Murch_muld
Dist_Coast,21.635,Murch_muld
Dist_River,0.233,Murch_muld
Dist_Urban,1.5,Murch_muld
Elev,9.266,Murch_muld
Forest_Coni,3.489,Murch_muld
Forest_Deci,0.868,Murch_muld
Hg,2.848,Murch_muld
MAP,1.028,Murch_muld
MAP_Seas,2.514,Murch_muld
MAT,14.135,Murch_muld
Moisture,12.162,Murch_muld
N,3.437,Murch_muld
NDVI,0.328,Murch_muld
P,1.74,Murch_muld
Pastures,3.115,Murch_muld
Pop_Dens,2.143,Murch_muld
SOC,0,Murch_muld
Shrubland,0.018,Murch_muld
Slope,3.757,Murch_muld
pH,4.819,Murch_muld
Agriculture,7.516,Octol_cyan
Aspect,0.016,Octol_cyan
CEC,11.502,Octol_cyan
Clay.Silt,8.528,Octol_cyan
Cu,1.697,Octol_cyan
Dist_Coast,11,Octol_cyan
Dist_River,0.926,Octol_cyan
Dist_Urban,3.052,Octol_cyan
Elev,2.469,Octol_cyan
Forest_Coni,0.619,Octol_cyan
Forest_Deci,1.827,Octol_cyan
Hg,0.381,Octol_cyan
MAP,5.512,Octol_cyan
MAP_Seas,11.043,Octol_cyan
MAT,13.146,Octol_cyan
Moisture,2.06,Octol_cyan
N,1.748,Octol_cyan
NDVI,2.25,Octol_cyan
P,2.909,Octol_cyan
Pastures,1.804,Octol_cyan
Pop_Dens,0,Octol_cyan
SOC,2.601,Octol_cyan
Shrubland,0.817,Octol_cyan
Slope,1.677,Octol_cyan
pH,4.901,Octol_cyan
Agriculture,2.633,Octol_lact
Aspect,1.294,Octol_lact
CEC,4.384,Octol_lact
Clay.Silt,2.529,Octol_lact
Cu,0.088,Octol_lact
Dist_Coast,12.148,Octol_lact
Dist_River,1.486,Octol_lact
Dist_Urban,1.913,Octol_lact
Elev,2.769,Octol_lact
Forest_Coni,3.367,Octol_lact
Forest_Deci,1.093,Octol_lact
Hg,8.727,Octol_lact
MAP,4.687,Octol_lact
MAP_Seas,2.417,Octol_lact
MAT,9.422,Octol_lact
Moisture,3.318,Octol_lact
N,1.259,Octol_lact
NDVI,3.119,Octol_lact
P,3.982,Octol_lact
Pastures,0.988,Octol_lact
Pop_Dens,2.62,Octol_lact
SOC,1.704,Octol_lact
Shrubland,0.457,Octol_lact
Slope,1.059,Octol_lact
pH,22.535,Octol_lact
Agriculture,1.537,Octol_tyrt
Aspect,0.013,Octol_tyrt
CEC,1.204,Octol_tyrt
Clay.Silt,0.852,Octol_tyrt
Cu,0.649,Octol_tyrt
Dist_Coast,23.013,Octol_tyrt
Dist_River,0.264,Octol_tyrt
Dist_Urban,0.012,Octol_tyrt
Elev,2.99,Octol_tyrt
Forest_Coni,0.708,Octol_tyrt
Forest_Deci,0.735,Octol_tyrt
Hg,8.498,Octol_tyrt
MAP,0.851,Octol_tyrt
MAP_Seas,10.644,Octol_tyrt
MAT,21.458,Octol_tyrt
Moisture,0.99,Octol_tyrt
N,0.045,Octol_tyrt
NDVI,0.297,Octol_tyrt
P,4.36,Octol_tyrt
Pastures,1.583,Octol_tyrt
Pop_Dens,15.198,Octol_tyrt
SOC,1.657,Octol_tyrt
Shrubland,0.399,Octol_tyrt
Slope,0.107,Octol_tyrt
pH,1.936,Octol_tyrt
Agriculture,9.453,Proct_anti
Aspect,4.201,Proct_anti
CEC,0,Proct_anti
Clay.Silt,0.329,Proct_anti
Cu,16.931,Proct_anti
Dist_Coast,11.359,Proct_anti
Dist_River,0.443,Proct_anti
Dist_Urban,0.032,Proct_anti
Elev,3.597,Proct_anti
Forest_Coni,3.309,Proct_anti
Forest_Deci,0.932,Proct_anti
Hg,0.11,Proct_anti
MAP,0.288,Proct_anti
MAP_Seas,6.742,Proct_anti
MAT,1.211,Proct_anti
Moisture,0.466,Proct_anti
N,2.985,Proct_anti
NDVI,0.366,Proct_anti
P,27.024,Proct_anti
Pastures,5.38,Proct_anti
Pop_Dens,0.233,Proct_anti
SOC,0,Proct_anti
Shrubland,0,Proct_anti
Slope,3.515,Proct_anti
pH,1.092,Proct_anti
Agriculture,0.186,Proct_tube
Aspect,0,Proct_tube
CEC,16.136,Proct_tube
Clay.Silt,0,Proct_tube
Cu,9.641,Proct_tube
Dist_Coast,54.474,Proct_tube
Dist_River,0.039,Proct_tube
Dist_Urban,0.313,Proct_tube
Elev,9.738,Proct_tube
Forest_Coni,0.059,Proct_tube
Forest_Deci,0,Proct_tube
Hg,2.286,Proct_tube
MAP,0.576,Proct_tube
MAP_Seas,0,Proct_tube
MAT,0,Proct_tube
Moisture,0.02,Proct_tube
N,0,Proct_tube
NDVI,0,Proct_tube
P,1.026,Proct_tube
Pastures,0.146,Proct_tube
Pop_Dens,3.585,Proct_tube
SOC,0,Proct_tube
Shrubland,0.039,Proct_tube
Slope,1.065,Proct_tube
pH,0.674,Proct_tube
Agriculture,2.311,Satch_made
Aspect,0.123,Satch_made
CEC,14.832,Satch_made
Clay.Silt,0.518,Satch_made
Cu,0.394,Satch_made
Dist_Coast,0.302,Satch_made
Dist_River,0.474,Satch_made
Dist_Urban,0,Satch_made
Elev,0.468,Satch_made
Forest_Coni,0.006,Satch_made
Forest_Deci,0.179,Satch_made
Hg,0.185,Satch_made
MAP,58.956,Satch_made
MAP_Seas,18.017,Satch_made
MAT,0.018,Satch_made
Moisture,0.043,Satch_made
N,0.296,Satch_made
NDVI,0.431,Satch_made
P,0.056,Satch_made
Pastures,0.012,Satch_made
Pop_Dens,0.056,Satch_made
SOC,0.086,Satch_made
Shrubland,0.339,Satch_made
Slope,0.438,Satch_made
pH,1.46,Satch_made
Agriculture,0.844,Satch_mamm
Aspect,0.379,Satch_mamm
CEC,7.723,Satch_mamm
Clay.Silt,4.487,Satch_mamm
Cu,0.021,Satch_mamm
Dist_Coast,47.183,Satch_mamm
Dist_River,1.65,Satch_mamm
Dist_Urban,0.083,Satch_mamm
Elev,2.656,Satch_mamm
Forest_Coni,0.18,Satch_mamm
Forest_Deci,0.198,Satch_mamm
Hg,4.197,Satch_mamm
MAP,2.129,Satch_mamm
MAP_Seas,0.992,Satch_mamm
MAT,18.218,Satch_mamm
Moisture,1.957,Satch_mamm
N,1.042,Satch_mamm
NDVI,0.552,Satch_mamm
P,1.8,Satch_mamm
Pastures,0.124,Satch_mamm
Pop_Dens,1.689,Satch_mamm
SOC,0.147,Satch_mamm
Shrubland,0.278,Satch_mamm
Slope,0.155,Satch_mamm
pH,1.315,Satch_mamm
