Predictor,biomod,Species
Clay.Silt,0.055,Lumbr_terr
P,0.087,Lumbr_terr
pH,0.01,Lumbr_terr
MAP_Seas,0.283,Octol_cyan
MAT,0.119,Octol_cyan
Agriculture,0.051,Octol_cyan
Pop_Dens,0.021,Octol_cyan
Dist_Coast,0.136,Octol_cyan
Elev,0.035,Octol_cyan
CEC,0.04,Octol_cyan
Clay.Silt,0.21,Octol_cyan
P,0.055,Octol_cyan
pH,0.037,Octol_cyan
MAP_Seas,0.02,Octol_lact
MAT,0.104,Octol_lact
Agriculture,0.116,Octol_lact
Pop_Dens,0.052,Octol_lact
Dist_Coast,0.379,Octol_lact
Elev,0.026,Octol_lact
CEC,0.031,Octol_lact
Clay.Silt,0.098,Octol_lact
P,0.028,Octol_lact
pH,0.12,Octol_lact
MAP_Seas,0.246,Octol_tyrt
MAT,0.267,Octol_tyrt
Agriculture,0.018,Octol_tyrt
Pop_Dens,0.158,Octol_tyrt
Dist_Coast,0.188,Octol_tyrt
Elev,0.024,Octol_tyrt
CEC,0.006,Octol_tyrt
Clay.Silt,0.008,Octol_tyrt
P,0.057,Octol_tyrt
pH,0.005,Octol_tyrt
MAP_Seas,0.022,Satch_mamm
MAT,0.33,Satch_mamm
Agriculture,0.038,Satch_mamm
Pop_Dens,0.007,Satch_mamm
Dist_Coast,0.439,Satch_mamm
Elev,0.061,Satch_mamm
CEC,0.013,Satch_mamm
Clay.Silt,0.115,Satch_mamm
P,0.016,Satch_mamm
pH,0.007,Satch_mamm
