"x" "y" "ID" "Art"
9.574080847 54.658172133 246 "Aporrectodea longa"
9.574080847 54.658172133 246 "Aporrectodea rosea"
9.574080847 54.658172133 246 "Dendrobaena rubidus"
9.574080847 54.658172133 246 "Lumbricus castaneus"
9.574080847 54.658172133 246 "Lumbricus festivus"
9.574080847 54.658172133 246 "Lumbricus rubellus"
9.574080847 54.658172133 246 "Lumbricus terrestris"
9.574080847 54.658172133 246 "Octolasion lacteum"
9.574080847 54.658172133 246 "Octolasion tyrtaeum"
9.760080847 54.658172133 247 "Allolobophora chlorotica"
9.760080847 54.658172133 247 "Aporrectodea longa"
9.760080847 54.658172133 247 "Aporrectodea rosea"
9.760080847 54.658172133 247 "Dendrobaena rubidus"
9.760080847 54.658172133 247 "Lumbricus castaneus"
9.760080847 54.658172133 247 "Lumbricus festivus"
9.760080847 54.658172133 247 "Lumbricus rubellus"
9.760080847 54.658172133 247 "Lumbricus terrestris"
9.760080847 54.658172133 247 "Octolasion lacteum"
9.915080847 54.658172133 248 "Allolobophora chlorotica"
9.915080847 54.658172133 248 "Aporrectodea longa"
9.915080847 54.658172133 248 "Aporrectodea rosea"
9.915080847 54.658172133 248 "Dendrobaena rubidus"
9.915080847 54.658172133 248 "Lumbricus castaneus"
9.915080847 54.658172133 248 "Lumbricus festivus"
9.915080847 54.658172133 248 "Lumbricus rubellus"
9.915080847 54.658172133 248 "Lumbricus terrestris"
9.915080847 54.658172133 248 "Octolasion cyaneum"
9.915080847 54.658172133 248 "Octolasion lacteum"
13.263080847 54.658172133 268 "Allolobophora chlorotica"
13.263080847 54.658172133 268 "Aporrectodea longa"
13.263080847 54.658172133 268 "Aporrectodea rosea"
13.263080847 54.658172133 268 "Dendrobaena octaedra"
13.263080847 54.658172133 268 "Dendrobaena rubidus"
13.263080847 54.658172133 268 "Eisenia fetida"
13.263080847 54.658172133 268 "Lumbricus castaneus"
13.263080847 54.658172133 268 "Lumbricus festivus"
13.263080847 54.658172133 268 "Lumbricus rubellus"
13.263080847 54.658172133 268 "Lumbricus terrestris"
13.263080847 54.658172133 268 "Octolasion cyaneum"
13.263080847 54.658172133 268 "Octolasion lacteum"
13.418080847 54.658172133 269 "Allolobophora chlorotica"
13.418080847 54.658172133 269 "Aporrectodea longa"
13.418080847 54.658172133 269 "Aporrectodea rosea"
13.418080847 54.658172133 269 "Dendrobaena rubidus"
13.418080847 54.658172133 269 "Lumbricus castaneus"
13.418080847 54.658172133 269 "Lumbricus festivus"
13.418080847 54.658172133 269 "Lumbricus rubellus"
13.418080847 54.658172133 269 "Lumbricus terrestris"
13.418080847 54.658172133 269 "Octolasion cyaneum"
13.418080847 54.658172133 269 "Octolasion lacteum"
8.582080847 54.534172133 296 "Allolobophora chlorotica"
8.582080847 54.534172133 296 "Aporrectodea caliginosa"
8.582080847 54.534172133 296 "Aporrectodea limicola"
8.582080847 54.534172133 296 "Aporrectodea longa"
8.582080847 54.534172133 296 "Aporrectodea rosea"
8.582080847 54.534172133 296 "Dendrobaena octaedra"
8.582080847 54.534172133 296 "Dendrobaena rubidus"
8.582080847 54.534172133 296 "Eisenia fetida"
8.582080847 54.534172133 296 "Lumbricus castaneus"
8.582080847 54.534172133 296 "Lumbricus festivus"
8.582080847 54.534172133 296 "Lumbricus rubellus"
8.582080847 54.534172133 296 "Lumbricus terrestris"
8.582080847 54.534172133 296 "Octolasion cyaneum"
8.582080847 54.534172133 296 "Octolasion lacteum"
8.582080847 54.534172133 296 "Satchellius mammalis"
8.923080847 54.534172133 298 "Allolobophora chlorotica"
8.923080847 54.534172133 298 "Aporrectodea limicola"
8.923080847 54.534172133 298 "Aporrectodea longa"
8.923080847 54.534172133 298 "Aporrectodea rosea"
8.923080847 54.534172133 298 "Dendrobaena octaedra"
8.923080847 54.534172133 298 "Dendrobaena rubidus"
8.923080847 54.534172133 298 "Eisenia fetida"
8.923080847 54.534172133 298 "Lumbricus castaneus"
8.923080847 54.534172133 298 "Lumbricus festivus"
8.923080847 54.534172133 298 "Lumbricus rubellus"
8.923080847 54.534172133 298 "Lumbricus terrestris"
8.923080847 54.534172133 298 "Octolasion cyaneum"
8.923080847 54.534172133 298 "Octolasion lacteum"
9.078080847 54.534172133 299 "Allolobophora chlorotica"
9.078080847 54.534172133 299 "Aporrectodea limicola"
9.078080847 54.534172133 299 "Aporrectodea longa"
9.078080847 54.534172133 299 "Aporrectodea rosea"
9.078080847 54.534172133 299 "Dendrobaena octaedra"
9.078080847 54.534172133 299 "Dendrobaena rubidus"
9.078080847 54.534172133 299 "Lumbricus castaneus"
9.078080847 54.534172133 299 "Lumbricus festivus"
9.078080847 54.534172133 299 "Lumbricus rubellus"
9.078080847 54.534172133 299 "Lumbricus terrestris"
9.078080847 54.534172133 299 "Octolasion lacteum"
9.264080847 54.534172133 300 "Allolobophora chlorotica"
9.264080847 54.534172133 300 "Aporrectodea limicola"
9.264080847 54.534172133 300 "Aporrectodea longa"
9.264080847 54.534172133 300 "Aporrectodea rosea"
9.264080847 54.534172133 300 "Dendrobaena rubidus"
9.264080847 54.534172133 300 "Lumbricus castaneus"
9.264080847 54.534172133 300 "Lumbricus festivus"
9.264080847 54.534172133 300 "Lumbricus rubellus"
9.264080847 54.534172133 300 "Lumbricus terrestris"
9.264080847 54.534172133 300 "Octolasion lacteum"
9.419080847 54.534172133 301 "Aporrectodea limicola"
9.419080847 54.534172133 301 "Aporrectodea longa"
9.419080847 54.534172133 301 "Dendrobaena rubidus"
9.419080847 54.534172133 301 "Lumbricus rubellus"
9.419080847 54.534172133 301 "Octolasion lacteum"
9.574080847 54.534172133 302 "Aporrectodea longa"
9.574080847 54.534172133 302 "Aporrectodea rosea"
9.574080847 54.534172133 302 "Dendrobaena octaedra"
9.574080847 54.534172133 302 "Dendrobaena rubidus"
9.574080847 54.534172133 302 "Lumbricus castaneus"
9.574080847 54.534172133 302 "Lumbricus festivus"
9.574080847 54.534172133 302 "Lumbricus rubellus"
9.574080847 54.534172133 302 "Lumbricus terrestris"
9.574080847 54.534172133 302 "Octolasion lacteum"
9.760080847 54.534172133 303 "Allolobophora chlorotica"
9.760080847 54.534172133 303 "Aporrectodea limicola"
9.760080847 54.534172133 303 "Aporrectodea longa"
9.760080847 54.534172133 303 "Aporrectodea rosea"
9.760080847 54.534172133 303 "Dendrobaena rubidus"
9.760080847 54.534172133 303 "Lumbricus castaneus"
9.760080847 54.534172133 303 "Lumbricus festivus"
9.760080847 54.534172133 303 "Lumbricus rubellus"
9.760080847 54.534172133 303 "Lumbricus terrestris"
9.760080847 54.534172133 303 "Octolasion lacteum"
9.915080847 54.534172133 304 "Allolobophora chlorotica"
9.915080847 54.534172133 304 "Aporrectodea longa"
9.915080847 54.534172133 304 "Aporrectodea rosea"
9.915080847 54.534172133 304 "Dendrobaena rubidus"
9.915080847 54.534172133 304 "Lumbricus castaneus"
9.915080847 54.534172133 304 "Lumbricus festivus"
9.915080847 54.534172133 304 "Lumbricus rubellus"
9.915080847 54.534172133 304 "Lumbricus terrestris"
9.915080847 54.534172133 304 "Octolasion lacteum"
11.093080847 54.534172133 311 "Allolobophora chlorotica"
11.093080847 54.534172133 311 "Aporrectodea caliginosa"
11.093080847 54.534172133 311 "Aporrectodea limicola"
11.093080847 54.534172133 311 "Aporrectodea longa"
11.093080847 54.534172133 311 "Aporrectodea rosea"
11.093080847 54.534172133 311 "Dendrobaena octaedra"
11.093080847 54.534172133 311 "Dendrobaena rubidus"
11.093080847 54.534172133 311 "Eisenia fetida"
11.093080847 54.534172133 311 "Eiseniella tetraedra"
11.093080847 54.534172133 311 "Lumbricus castaneus"
11.093080847 54.534172133 311 "Lumbricus festivus"
11.093080847 54.534172133 311 "Lumbricus rubellus"
11.093080847 54.534172133 311 "Lumbricus terrestris"
11.093080847 54.534172133 311 "Octolasion cyaneum"
11.093080847 54.534172133 311 "Octolasion lacteum"
11.093080847 54.534172133 311 "Satchellius mammalis"
13.263080847 54.534172133 324 "Allolobophora chlorotica"
13.263080847 54.534172133 324 "Aporrectodea longa"
13.263080847 54.534172133 324 "Aporrectodea rosea"
13.263080847 54.534172133 324 "Dendrobaena rubidus"
13.263080847 54.534172133 324 "Lumbricus castaneus"
13.263080847 54.534172133 324 "Lumbricus festivus"
13.263080847 54.534172133 324 "Lumbricus rubellus"
13.263080847 54.534172133 324 "Lumbricus terrestris"
13.263080847 54.534172133 324 "Octolasion cyaneum"
13.263080847 54.534172133 324 "Octolasion lacteum"
13.573080847 54.534172133 326 "Allolobophora chlorotica"
13.573080847 54.534172133 326 "Aporrectodea longa"
13.573080847 54.534172133 326 "Aporrectodea rosea"
