"species","roc","prg","cor","tss","kappa","thres.maxTSS","model","time","bg","no.runs"
"Lumbr_terr",0.900163421580986,0.866754271601175,0.632834494034713,0.682175374702339,0.564,0.443355376951714,"gm_pred","4.253 mins","bg.glm",1
"Lumbr_terr",0.879163748424149,0.820405406065943,0.585689630614265,0.632805715086147,0.488,0.388293624681105,"lm1_pred","0.086 secs","bg.glm",1
"Lumbr_terr",0.874774711677639,0.808170592057294,0.576433112597967,0.626233832936452,0.495,0.407682435906657,"lm_subset_pred","48.252 secs","bg.glm",1
"Lumbr_terr",0.89075500770416,0.83597513844874,0.609588715526576,0.667766260447308,0.574,0.53524210490503,"lasso_pred","12.527 secs","bg.lasso",1
"Lumbr_terr",0.889977587897464,0.835340118509114,0.601541065416947,0.656957090162021,0.554,0.50570375729317,"ridge_pred","9.069 secs","bg.lasso",1
"Lumbr_terr",0.889125053809727,0.622591045955727,0.637117206739988,0.0789473684210527,0.554,0.81622192951749,"mars_pred","6.865 secs","bg.mars",1
"Lumbr_terr",0.906807676145118,0.881696387978617,0.651128879348453,0.707811551571182,0.622,0.440132887725433,"maxmod_pred","27.554 mins","bg.maxent",1
"Lumbr_terr",0.913379558294811,0.896094598367275,0.669843991321467,0.706543867021525,0.585,0.328959092549342,"maxnet_pred","34.935 secs","bg.maxent",1
"Lumbr_terr",0.939328779829668,0.904270423536018,0.788003051623315,0.771776709671979,0.77,0.537890403522997,"brt_pred","6.36 mins","bg.rf",1
"Lumbr_terr",0.916603632628285,0.898009592863648,0.667083672203809,0.712053508894803,0.609,0.464903477370201,"brt2_pred","11.202 mins","bg.glm",1
"Lumbr_terr",0.946475250864323,0.917835392207359,0.806374926437032,0.78771397251033,0.786,0.514813541222196,"xgb_pred","7.596 mins","bg.rf",1
"Lumbr_terr",0.930931500688648,0.887455671832792,0.774251480942454,0.748039463698457,0.746,0.505670714718569,"svm_pred","2.903 secs","bg.rf",1
"Lumbr_terr",0.946137954296323,0.915321942935796,0.800270097377318,0.770764819967957,0.769,0.523138832997988,"rf_pred","6.385 secs","bg.rf",1
"Lumbr_terr",0.926863006023253,0.907056513467204,0.696879815940723,0.733027501517486,0.639,0.286624203821656,"rf2_pred","6.067 secs","bg.glm",1
"Lumbr_terr",0.947357140849433,0.920576551427171,0.802122370973203,0.773926975293026,0.772,0.519038076152305,"rf_downsample_pred","12.629 secs","bg.rf",1
"Lumbr_terr",0.945,NA,NA,0.756,0.701,0.51,"biomod_pred","1.254 hours","bg.biomod",1
"Lumbr_terr",0.915279917822291,0.89519763605436,0.665117911337831,0.718408273801186,0.623,0.488104837541411,"ensm_pred","4.253 + 12.527 + 27.554 + 11.202 + 6.067 mins + secs + mins + mins + secs","bg.glm",1
