"x" "y" "ID" "Artensumme"
8.427080847 55.061172133 15 NA
8.241080847 54.937172133 70 NA
8.427080847 54.937172133 71 NA
8.582080847 54.937172133 72 NA
8.737080847 54.937172133 73 NA
8.923080847 54.937172133 74 8
8.241080847 54.844172133 126 NA
8.427080847 54.844172133 127 NA
8.582080847 54.844172133 128 NA
8.737080847 54.844172133 129 NA
8.923080847 54.844172133 130 NA
9.078080847 54.844172133 131 NA
9.264080847 54.844172133 132 NA
9.419080847 54.844172133 133 NA
9.574080847 54.844172133 134 NA
9.760080847 54.844172133 135 NA
8.241080847 54.751172133 182 NA
8.427080847 54.751172133 183 15
8.582080847 54.751172133 184 NA
8.737080847 54.751172133 185 NA
8.923080847 54.751172133 186 15
9.078080847 54.751172133 187 5
9.264080847 54.751172133 188 4
9.419080847 54.751172133 189 11
9.574080847 54.751172133 190 11
9.760080847 54.751172133 191 9
9.915080847 54.751172133 192 10
10.070080847 54.751172133 193 NA
8.241080847 54.658172133 238 NA
8.427080847 54.658172133 239 NA
8.582080847 54.658172133 240 NA
8.737080847 54.658172133 241 NA
8.923080847 54.658172133 242 5
9.078080847 54.658172133 243 8
9.264080847 54.658172133 244 5
9.419080847 54.658172133 245 11
9.574080847 54.658172133 246 10
9.760080847 54.658172133 247 9
9.915080847 54.658172133 248 10
10.070080847 54.658172133 249 NA
13.263080847 54.658172133 268 12
13.418080847 54.658172133 269 10
8.582080847 54.534172133 296 15
8.737080847 54.534172133 297 NA
8.923080847 54.534172133 298 13
9.078080847 54.534172133 299 11
9.264080847 54.534172133 300 10
9.419080847 54.534172133 301 5
9.574080847 54.534172133 302 9
9.760080847 54.534172133 303 10
9.915080847 54.534172133 304 9
10.070080847 54.534172133 305 NA
11.093080847 54.534172133 311 16
11.248080847 54.534172133 312 NA
13.077080847 54.534172133 323 NA
13.263080847 54.534172133 324 10
13.418080847 54.534172133 325 NA
13.573080847 54.534172133 326 10
8.582080847 54.441172133 352 NA
8.737080847 54.441172133 353 NA
8.923080847 54.441172133 354 15
9.078080847 54.441172133 355 16
9.264080847 54.441172133 356 10
9.419080847 54.441172133 357 10
9.574080847 54.441172133 358 10
9.760080847 54.441172133 359 10
9.915080847 54.441172133 360 13
10.070080847 54.441172133 361 NA
10.256080847 54.441172133 362 NA
10.411080847 54.441172133 363 NA
11.093080847 54.441172133 367 11
11.248080847 54.441172133 368 8
12.426080847 54.441172133 375 NA
12.581080847 54.441172133 376 12
12.736080847 54.441172133 377 NA
12.922080847 54.441172133 378 NA
13.077080847 54.441172133 379 NA
13.263080847 54.441172133 380 5
13.418080847 54.441172133 381 8
13.573080847 54.441172133 382 15
8.582080847 54.348172133 408 NA
8.737080847 54.348172133 409 NA
8.923080847 54.348172133 410 NA
9.078080847 54.348172133 411 NA
9.264080847 54.348172133 412 NA
9.419080847 54.348172133 413 NA
9.574080847 54.348172133 414 NA
9.760080847 54.348172133 415 NA
9.915080847 54.348172133 416 NA
10.070080847 54.348172133 417 NA
10.256080847 54.348172133 418 NA
10.411080847 54.348172133 419 NA
10.597080847 54.348172133 420 NA
10.752080847 54.348172133 421 NA
10.907080847 54.348172133 422 NA
11.093080847 54.348172133 423 NA
12.426080847 54.348172133 431 NA
12.581080847 54.348172133 432 NA
12.736080847 54.348172133 433 NA
12.922080847 54.348172133 434 NA
13.077080847 54.348172133 435 NA
13.263080847 54.348172133 436 NA
13.418080847 54.348172133 437 NA
13.573080847 54.348172133 438 NA
13.759080847 54.348172133 439 NA
8.582080847 54.255172133 464 NA
8.737080847 54.255172133 465 NA
8.923080847 54.255172133 466 11
9.078080847 54.255172133 467 13
9.264080847 54.255172133 468 4
9.419080847 54.255172133 469 17
9.574080847 54.255172133 470 17
9.760080847 54.255172133 471 12
9.915080847 54.255172133 472 12
10.070080847 54.255172133 473 NA
10.256080847 54.255172133 474 13
10.411080847 54.255172133 475 12
10.597080847 54.255172133 476 12
10.752080847 54.255172133 477 10
10.907080847 54.255172133 478 12
11.093080847 54.255172133 479 17
12.240080847 54.255172133 486 11
12.426080847 54.255172133 487 12
12.581080847 54.255172133 488 2
12.736080847 54.255172133 489 NA
12.922080847 54.255172133 490 9
13.077080847 54.255172133 491 9
13.263080847 54.255172133 492 10
13.418080847 54.255172133 493 12
13.573080847 54.255172133 494 NA
13.759080847 54.255172133 495 NA
7.931080847 54.162172133 516 NA
8.737080847 54.162172133 521 NA
8.923080847 54.162172133 522 10
9.078080847 54.162172133 523 14
9.264080847 54.162172133 524 7
9.419080847 54.162172133 525 12
9.574080847 54.162172133 526 11
9.760080847 54.162172133 527 11
9.915080847 54.162172133 528 11
10.070080847 54.162172133 529 NA
10.256080847 54.162172133 530 10
10.411080847 54.162172133 531 14
10.597080847 54.162172133 532 13
10.752080847 54.162172133 533 11
10.907080847 54.162172133 534 10
11.093080847 54.162172133 535 NA
11.589080847 54.162172133 538 NA
11.744080847 54.162172133 539 16
11.930080847 54.162172133 540 15
12.085080847 54.162172133 541 14
12.240080847 54.162172133 542 9
12.426080847 54.162172133 543 5
12.581080847 54.162172133 544 11
12.736080847 54.162172133 545 NA
12.922080847 54.162172133 546 5
13.077080847 54.162172133 547 10
13.263080847 54.162172133 548 11
13.418080847 54.162172133 549 18
13.573080847 54.162172133 550 NA
13.759080847 54.162172133 551 12
13.914080847 54.162172133 552 NA
8.737080847 54.038172133 577 NA
8.923080847 54.038172133 578 12
9.078080847 54.038172133 579 13
9.264080847 54.038172133 580 12
9.419080847 54.038172133 581 6
9.574080847 54.038172133 582 6
9.760080847 54.038172133 583 5
