Species,SpeciesID,Fct_group,Comment,Ecogroup_Phillips,Acc_name,Percent_Epigeic,Percent_Anecic,Percent_Endogeic,Ecogroup_Bottinelli,Ecogroup,kingdom,phylum,class,order,suborder,family,genus,Records,NumCells_2km,NumCells_1km
Lumbricus klarae,Lumbr_klar,NA,NA,NA,Lumbricus klarae,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Lumbricus,1,1,1
Lumbricus lucens,Lumbr_luce,NA,NA,NA,Lumbricus lucens,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Lumbricus,7,3,3
Lumbricus meliboeus,Lumbr_meli,NA,NA,Anecic,Lumbricus meliboeus,64,36,0,Epi-anecic,Epi-anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Lumbricus,10,9,9
Lumbricus polyphemus,Lumbr_poly,NA,NA,Anecic,Lumbricus polyphemus,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Lumbricus,51,24,27
Lumbricus rubellus,Lumbr_rube,NA,NA,Epigeic,Lumbricus rubellus,85,15,0,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Lumbricus,8336,2114,2280
Lumbricus terrestris,Lumbr_terr,NA,NA,Anecic,Lumbricus terrestris,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Lumbricus,6146,2035,2175
Mayadrilus calakmulensis,Mayad_cala,NA,NA,NA,Mayadrilus calakmulensis,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Mayadrilus,2,0,0
Metaphire cai,Metap_cai,NA,NA,NA,Metaphire cai,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Metaphire,6,0,0
Metaphire californica,Metap_cali,NA,NA,Epi-Endogeic,Metaphire californica,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Metaphire,2,0,0
Metaphire guillelmi,Metap_guil,NA,NA,Anecic,Metaphire guillelmi,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Metaphire,2,0,0
Metaphire kiengiangensis,Metap_kien,NA,NA,NA,Metaphire kiengiangensis,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Metaphire,1,1,1
Metaphire megascolidioides,Metap_mega,NA,NA,Anecic,Metaphire megascolidioides,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Metaphire,4,0,0
