Species,SpeciesID,Fct_group,Comment,Ecogroup_Phillips,Acc_name,Percent_Epigeic,Percent_Anecic,Percent_Endogeic,Ecogroup_Bottinelli,Ecogroup,kingdom,phylum,class,order,suborder,family,genus,Records,NumCells_2km,NumCells_1km
Allobophoridella eiseni,Allol_eise,NA,NA,Epigeic,Allolobophoridella eiseni,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophoridella,105,61,64
Allolobophoridella eiseni,Allol_eise,NA,NA,Epigeic,Allolobophoridella eiseni,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophoridella,105,61,64
Allolobophora leoni,Allol_leon,NA,NA,NA,Allolobophora leoni,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,1,1,1
Allolobophora mehadiensis,Allol_meha,NA,NA,NA,Allolobophora mehadiensis,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,1,1,1
Allolobophora minuscula,Allol_minu,NA,NA,NA,Allolobophora minuscula,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,12,4,4
Allolobophora muldali,Allol_muld,NA,NA,NA,Allolobophora muldali,44,0,56,Epi-endogeic,Epi-endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,105,48,54
Allolobophora smaragdina,Allol_smar,NA,NA,NA,Allolobophora smaragdina,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,27,22,22
Allolobophora sturanyi,Allol_stur,NA,NA,NA,Allolobophora sturanyi,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,2,2,2
Allolobophora sturanyi dacidoides,Allol_stur,NA,NA,Endogeic,Allolobophora sturanyi dacidoides,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,2,2,2
Allolobophora thaleri,Allol_thal,NA,NA,NA,Allolobophora thaleri,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,5,1,1
Amynthas agrestis,Amynt_agre,NA,NA,Epi-Endogeic,Amynthas agrestis,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Amynthas,12,1,1
Amynthas aspergillum,Amynt_aspe,NA,NA,Anecic,Amynthas aspergillum,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Amynthas,41,0,0
Amynthas corticis,Amynt_cort,NA,NA,Epi-Endogeic,Amynthas corticis,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Amynthas,15,7,7
Amynthas gracilis,Amynt_grac,NA,NA,Epi-Endogeic,Amynthas gracilis,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Amynthas,8,0,0
Amynthas hupeiensis,Amynt_hupe,NA,NA,Endogeic,Amynthas hupeiensis,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Amynthas,2,0,0
Amynthas mediocus,Amynt_medi,NA,NA,NA,Amynthas mediocus,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Amynthas,1,0,0
Amynthas tokioensis,Amynt_toki,NA,NA,Epi-Endogeic,Amynthas tokioensis,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Amynthas,5,0,0
Andiorrhinus sp.1,Andio_sp.1,NA,Family from GBIF,NA,Andiorrhinus,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Rhinodrilidae,Andiorrhinus,1,0,0
Andiorrhinus sp.2,Andio_sp.2,NA,Family from GBIF,NA,Andiorrhinus,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Rhinodrilidae,Andiorrhinus,1,0,0
Anisochaeta macleayi,Aniso_macl,NA,Family from GBIF,Epi-Endogeic,Anisochaeta macleayi,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Anisochaeta,113,0,0
Aporrectodea caliginosa,Aporr_cali,NA,NA,Endogeic,Aporrectodea caliginosa,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,12469,2361,2554
Aporrectodea cupulifera,Aporr_cupu,NA,NA,Endogeic,Aporrectodea cupulifera,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,29,14,15
Aporrectodea dubiosa,Aporr_dubi,NA,NA,Anecic,Aporrectodea dubiosa,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,4,2,2
Aporrectodea georgii,Aporr_geor,NA,NA,NA,Aporrectodea georgii,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,16,8,8
Aporrectodea giardi,Aporr_giar,NA,NA,Anecic,Aporrectodea giardi,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,10,3,3
Aporrectodea handlirschi,Aporr_hand,NA,NA,NA,Aporrectodea handlirschi,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,28,20,20
Aporrectodea icterica,Aporr_icte,NA,NA,Endogeic,Aporrectodea icterica,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,130,31,36
Aporrectodea jassyensis,Aporr_jass,NA,NA,NA,Aporrectodea jassyensis,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,7,5,5
Aporrectodea limicola,Aporr_limi,NA,NA,Endogeic,Aporrectodea limicola,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,285,147,151
Aporrectodea longa,Aporr_long,NA,NA,Anecic,Aporrectodea longa,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,2136,826,912
Aporrectodea moebii,Aporr_moeb,NA,NA,Endogeic,Aporrectodea moebii,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,3,3,3
Aporrectodea molleri,Aporr_moll,NA,NA,Anecic,Aporrectodea molleri,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,60,32,33
Aporrectodea nocturna,Aporr_noct,NA,NA,Anecic,Aporrectodea nocturna,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,35,28,31
Aporrectodea oerley,Aporr_oerl,NA,NA,NA,Aporrectodea,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,866,113,121
Aporrectodea oliveirae,Aporr_oliv,NA,NA,Epigeic,Aporrectodea oliveirae,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,18,15,15
Aporrectodea opisthosellata,Aporr_opis,NA,NA,Anecic,Aporrectodea opisthosellata,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,1,1,1
Aporrectodea rosea,Aporr_rose,NA,NA,Endogeic,Aporrectodea rosea,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,9811,1755,1871
Aporrectodea smaragdina,Aporr_smar,NA,NA,NA,Aporrectodea smaragdina,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,2,2,2
Aporrectodea thaleri,Aporr_thal,NA,NA,NA,Aporrectodea thaleri,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,7,3,3
Aporrectodea trapezoides,Aporr_trap,NA,NA,Anecic,Aporrectodea trapezoides,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,638,12,14
Aporrectodea tuberculata,Aporr_tube,NA,NA,Endogeic,Aporrectodea tuberculata,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,180,8,9
Aporrectodea turgida,Aporr_turg,NA,NA,Endogeic,Aporrectodea turgida,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,43,0,0
Balanteodrilus pearsei,Balan_pear,NA,Family from GBIF,Endogeic,Balanteodrilus pearsei,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Balanteodrilus,23,0,0
Belladrilus emilianii,Bella_emil,NA,NA,Endogeic,Belladrilus emilianii,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Ocnerodrilidae,Belladrilus,3,0,0
Bimastos eiseni,Bimas_eise,NA,NA,NA,Bimastos eiseni,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Bimastos,265,134,145
Bimastos parvus,Bimas_parv,NA,NA,Epigeic,Bimastos parvus,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Bimastos,20,1,1
Bimastus parvus,Bimas_parv,NA,NA,NA,Bimastus parvus,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Bimastus,20,1,1
Bimastos rubidus,Bimas_rubi,NA,NA,NA,Bimastos rubidus,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Bimastos,3033,524,562
Criodrilus lacuum,Criod_lacu,NA,NA,Anecic,Criodrilus lacuum,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Criodrilidae,Criodrilus,8,8,8
Dendrobaena alpina,Dendr_alpi,NA,NA,NA,Dendrobaena alpina,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,26,8,8
Dendrobaena attemsi,Dendr_atte,NA,NA,Epigeic,Dendrobaena attemsi,83,0,17,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,389,123,134
Dendrobaena auriculata,Dendr_auri,NA,NA,NA,Dendrobaena auriculata,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,9,5,5
Dendrobaena byblica,Dendr_bybl,NA,NA,Epigeic,Dendrobaena byblica,100,0,0,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,11,11,11
Dendrobaena clujensis,Dendr_cluj,NA,NA,NA,Dendrobaena clujensis,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,1,1,1
Dendrobaena cognettii,Dendr_cogn,NA,NA,NA,Dendrobaena cognettii,87,0,13,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,1,1,1
Dendrobaena franzi,Dendr_fran,NA,NA,Epigeic,Dendrobaena franzi,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,1,1,1
Dendrobaena hortensis,Dendr_hort,NA,NA,Epigeic,Dendrobaena hortensis,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,79,53,57
Dendrobaena illyrica,Dendr_illy,NA,NA,NA,Dendrobaena illyrica,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,144,112,117
Dendrobaena illyricus,Dendr_illy,NA,NA,NA,Dendrobaena illyricus,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,144,112,117
Dendrobaena lusitana,Dendr_lusi,NA,NA,Epigeic,Dendrobaena lusitana,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,6,6,6
Dendrobaena octaedra,Dendr_octa,NA,NA,Epigeic,Dendrobaena octaedra,97,0,3,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,5812,828,891
Dendrobaena pantaleonis,Dendr_pant,NA,NA,Epigeic,Dendrobaena pantaleonis,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,4,3,3
Dendrobaena pygmaea,Dendr_pygm,NA,NA,Epigeic,Dendrobaena pygmaea,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,47,39,39
Dendrobaena pygmaea gallurensis,Dendr_pygm,NA,NA,Epigeic,Dendrobaena pygmaea gallurensis,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,47,39,39
Dendrodrilus rubidus,Dendr_rubi,NA,NA,Epigeic,Dendrodrilus rubidus,93,7,0,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrodrilus,875,368,384
Dendrodrilus rubidus subrubicundus,Dendr_rubi,NA,NA,Epigeic,Dendrodrilus rubidus subrubicundus,93,7,0,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrodrilus,875,368,384
Dendrodrilus rubidus tenuis,Dendr_rubi,NA,NA,Epigeic,Dendrodrilus rubidus tenuis,93,7,0,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrodrilus,875,368,384
Dendrobaena schmidti schmidti,Dendr_schm,NA,NA,Endogeic,Dendrobaena schmidti schmidti,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,3,1,1
Dendrobaena schmidti tellermanica,Dendr_schm,NA,NA,Endogeic,Dendrobaena schmidti tellermanica,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,3,1,1
Dendrobaena schmidti,Dendr_schm,NA,NA,NA,Dendrobaena schmidti,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,3,1,1
Dendrobaena vejdovskyi,Dendr_vejd,NA,NA,NA,Dendrobaena vejdovskyi,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,72,16,16
Dendrobaena veneta,Dendr_vene,NA,NA,Epigeic,Dendrobaena veneta,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,57,39,39
Dichogaster affinis,Dicho_affi,NA,NA,Epi-Endogeic,Dichogaster affinis,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Dichogaster,22,0,0
Dichogaster baeri,Dicho_baer,NA,NA,Epigeic,Dichogaster baeri,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Dichogaster,3,0,0
Dichogaster bolaui,Dicho_bola,NA,NA,Epi-Endogeic,Dichogaster bolaui,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Dichogaster,10,2,2
Dichogaster ehrhardti,Dicho_ehrh,NA,NA,Epigeic,Dichogaster ehrhardti,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Dichogaster,2,0,0
Dichogaster gracilis,Dicho_grac,NA,NA,Epi-Endogeic,Dichogaster gracilis,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Dichogaster,3,0,0
Dichogaster leroyi,Dicho_lero,NA,NA,Epigeic,Dichogaster leroyi,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Dichogaster,9,0,0
Dichogaster mamillata,Dicho_mami,NA,NA,Epigeic,Dichogaster mamillata,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Dichogaster,3,0,0
Dichogaster modiglianii,Dicho_modi,NA,NA,NA,Dichogaster modiglianii,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Dichogaster,2,0,0
Dichogaster notabilis,Dicho_nota,NA,NA,Epigeic,Dichogaster notabilis,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Dichogaster,6,0,0
Dichogaster papillosa,Dicho_papi,NA,NA,Epigeic,Dichogaster papillosa,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Dichogaster,4,0,0
Dichogaster saliens,Dicho_sali,NA,NA,Epi-Endogeic,Dichogaster saliens,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Dichogaster,17,0,0
Dichogaster terraenigrae,Dicho_terr,NA,NA,Endogeic,Dichogaster terraenigrae,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Dichogaster,2,0,0
Diplocardia hulberti,Diplo_hulb,NA,NA,Epi-Endogeic,Diplocardia hulberti,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Diplocardia,1,0,0
Diplocardia kansensis,Diplo_kans,NA,NA,Epigeic,Diplocardia kansensis,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Diplocardia,2,0,0
Diplocardia longiseta,Diplo_long,NA,NA,Endogeic,Diplocardia longiseta,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Diplocardia,7,0,0
Diplotrema oxcutzcabensis,Diplo_oxcu,NA,NA,Endogeic,Diplotrema oxcutzcabensis,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Diplotrema,7,0,0
Diplotrema papillata,Diplo_papi,NA,NA,Endogeic,Diplotrema papillata,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Diplotrema,2,0,0
Diplocardia singularis,Diplo_sing,NA,NA,Endogeic,Diplocardia singularis,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Diplocardia,3,0,0
Dorgiodrilus robustus,Dorgi_robu,NA,NA,Endogeic,Dorgiodrilus robustus,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Ocnerodrilidae,Dorgiodrilus,1,0,0
Drawida barwelli,Drawi_barw,NA,NA,Endogeic,Drawida barwelli,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Moniligastrida,NA,Moniligastridae,Drawida,4,0,0
Drawida gisti,Drawi_gist,NA,NA,Endogeic,Drawida gisti,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Moniligastrida,NA,Moniligastridae,Drawida,2,0,0
Drawida japonica,Drawi_japo,NA,NA,Endogeic,Drawida japonica,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Moniligastrida,NA,Moniligastridae,Drawida,2,0,0
Drawida nepalensis,Drawi_nepa,NA,NA,Anecic,Drawida nepalensis,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Moniligastrida,NA,Moniligastridae,Drawida,5,0,0
Eisenia andrei,Eisen_andr,NA,NA,Epigeic,Eisenia andrei,94,3,3,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eisenia,33,23,23
Eisenia atlavinyteae,Eisen_atla,NA,NA,Epi-Endogeic,Eisenia atlavinyteae,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eisenia,1800,0,0
Eisenia balatonica,Eisen_bala,NA,NA,NA,Eisenia balatonica,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eisenia,1,1,1
Eiseniella balatonica,Eisen_bala,NA,NA,NA,Eiseniella balatonica,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eiseniella,1,1,1
Eisenia fetida,Eisen_feti,NA,NA,Epigeic,Eisenia fetida,93,4,3,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eisenia,585,269,277
Eiseniona hardlirschi,Eisen_hand,NA,Family from GBIF,Endogeic,Eiseniona handlirschi,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eiseniona,13,4,6
Eisenia japonica,Eisen_japo,NA,NA,Endogeic,Eisenia japonica,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eisenia,14,0,0
Eisenia lucens,Eisen_luce,NA,NA,Epigeic,Eisenia lucens,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eisenia,14,5,5
Eisenia nordenskioldi,Eisen_nord,NA,NA,NA,Eisenia nordenskioldi,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eisenia,59,3,3
Eisenia nordenskioldi nordenskioldi,Eisen_nord,NA,NA,Epi-Endogeic,Eisenia nordenskioldi nordenskioldi,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eisenia,59,3,3
Eisenia spelaea,Eisen_spel,NA,NA,NA,Eisenia spelaea,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eisenia,2,1,1
Eisenia spelea,Eisen_spel,NA,NA,NA,Eisenia spelea,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eisenia,2,1,1
Eisenia submontana,Eisen_subm,NA,NA,NA,Eisenia submontana,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eisenia,2,2,2
Eiseniella tetraedra,Eisen_tetr,NA,NA,Epigeic,Eiseniella tetraedra,78,22,0,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eiseniella,11359,5283,5613
Eminoscolex violaceus,Emino_viol,NA,NA,Epigeic,Eminoscolex violaceus,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Eudrilidae,Eminoscolex,3,0,0
Enterion cyaneum,Enter_cyan,NA,Family from GBIF,NA,Enterion cyaneum,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Enterion,559,340,358
Enterion festivum,Enter_fest,NA,Family from GBIF,NA,Enterion festivum,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Enterion,213,130,137
Enterion polyphemus,Enter_poly,NA,Family from GBIF,NA,Enterion polyphemus,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Enterion,12,7,7
Enterion pygmaeum,Enter_pygm,NA,Family from GBIF,NA,Enterion pygmaeum,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Enterion,10,8,9
Enterion tyrtaeum,Enter_tyrt,NA,Family from GBIF,NA,Enterion tyrtaeum,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Enterion,447,192,193
Eophila icterica,Eophi_icte,NA,,NA,Eophila icterica,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eophila,88,48,49
Eophila tellinii,Eophi_tell,NA,NA,NA,Eophila tellinii,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eophila,9,4,4
Ephyriodrilus afroccidentalis,Ephyr_afro,NA,NA,Epigeic,Ephyriodrilus afroccidentalis,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Eudrilidae,Ephyriodrilus,3,0,0
Eudrilus eugeniae,Eudri_euge,NA,NA,Epi-Endogeic,Eudrilus eugeniae,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Eudrilidae,Eudrilus,3,0,0
Eudrilus pallidus,Eudri_pall,NA,NA,Epigeic,Eudrilus pallidus,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Eudrilidae,Eudrilus,3,0,0
Eukerria saltensis,Euker_salt,NA,NA,Endogeic,Eukerria saltensis,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Ocnerodrilidae,Eukerria,4,4,4
