Predictor,maxent,Species,Run
Agriculture,0.246,Aporr_hand,1
Aspect,0,Aporr_hand,1
CEC,0,Aporr_hand,1
Clay.Silt,0,Aporr_hand,1
Cu,0,Aporr_hand,1
Dist_Coast,14.496,Aporr_hand,1
Dist_River,0,Aporr_hand,1
Dist_Urban,4.668,Aporr_hand,1
Elev,0,Aporr_hand,1
Forest_Coni,0,Aporr_hand,1
Forest_Deci,1.72,Aporr_hand,1
Hg,1.72,Aporr_hand,1
MAP,0.491,Aporr_hand,1
MAP_Seas,0,Aporr_hand,1
MAT,0,Aporr_hand,1
Moisture,6.142,Aporr_hand,1
N,0,Aporr_hand,1
NDVI,9.337,Aporr_hand,1
P,23.096,Aporr_hand,1
Pastures,5.651,Aporr_hand,1
Pop_Dens,19.165,Aporr_hand,1
SOC,8.6,Aporr_hand,1
Shrubland,4.668,Aporr_hand,1
Slope,0,Aporr_hand,1
pH,0,Aporr_hand,1
Agriculture,1.31,Aporr_icte,1
Aspect,0,Aporr_icte,1
CEC,0,Aporr_icte,1
Clay.Silt,0,Aporr_icte,1
Cu,11.561,Aporr_icte,1
Dist_Coast,9.446,Aporr_icte,1
Dist_River,0,Aporr_icte,1
Dist_Urban,8.981,Aporr_icte,1
Elev,0,Aporr_icte,1
Forest_Coni,3.154,Aporr_icte,1
Forest_Deci,0,Aporr_icte,1
Hg,7.548,Aporr_icte,1
MAP,0,Aporr_icte,1
MAP_Seas,2.735,Aporr_icte,1
MAT,0,Aporr_icte,1
Moisture,4.642,Aporr_icte,1
N,0,Aporr_icte,1
NDVI,0,Aporr_icte,1
P,24.091,Aporr_icte,1
Pastures,0,Aporr_icte,1
Pop_Dens,19.388,Aporr_icte,1
SOC,0,Aporr_icte,1
Shrubland,0,Aporr_icte,1
Slope,6.989,Aporr_icte,1
pH,0.155,Aporr_icte,1
Agriculture,0.664,Aporr_jass,1
Aspect,0,Aporr_jass,1
CEC,0,Aporr_jass,1
Clay.Silt,3.32,Aporr_jass,1
Cu,1.062,Aporr_jass,1
Dist_Coast,0,Aporr_jass,1
Dist_River,0,Aporr_jass,1
Dist_Urban,0,Aporr_jass,1
Elev,0,Aporr_jass,1
Forest_Coni,0,Aporr_jass,1
Forest_Deci,0,Aporr_jass,1
Hg,9.695,Aporr_jass,1
MAP,1.461,Aporr_jass,1
MAP_Seas,0,Aporr_jass,1
MAT,24.834,Aporr_jass,1
Moisture,13.28,Aporr_jass,1
N,4.117,Aporr_jass,1
NDVI,1.992,Aporr_jass,1
P,0,Aporr_jass,1
Pastures,0,Aporr_jass,1
Pop_Dens,7.437,Aporr_jass,1
SOC,0.266,Aporr_jass,1
Shrubland,1.992,Aporr_jass,1
Slope,29.881,Aporr_jass,1
pH,0,Aporr_jass,1
Agriculture,0.259,Aporr_limi,1
Aspect,0.501,Aporr_limi,1
CEC,0.404,Aporr_limi,1
Clay.Silt,4.762,Aporr_limi,1
Cu,1.359,Aporr_limi,1
Dist_Coast,2.988,Aporr_limi,1
Dist_River,2.021,Aporr_limi,1
Dist_Urban,1.196,Aporr_limi,1
Elev,4.894,Aporr_limi,1
Forest_Coni,1.54,Aporr_limi,1
Forest_Deci,1.176,Aporr_limi,1
Hg,0.4,Aporr_limi,1
MAP,3.563,Aporr_limi,1
MAP_Seas,0.11,Aporr_limi,1
MAT,69.526,Aporr_limi,1
Moisture,3.071,Aporr_limi,1
N,0.086,Aporr_limi,1
NDVI,0.485,Aporr_limi,1
P,1.052,Aporr_limi,1
Pastures,0.037,Aporr_limi,1
Pop_Dens,0.364,Aporr_limi,1
SOC,0.03,Aporr_limi,1
Shrubland,0,Aporr_limi,1
Slope,0.054,Aporr_limi,1
pH,0.122,Aporr_limi,1
Agriculture,6.601,Aporr_long,1
Aspect,0.084,Aporr_long,1
CEC,7.784,Aporr_long,1
Clay.Silt,2.258,Aporr_long,1
Cu,0.638,Aporr_long,1
Dist_Coast,4.602,Aporr_long,1
Dist_River,0,Aporr_long,1
Dist_Urban,0.385,Aporr_long,1
Elev,3.493,Aporr_long,1
Forest_Coni,4.225,Aporr_long,1
Forest_Deci,1.775,Aporr_long,1
Hg,1.089,Aporr_long,1
MAP,3.777,Aporr_long,1
MAP_Seas,15.04,Aporr_long,1
MAT,17.92,Aporr_long,1
Moisture,2.399,Aporr_long,1
N,0.397,Aporr_long,1
NDVI,1.705,Aporr_long,1
P,5.75,Aporr_long,1
Pastures,3.186,Aporr_long,1
Pop_Dens,1.681,Aporr_long,1
SOC,1.934,Aporr_long,1
Shrubland,0.193,Aporr_long,1
Slope,4.39,Aporr_long,1
pH,8.695,Aporr_long,1
Agriculture,3.956,Aporr_moll,1
Aspect,0,Aporr_moll,1
CEC,0.095,Aporr_moll,1
Clay.Silt,1.156,Aporr_moll,1
Cu,0.143,Aporr_moll,1
Dist_Coast,0.131,Aporr_moll,1
Dist_River,1.239,Aporr_moll,1
Dist_Urban,0.453,Aporr_moll,1
Elev,0,Aporr_moll,1
Forest_Coni,5.457,Aporr_moll,1
Forest_Deci,0.322,Aporr_moll,1
Hg,0.202,Aporr_moll,1
MAP,1.43,Aporr_moll,1
MAP_Seas,63.803,Aporr_moll,1
MAT,1.525,Aporr_moll,1
Moisture,0,Aporr_moll,1
N,0,Aporr_moll,1
NDVI,0.334,Aporr_moll,1
P,0.334,Aporr_moll,1
Pastures,1.048,Aporr_moll,1
Pop_Dens,0.298,Aporr_moll,1
SOC,0,Aporr_moll,1
Shrubland,4.647,Aporr_moll,1
Slope,0,Aporr_moll,1
pH,13.428,Aporr_moll,1
Agriculture,14.954,Aporr_noct,1
Aspect,0.693,Aporr_noct,1
CEC,0,Aporr_noct,1
Clay.Silt,8.909,Aporr_noct,1
Cu,0,Aporr_noct,1
Dist_Coast,35.467,Aporr_noct,1
Dist_River,1.441,Aporr_noct,1
Dist_Urban,0,Aporr_noct,1
Elev,0,Aporr_noct,1
Forest_Coni,1.16,Aporr_noct,1
Forest_Deci,0.505,Aporr_noct,1
Hg,0,Aporr_noct,1
MAP,0,Aporr_noct,1
MAP_Seas,0,Aporr_noct,1
MAT,2.302,Aporr_noct,1
Moisture,12.484,Aporr_noct,1
N,0,Aporr_noct,1
NDVI,1.291,Aporr_noct,1
P,0,Aporr_noct,1
Pastures,0.262,Aporr_noct,1
Pop_Dens,0,Aporr_noct,1
SOC,0,Aporr_noct,1
Shrubland,4.529,Aporr_noct,1
Slope,0.15,Aporr_noct,1
pH,15.852,Aporr_noct,1
Agriculture,0.153,Aporr_oliv,1
Aspect,0,Aporr_oliv,1
CEC,15.442,Aporr_oliv,1
Clay.Silt,0.051,Aporr_oliv,1
Cu,0,Aporr_oliv,1
Dist_Coast,0,Aporr_oliv,1
Dist_River,0,Aporr_oliv,1
Dist_Urban,0,Aporr_oliv,1
Elev,0,Aporr_oliv,1
Forest_Coni,0,Aporr_oliv,1
Forest_Deci,0,Aporr_oliv,1
Hg,0,Aporr_oliv,1
MAP,6.406,Aporr_oliv,1
MAP_Seas,75.727,Aporr_oliv,1
MAT,0,Aporr_oliv,1
Moisture,0,Aporr_oliv,1
N,0,Aporr_oliv,1
NDVI,0,Aporr_oliv,1
P,0,Aporr_oliv,1
Pastures,0,Aporr_oliv,1
Pop_Dens,0.025,Aporr_oliv,1
SOC,0.408,Aporr_oliv,1
Shrubland,0.025,Aporr_oliv,1
Slope,1.761,Aporr_oliv,1
pH,0,Aporr_oliv,1
Agriculture,11.147,Aporr_rose,1
Aspect,0.848,Aporr_rose,1
CEC,4.207,Aporr_rose,1
Clay.Silt,0.786,Aporr_rose,1
Cu,10.447,Aporr_rose,1
Dist_Coast,6.698,Aporr_rose,1
Dist_River,0,Aporr_rose,1
Dist_Urban,1.515,Aporr_rose,1
Elev,1.576,Aporr_rose,1
Forest_Coni,3.7,Aporr_rose,1
Forest_Deci,1.992,Aporr_rose,1
Hg,1.218,Aporr_rose,1
MAP,0.42,Aporr_rose,1
MAP_Seas,6.516,Aporr_rose,1
MAT,7.065,Aporr_rose,1
Moisture,4.883,Aporr_rose,1
N,3.186,Aporr_rose,1
NDVI,1.269,Aporr_rose,1
P,8.523,Aporr_rose,1
Pastures,4.931,Aporr_rose,1
Pop_Dens,5.975,Aporr_rose,1
SOC,0.37,Aporr_rose,1
Shrubland,0.828,Aporr_rose,1
Slope,0.418,Aporr_rose,1
pH,11.481,Aporr_rose,1
Agriculture,0.114,Aporr_smar,1
Aspect,0.114,Aporr_smar,1
CEC,0,Aporr_smar,1
Clay.Silt,0,Aporr_smar,1
Cu,0,Aporr_smar,1
Dist_Coast,3.523,Aporr_smar,1
Dist_River,3.523,Aporr_smar,1
Dist_Urban,0.227,Aporr_smar,1
Elev,0.341,Aporr_smar,1
Forest_Coni,4.205,Aporr_smar,1
Forest_Deci,33.409,Aporr_smar,1
Hg,4.773,Aporr_smar,1
MAP,0,Aporr_smar,1
MAP_Seas,2.159,Aporr_smar,1
MAT,0,Aporr_smar,1
Moisture,2.841,Aporr_smar,1
N,0.114,Aporr_smar,1
NDVI,0,Aporr_smar,1
P,0,Aporr_smar,1
Pastures,1.364,Aporr_smar,1
Pop_Dens,5.455,Aporr_smar,1
SOC,0,Aporr_smar,1
Shrubland,5.227,Aporr_smar,1
Slope,0.568,Aporr_smar,1
pH,32.045,Aporr_smar,1
Agriculture,19.451,Aporr_trap,1
Aspect,2.932,Aporr_trap,1
CEC,6.935,Aporr_trap,1
Clay.Silt,13.663,Aporr_trap,1
Cu,6.333,Aporr_trap,1
Dist_Coast,0.038,Aporr_trap,1
Dist_River,0.15,Aporr_trap,1
Dist_Urban,0.019,Aporr_trap,1
Elev,0,Aporr_trap,1
Forest_Coni,2.349,Aporr_trap,1
Forest_Deci,1.372,Aporr_trap,1
Hg,0.902,Aporr_trap,1
MAP,2.312,Aporr_trap,1
MAP_Seas,1.879,Aporr_trap,1
MAT,2.143,Aporr_trap,1
Moisture,3.872,Aporr_trap,1
N,0.827,Aporr_trap,1
NDVI,2.612,Aporr_trap,1
P,0.056,Aporr_trap,1
