"IUCNcat","sumCell","coverage","coverage_km2","SpeciesID"
"Ia",0.972786603379063,0.003,4.86,"Dendr_illy"
"Ib",0,0,0,"Dendr_illy"
"II",0,0,0,"Dendr_illy"
"III",0.402486335422509,0.0012,2.01,"Dendr_illy"
"IV",1.11115378661452,0.0034,5.56,"Dendr_illy"
"Not.Applicable",8.3175865188241,0.0256,41.59,"Dendr_illy"
"Not.Assigned",0,0,0,"Dendr_illy"
"Not.Reported",134.487009350159,0.4138,672.44,"Dendr_illy"
"Outside.PA",81.3805776979589,0.2504,406.9,"Dendr_illy"
"Presence",325,1,1625,"Dendr_illy"
"Protected",100.814826433058,0.3102,504.07,"Dendr_illy"
"Unprotected",224.185173566942,0.6898,1120.93,"Dendr_illy"
"V",98.3283997076414,0.3025,491.64,"Dendr_illy"
"VI",0,0,0,"Dendr_illy"
"Ia",162.976513414246,0.0017,814.88,"Dendr_octa"
"Ib",267.532682916362,0.0029,1337.66,"Dendr_octa"
"II",1496.34606911089,0.016,7481.73,"Dendr_octa"
"III",62.1485054988114,7e-04,310.74,"Dendr_octa"
"IV",3158.15231977477,0.0338,15790.76,"Dendr_octa"
"Not.Applicable",452.257039578837,0.0048,2261.29,"Dendr_octa"
"Not.Assigned",2225.01449105971,0.0238,11125.07,"Dendr_octa"
"Not.Reported",19671.8408911766,0.2103,98359.2,"Dendr_octa"
"Outside.PA",50788.3279970204,0.5429,253941.64,"Dendr_octa"
"Presence",93555,1,467775,"Dendr_octa"
"Protected",20417.5595811644,0.2182,102087.8,"Dendr_octa"
"Unprotected",73137.4404188356,0.7818,365687.2,"Dendr_octa"
"V",14836.5863092203,0.1586,74182.93,"Dendr_octa"
"VI",433.817181229035,0.0046,2169.09,"Dendr_octa"
"Ia",231.927785119803,0.0018,1159.64,"Dendr_rubi"
"Ib",397.120336593517,0.0031,1985.6,"Dendr_rubi"
"II",1401.84300867476,0.0108,7009.22,"Dendr_rubi"
"III",100.594728811579,8e-04,502.97,"Dendr_rubi"
"IV",3829.9170622129,0.0296,19149.59,"Dendr_rubi"
"Not.Applicable",613.882789866892,0.0047,3069.41,"Dendr_rubi"
"Not.Assigned",3237.78470550003,0.025,16188.92,"Dendr_rubi"
"Not.Reported",23066.9688016166,0.1784,115334.84,"Dendr_rubi"
"Outside.PA",78912.8511238241,0.6102,394564.26,"Dendr_rubi"
"Presence",129316,1,646580,"Dendr_rubi"
"Protected",23484.5125791924,0.1816,117422.56,"Dendr_rubi"
"Unprotected",105831.487420808,0.8184,529157.44,"Dendr_rubi"
"V",16946.2608427659,0.131,84731.3,"Dendr_rubi"
"VI",576.848815013947,0.0045,2884.24,"Dendr_rubi"
"Ia",62.6098121402514,8e-04,313.05,"Eisen_feti"
"Ib",59.8694310369399,7e-04,299.35,"Eisen_feti"
"II",750.053749786072,0.009,3750.27,"Eisen_feti"
"III",58.4093764426017,7e-04,292.05,"Eisen_feti"
"IV",2327.00020980917,0.028,11635,"Eisen_feti"
"Not.Applicable",261.451174374546,0.0031,1307.26,"Eisen_feti"
